course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CLRE 230,Digital Health,2,"This course covers how to develop and implement a digital strategy to drive a health research organization’s online presence, specifically the processes for selecting, using, managing, and evaluating the effectiveness of web, social media, and mobile technologies. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 231,Implementation Science,2,"The goal of implementation science is to ensure that the knowledge and materials produced by health research actually leads to improved population health by: 1) reaching the people for whom they are intended; 2) being adapted to local circumstances; and 3) being implemented effectively, safely, equitably, and in a timely and patient-centered manner. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 232,Qualitative Research,2,"This course provides skills in designing and carrying out a qualitative study useful for program management (planning, monitoring, and evaluation) and ensuring quality in health-care delivery. The methods included in the course are a sample of commonly used qualitative methods: structured and unstructured interviews, participatory learning methods, group and individual methods. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 233,Regulatory Science,2,"This course provides students with a strong foundation in regulatory science and drug device development and a hands-on introduction to current good manufacturing, laboratory and clinical practices, as well as product development. It offers graduates unique instruction for the specialized jobs in regulatory science in federal, academic, and industry work settings. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 234,Social Network Analysis,2,"This course is an introduction to social network analysis (SNA) with an emphasis on clinical health applications. Students will gain an understanding of network theory and concepts, mechanisms for contagion, and familiarity analyzing network data in applied settings. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 235,Team Science,2,"This course offers practical guidance about how best to engage in interdisciplinary and multidisciplinary team science: to pursue complex science questions, to work effectively with team members, and to produce high impact research outcomes that help meet society’s needs. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 236,Translational Research Fundamentals,2,"Students learn principles and practices of translational medicine applied to discovery and development of drugs, devices, and diagnostics. Topics covered include biomarkers, intellectual property, omics, translational imaging, pharmacogenomics-driven treatment, and discovery and development of diagnostics, stem cell therapies, and drugs. ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 236R,Translational Research Fundamentals,2,Students will learn about the application of translational science principles and tools to accelerate and improve the efficiency and effectiveness of the discovery/design and development of biomedical products—from drugs/biologics and cell and gene therapy to medical technology. ,,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 237,Translational Regenerative Medicine,2,"This course covers the basics of regenerative medicine for understanding what stem cell-targeted therapy is and what are the principles for taking a cell-based product from preclinical to first-in-human clinical studies. Topics covered include the regulatory, ethical, and study design considerations for developing stem cell-targeted therapies. Students will grasp the complexities of stem cell-targeted therapies and be able to understand the framework for developing new products. This course provides a good overview for those entering a field that may deliver stem cell therapies, stem cell-targeted treatments, or other cellular based therapies (e.g., car-t-cell). ",,,,,,,,,,Admission to the MAS Clinical Research Program or consent of department.
CLRE 238,Applied Translational Research,2,"Students will gain a comprehensive and integrative operational understanding of an entire life science innovation cycle, from drug idea to market and back, through case studies done by mining publicly disclosed information in teams mentored by biopharmaceutical professionals. ",CLRE 236,admission to the MAS Clinical Research Program or consent of department,,,,,,,,
