course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CAT 1,"Culture, Art, and Technology 1",4,"Lower-division composition course teaching critical reading and drafting by examining how culture, art, and technology have intersected in the past. ",,,,,,,,,,Sixth College students only; completion of UC Entry Level Writing Requirement.
CAT 2,"Culture, Art, and Technology 2",6,"Lower-division writing-intensive course foregrounding argumentation, revision, and writing as process by examining case studies of culture, art, and technology interacting in the present moment. ",,,,,,,,,,Sixth College students only; CAT 1.
CAT 3,"Culture, Art, and Technology 3",6,"Lower-division writing- and research-intensive course focusing on collaboration, research, and art-making by speculating on how the relationships between culture, art, and technology will be transformed in the future. ",,,,,,,,,,Sixth College students only; CAT 2.
CAT 24,Introduction to Special Projects/Topics,2 or 4,"Lower-division students are introduced to projects/topics exploring the interplay of culture, art, and technology. Topics and projects will vary. May be taken for credit two times. ",,,,,,,,,,Department authorization required.
CAT 75,Experience Art!—Sixth College Seminar Series,1,"Seminars are hands-on arts experiences (performances, exhibits, site visits, etc.). Students and faculty attend events together and have discussions before or after, often with guest speakers such as the artists, curators, and/or faculty/graduate students from UC San Diego arts departments. Successful completion of this seminar series satisfies one unit of art making for the Sixth College general education requirements. May be taken for credit two times. ",,,,,,,,,,Sixth College students only.
CAT 87,First-year Student Seminar,1,The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students with preference given to entering first-year students. May be taken for credit four times. ,,,,,,,,,,
CAT 90,Introduction to Experiential Learning Seminar,1,"A lower-division seminar to introduce new Sixth College students to experiential learning in a small-group setting. It explores relevant practices in a variety of disciplines and avenues for immersive learning in areas such as community engagement, fieldwork, research, internship, and study abroad. Students will learn to access experiential learning resources and to identify and approach prospective mentors. Recommended preparation for Sixth College’s practicum requirement. May be taken for credit three times. ",,,,,,,,,,Sixth College students only; department authorization required.
CAT 98,"Culture, Art, and Technology Lower-Division Group Study",2 or 4,"Course designated for lower-division Sixth College students to have the opportunity to work together as a group or team on a project supervised by a faculty member in a specific department, not included in a regular curriculum, where group emphasis would be more beneficial and constructive then individual special studies. May be taken for credit three times. ",,,,,,,,,,Lower-division standing; cumulative GPA of 3.0.
CAT 124,Sixth College Practicum,4,"Students initiate, plan, and carry out community-based and/or research-based projects that connect classroom-based experiences and knowledge to the outlying community, and that explicitly explore the interplay of culture, art, and technology. May be taken for credit two times. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 124GS,Sixth College Practicum Global Seminar,4,"This course will have students initiate, plan, and carry out research-based and/or community-based projects. These projects will connect classroom-based experiences and knowledge to the outlying community, and explicitly explore the interplay of culture, art, and technology. Program or materials fees may apply. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 124RS,Sixth College Practicum Online Global Seminar,4,"Students initiate, plan, and carry out research-based and/or community-based projects that connect classroom-based experiences and knowledge to the outlying community, and that explicitly explore the interplay of culture, art, and technology. This course is a distance education course. Program or materials fees may apply. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 125,Public Rhetoric and Practical Communication,4,"Upper-division composition course in public rhetoric and practical communication, including oral presentation, writing in print formats, and digital content creation. This course also focuses on how writing can support and extend experiential learning before, during, or after students complete their practicum. Completion of lower-division writing sequence through taking CAT 1, CAT 2, and CAT 3 by students who entered as first-years, or through equivalent course work by transfer students. It is recommended that students pursuing graduate degrees select “Letter Grade” at the time of enrollment. Students will not receive credit for both CAT 125 and CAT 125R. ",,,,,,,,,,Sixth College students only; upper-division standing.
CAT 125GS,Public Rhetoric and Practical Communication Global Seminar,4,"Upper-division composition course in public rhetoric and practical communication, including oral presentation, writing in print formats, and digital content-creation. This course also focuses on how writing can support and extend experiential learning before, during, or after students complete their practicum. Completion of lower-division writing requirement is preferred but not required. It is recommended that students pursuing graduate degrees select “Letter Grade” at the time of enrollment. This course is a distance education course. Program or materials fees may apply. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 125R,Public Rhetoric and Practical Communication Online,4,"Online upper-division composition course in public rhetoric and practical communication, including oral presentation, writing in print formats, and digital content-creation. This course also focuses on how writing can support and extend experiential learning before, during, or after students complete their practicum. Completion of lower-division writing sequence through taking CAT 1, CAT 2, and CAT 3 by students who entered as first-years, or through equivalent course work by transfer students. It is recommended that students pursuing graduate degrees select “Letter Grade” at the time of enrollment. Students will not receive credit for both CAT 125R and CAT 125. This course is a distance education course. ",,,,,,,,,,Sixth College students only; upper-division standing.
CAT 125RS,Public Rhetoric and Practical Communication Online Global Seminar,4,"Online upper-division composition course in public rhetoric and practical communication, including oral presentation, writing in print formats, and digital content-creation. This course also focuses on how writing can support and extend experiential learning before, during, or after students complete their practicum. Completion of lower-division writing requirement is preferred but not required. It is recommended that students pursuing graduate degrees select “Letter Grade” at the time of enrollment. This course is a distance education course. Program or materials fees may apply. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 192,"Senior Seminar in Culture, Art, and Technology",1,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in culture, art, and technology (at the upper-division level). Topics will vary from quarter to quarter. Enrollment is limited to twenty students, with preference given to seniors. May be taken for credit four times. ",,,,,,,,,,Upper-division standing; department authorization required.
CAT 195,Apprentice Teaching,4,"Undergraduate instructional assistance. Responsibilities in areas of learning and instruction. May collect course material and assist with course projects, digital workshops, and collection, organization, and analysis of formative assessment data. ",,,,,,,,,,Upper-division standing; 3.0 cumulative GPA; department authorization required.
CAT 197,"Culture, Art, and Technology Field Studies",4,Supervised community-based or industry-based fieldwork. Designated for Sixth College students to have the opportunity to work on a community-based or industry-based project supervised by a faculty member and community or industry mentor in which the subject or content of the project cannot be represented by a specific academic department. Students will submit written evaluations each week of their ongoing field study. May be taken for credit three times. ,,,,,,,,,,"Upper-division standing; completion of lower-division writing sequence through taking CAT 1, CAT 2, and CAT 3 by students who entered as first-years, or through equivalent course work by transfer students."
CAT 198,"Culture, Art, and Technology Directed Group Studies",4,"Directed group studies or, in group, field studies of a creative project. Designated for Sixth College students to have the opportunity to work together as a group or team on a project supervised by a faculty member in a specific department, not included in a regular curriculum, where group emphasis would be more beneficial and constructive than individual special studies. May be taken for credit three times. ",,,,,,,,,,"Upper-division standing; completion of lower-division writing sequence through taking CAT 1, CAT 2, and CAT 3 by students who entered as first-years, or through equivalent course work by transfer students."
