course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
DSGN 1,Design of Everyday Things,4,"A project-based course examining how principles from cognitive science apply to the design of things simple (doors) and complex (new technology). Learn about affordances, constraints, mappings, and conceptual models. Learn observational and design skills. Become a human-centered design thinker.",,,,,,,,,,
DSGN 90,Undergraduate Seminar,1,Special topics in design are discussed. P/NP grades only. May be taken for credit four times when topics vary.,,,,,,,,,,
DSGN 99,Independent Study,2 or 4,Independent literature or laboratory research by arrangement with and under direction of a design faculty member. P/NP grades only. May be taken for credit three times. ,,,,,,,,,,"Lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form."
DSGN 100,Prototyping,4,"Explores cognitive principles of thinking through making. Introduces methods and tools for prototyping user experiences. Students make various prototypes and participate in weekly critique sessions. Topics: experience design, rapid prototyping, sketching, bodystorming, cardboard modeling, UI hacking, and design theory. ",DSGN 1,,,,,,,,,
DSGN 118,Design for Future Creativity and Productivity,4,"This course covers fundamentals of the design of creativity support tools for various types of digital content, including images, videos, animations, information visualization, augmented/mixed/virtual reality. We will also explore how novel interaction techniques such as gestural interaction, speech input, and artificial intelligence can be used to support people’s creativity and productivity. ",COGS 120 or COGS 187A or COGS 187B or CSE 170 or DSGN 100,,,,,,,,,
DSGN 119,Design at Large,2,"New societal challenges, cultural values, and technological opportunities are changing design—and vice versa. The seminar explores this increased scale, real-world engagement, and disruptive impact. Invited speakers from UC San Diego and beyond share cutting-edge research on interaction, design, and learning. P/NP grades only. May be taken for credit up to four times. ",COMM 124A or COGS 10 or DSGN 1,,,,,,,,,
DSGN 160,Special Topics in Design,4,Special topics in design. May be taken for credit three times when topics vary. ,,,,,,,,,,Upper-division standing or consent of instructor.
DSGN 161,Design Project,4,Special topics in design. May be taken for credit three times when topics vary. Recommended preparation: may require shop skills. ,,,,,,,,,,Upper-division standing or consent of instructor.
DSGN 195,Instructional Apprenticeship in Design,4,"Students, under the direction of the instructor, lead laboratory or discussion sections, attend lectures, and meet regularly with the instructor to help prepare course materials and grade papers and exams. P/NP grades only. May be taken for credit two times. ",,,,,,,,,,"Upper-division standing, 3.0 GPA, consent of instructor, and department approval."
DSGN 198,Directed Group Study,2 or 4,This directed group study course is for small groups of advanced students who wish to complete a one-quarter reading or research project under the mentorship of a faculty member. Students should contact faculty whose research interests them to discuss possible projects. P/NP grades only. May be taken for credit up to three times. ,,,,,,,,,,"Upper-division standing, 2.5 GPA, consent of instructor, and department approval."
DSGN 199,Independent Project,2 or 4,"This independent project course is for individual, advanced students who wish to complete a design project under the mentorship of a faculty member. Students should contact faculty whose research interests them to discuss possible projects. P/NP grades only. May be taken for credit three times. ",,,,,,,,,,"Upper-division standing, 2.5 GPA, consent of instructor, and department approval."
DSGN 201,Human-Centered Design and Complex Sociotechnical Systems,4,"This course will teach fundamentals of design from an explicitly multi-epistemic and multidisciplinary lens. Foundations on both power and privilege and ethical responses within design will be emphasized. A range of design strategies, from a classic professional-led approach to co-design and community-driven variations of design will be reviewed. ",,,,,,,,,,Graduate standing.
DSGN 260,Advanced Topics in Design,4,Special topics in design. May be taken for credit eighteen times. ,,,,,,,,,,Graduate standing and consent of instructor.
DSGN 261,Advanced Design Project,4,Special topics in design. S/U grades only. May be taken for credit three times. Recommended preparation: may require maker-lab or shop skills. ,,,,,,,,,,Graduate standing and consent of instructor.
DSGN 299,Independent Project,2 or 4,"Students study, research, and implement project under the direction of a member of the faculty. S/U grades only. May be taken for credit three times. Recommended preparation: may require maker-lab or shop skills. ",,,,,,,,,,Graduate standing and consent of instructor.
