course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ENVR 30,Introduction to Environmental Studies,4,"Examines global and regional environmental issues. Fundamental scientific and civic literacy is introduced within community, policy, and economic contexts. The scope of problems include air and water pollution, climate disruption, solid waste disposal, hazardous waste treatment, and environmental impact assessment. ",,,,,,,,,,
ENVR 87,Environmental Studies First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
ENVR 102,Selected Topics in Environmental Studies,4,"An interdisciplinary course focusing on one of a variety of topics related to environmental studies such as environmental policy and politics, foreign study in environmental problems, environmental history, nature writers, ethics and the environment. May be repeated three times for credit as topics vary. ",,,,,,,,,,Upper-division standing or consent of instructor.
ENVR 105,Conservation Solutions,4,"A project-based course in which students will develop and implement a curriculum module for high school students at the Dawson Los Monos Canyon Reserve. Includes an introduction to the natural history and resource management challenges of this ecological preserve. Students will conduct research projects which will be used to create a curriculum module for a high school environmental science course and guide high school students through field research and a discussion of conservation solutions. Course may include a required field trip, and students are responsible for their own transportation. ",,,,,,,,,,Upper-division standing or consent of instructor.
ENVR 110,Environmental Law,4,"Explores environmental policy in the United States and the ways in which it is reflected in law. The social and political issues addressed include environmental justice and environmental racism, as well as the role of government in implementing environmental law. ",,,,,,,,,,Upper-division standing or consent of instructor.
ENVR 120,Coastal Ecology,4,"Explores the diverse ecosystems of coastal San Diego County (salt marsh, rocky intertidal, sandy beach, etc.) in the classroom and in the field with attention to basic principles of field ecology, natural history, and techniques for collecting ecological data. Course and/or materials fee may apply. ",,,,,,,,,,Upper-division standing or consent of instructor.
ENVR 140,Wilderness and Human Values,4,"“Wilderness” plays a central role in the consciousness of American environmentalists and serves as focal point for public policies, recreation, and political activism. This course explores its evolving historical, philosophical, ecological, and aesthetic meanings and includes guest speakers and a field component. ",,,,,,,,,,Upper-division standing or consent of instructor.
ENVR 141,Wilderness and Human Values Workshop,2,"A course to prepare students to serve as discussion leaders for ENVR 140, Wilderness and Human Values. Includes reading, discussion, library and online research, and field trips. ",,,,,,,,,,Consent of instructor and department approval.
ENVR 142GS,Wilderness and Human Values Abroad,4,"Explores historical and cultural perspectives on the human relationship with the natural world, from prehistory to the present. The course investigates how humans have interacted with the natural world and how this interaction has been influenced by such factors as class, race, and gender. The course considers the cultural, political, and economic ramifications of this interaction and even explores ideas about the future of wilderness. Will include unique content to host country. Program or materials fees may apply. ",,,,,,,,,,Upper-division standing required. Must apply and be accepted to the Global Seminar Program.
ENVR 144,Wilderness Training,2,"Provides technical skills to deliver wilderness programs and leadership skills to manage student groups on wilderness programs. The course combines reading and experiential components with assessment through competency demonstration and a reflective essay due at the end of the course. Course topics include leadership and group management, decision making and risk management, the art of teaching and facilitating, conflict resolution, and working in and understanding wilderness environments. Students must participate in two quarters of non-credit-bearing work with Outback Adventures (as part of their Outdoor Leadership program) in order to enroll in ENVR 144. ",,,,,,,,,,Upper-division standing and department approval required.
ENVR 150,Environmental Justice,4,"This course explores the relationship between humans and the environment, focusing on the intrinsic connections between the environment and social, racial, and economic hierarchies that reveal structural inequities. Topics include environmental problems, community responses, policy debates, the burdens of environmental contamination and health disparities (and their effects on communities of color), and the intertwined processes of environmental justice. ",,,,,,,,,,Upper-division standing or consent of instructor. Students will not receive credit for both ENVR 150 and ENVR 150GS.
ENVR 150GS,Environmental Justice,4,"This course explores the relationship between humans and the environment, focusing on the intrinsic connections between the environment and social, racial, and economic hierarchies that reveal structural inequities. Topics include environmental problems, community responses, policy debates, the burdens of environmental contamination and health disparities (and their effects on communities of color), and the intertwined processes of environmental justice. ",,,,,,,,,,Upper-division standing; program or materials fees may apply. Must apply to Global Seminar Program and be accepted. Students will not receive credit for both ENVR 150 and ENVR 150GS.
ENVR 195,Apprentice Teaching,0-4,"Instructor will define assistant’s responsibilities in preparing class presentations, leading students’ discussions, and evaluating students’ work. May be taken two times for credit.",,,,,,,,,,Department approval required.
ENVR 198,Directed Group Study,4,"Directed group research and study, normally with a focus on areas not otherwise covered in the curriculum. ",,,,,,,,,,Upper-division standing or consent of instructor. Department stamp required. May be taken three times for credit as topics vary.
ENVR 199,Independent Study,4,Independent study in a topic not generally covered in the regular curriculum. ,,,,,,,,,,"Consent of instructor, director of Environmental Studies. May be taken two times for credit as content varies. Department stamp required."
ENVR 500,Apprentice Teaching in Environmental Studies,4,"A course in which teaching assistants are aided in learning proper teaching methods by means of supervision of their work by the faculty: handling of discussions, preparation and grading of examinations and other written exercises, and student relations. ",,,,,,,,,,Graduate standing.
