course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
HDS 1,Introduction to Human Developmental Sciences,4,"This course introduces students to the central issues in the basic areas in human development. The course will explain relationships between biological, cognitive, social, and cultural aspects of development across the life span. Renumbered from HDP 1. Students may not receive credit for HDP 1 and HDS 1.",,,,,,,,,,
HDS 60,Introduction to Statistical Analysis,4,"This course provides an introduction to both descriptive and inferential statistics, core tools in the process of scientific discovery, and the interpretation of research. Emphasis on a conceptual understanding of statistics, numerical results of real data, and techniques of data analysis.",,,,,,,,,,
HDS 95,Career Development Seminar,1–2,"This course is centered on conceptual understanding of career development as a lifespan process, with an emphasis on application to student’s individual academic development and career readiness competencies. Includes practical training with professional skills, networking, and career research. The course concludes with a career action plan to help students advance academic and career goals. Cannot be used toward HDS major credit.",,,,,,,,,,
HDS 98,Directed Group Study,1–2,"Directed group study, on a topic or in a field not included in the department curriculum, by arrangement with a faculty member. Pass/No Pass grades only. Cannot be used toward HDS major credit. Renumbered from HDP 98. HDS 98 and/or HDP 98 may be taken for credit for a combined total of three times. ",,,,,,,,,,Completion of thirty units and a minimum UC San Diego GPA of 3.0. Students may enroll for no more than a total of two units in one quarter. Department authorization required.
HDS 99,Independent Study in Human Developmental Sciences,2–4,Independent study and research under the direction of an affiliated human developmental sciences faculty member. Pass/No Pass only. Cannot be used toward HDS major credit. Renumbered from HDP 99. HDS 99 and/or HDP 99 may be taken for credit for a combined total of three times. ,,,,,,,,,,Completion of thirty units and a minimum UC San Diego GPA of 3.0. Department authorization required.
HDS 110,Brain and Behavioral Development,4,"The purpose of this course is to familiarize students with basic mechanisms of brain and behavioral development from embryology through aging. Multiple levels of analysis will be discussed, including the effects of hormones on behavior, developmental events at the level of cells, structures, and neural systems, and the neural basis of cognition, social, perceptual, and language development. Renumbered from HDP 110. Students may not receive credit for HDP 110 and HDS 110. ",HDP 1 or HDS 1 or PSYC 101,,,,,,,,,
HDS 111,Evolutionary Principles in Human Development,4,"The course will examine the human evolutionary past to inform our understanding of the biological, cognitive, and socio-cultural aspects of growth and change across the life span. Lectures and readings will draw from diverse fields to situate our understanding of human development within its broader evolutionary context. Areas of focus will include but are not limited to human longevity, biology of growth, theory of mind, and social and biological development in cross-species comparison. Renumbered from HDP 111. Students may not receive credit for HDP 111 and HDS 111. ",HDP 1 or HDS 1 or ANTH 2 or BILD 3,,,,,,,,,
HDS 120,Language Development,4,"Examination of children’s acquisition of language from babbling to the formation of sentences. Topics covered include prelinguistic gestures, relationships between babbling and sound systems, speech perception, linking words with objects, rule overgeneralization, bilingualism, nature vs. nurture, individual differences, and cultural differences. Renumbered from HDP 120. Students may not receive credit for HDP 120 and HDS 120. ",HDP 1 or HDS 1 or LIGN 4,,,,,,,,,
HDS 121,The Developing Mind,4,"(Same as COGS 110.) This course examines changes in thinking and perceiving the physical and social world from birth through childhood. Evidence of significant changes in encoding information, forming mental representations, and solving problems is culled from psychological research, cross-cultural studies, and cognitive science. Cross-listed course HDS 121 has been renumbered from HDP 121. Students may receive credit for one of the following: COGS 110, HDS 121, or HDS 121. ",HDP 1 or HDS 1 or COGS 1,,,,,,,,,
HDS 122,Development of Social Cognition,4,"This course covers topics in development of social cognition across the life span. Grounded in current research and theoretical models, content addresses general principles such as the mutual influences of caregivers and children upon each other and the interplay of person and context. Discussion areas include attachment, aggression, identity development, social cognition, social components of achievement motivation, and development of conscience. Renumbered from HDP 122. Students may not receive credit for HDP 122 and HDS 122. ",HDP 1 or HDS 1,,,,,,,,,
HDS 133,Cross-Cultural Perspectives on Developmental Science,4,"This course examines how human development varies cross-culturally across the life span. It explores human developmental science as a bio-social-cultural process, in which development is not simply a product of biology and genetics, but shaped by the particular cultural traditions and patterns of social interactions into which an individual is born. Renumbered from HDP 133. Students may not receive credit for HDP 133 and HDS 133. ",HDP 1 or HDS 1 or PSYC 1,,,,,,,,,
HDS 150,Senior Seminar,4,Seminar for graduating HDS seniors. Readings and discussion of special topics in human developmental sciences. Provides advanced-level study on subfields of human development. Topics vary quarterly. Renumbered from HDP 150. HDS 150 and/or HDP 150 may be repeated for a combined total of two times when topics vary. ,,,,,,,,,,"Senior standing, HDP 181 or HDS 181. Department approval required. (F,W,S)"
HDS 160,Special Topics Seminar in Human Developmental Sciences,4,Special topics in human developmental sciences are discussed. Renumbered from HDP 160. HDS 160 and/or HDP 160 may be taken for credit for a combined total of three times when topics vary. ,,,,,,,,,,"Upper-division standing, department approval required."
HDS 171,Diversity in Human Development: A Cultural Competency Approach,4,"This course provides an introduction to the scholarship and practice of cultural competency, with a goal of enhancing the ability of students to be effective researchers and community service partners. Through relevant readings, associated assignments, and community guest speakers, students will acquire the necessary skills for doing substantive and responsive research in diverse cultural contexts. Renumbered from HDP 171. Students may not receive credit for HDP 171 and HDS 171. ",,,,,,,,,,Upper-division standing.
HDS 173,"Race, Media, and Identity Development Across the Lifespan",4,"This course offers a critical analysis of the social, linguistic, and cultural dimensions of media, schooling, and racial identity development over the lifespan. It attends to how “power dynamics of representation” shape individual and community identity, examining how representation affects (in)equitable educational experiences, learning, achievement, and outcomes. Drawing on historical and contemporary theories, research, and tools, the curriculum fosters applied critical race media literacy. ",,,,,,,,,,Upper-division standing.
HDS 175,"Power, Wealth, and Inequality in Human Development",4,"Inequality affects social mobility and opportunities for diverse communities in the United States, having long-term implications for life span development. A multidisciplinary approach examines the differential effects on development fostered by disparities in socio-economic, educational, and cultural factors. Renumbered from HDP 175. Students may not receive credit for HDP 175 and HDS 175. ",,,,,,,,,,Upper-division standing.
HDS 181,Experimental Projects in Human Development Research,6,"This laboratory course in human developmental sciences is designed around a variety of intensive experimental projects. With lectures providing background information on research methods and life span development, each assignment will include data collection and/or analysis, and a written laboratory report. Renumbered from HDP 181. Students may not receive credit for HDP 181 and HDS 181. ",HDS 1,BIEB 100 or COGS 14B or ECON 120A or MATH 11 or POLI 30 or POLI 30D or PSYC 60,,,,,,,,"Department approval required. A minimum of three upper-division HDS major courses, at least one in each domain, is needed for enrollment approval. Must be a declared HDS major. (F,W,S)"
HDS 191,Field Research in Human Development,6,"This course is designed around students’ applied qualitative Field Research experience. With weekly lectures introducing the basic methodology of human development research, HDS majors are provided the necessary tools to create their own empirical Field Research project, conducted (four hours/week) at a pre-approved study site. Students must submit the pre-enrollment questionnaire one academic year prior to enrollment. See the HDS website for details. Renumbered from HDP 191. Students may not receive credit for HDP 191 and HDS 191. ",HDS 1,HDS 181,,,,,,,,"Department approval required. (F,W,S)"
