course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
AESE 241,Decision and Risk Analysis,4,"Focuses on analytic techniques supporting rational business decision-making, providing systematic approaches to complex decision situations. Addresses analysis of conflicting objectives and use of tools such as value trees, decision trees, influence diagrams, and value hierarchies, Bayesian networks, and data mining. This course will meet from 8:00 a.m. to 5:00 p.m. every alternating Friday and Saturday. ",,,,,,,,,,"Enrollment in MAS-AESE, or permission of the instructor. AESE 241 is cross-listed with MGT 241."
AESE 261,Managing Stakeholder Relationships,4,Addresses critical processes and frameworks required to build effective business relationships internally and externally. Focuses on the skills required by functional or technical leaders to envision strategic value and create business development strategies aligned with organizational needs. This workshop meets once a quarter from Wednesday to Saturday from 8:00 a.m. to 5:00 p.m. for more intensive interaction. ,,,,,,,,,,"Enrollment in MAS-AESE, MGT 406, or permission of the instructor. AESE 261 is cross-listed with MGT 261."
AESE 278A,Complexity and Large-Scale Systems,4,"Comprehensive introduction to system and event complexity, software and systems engineering practices for complexity management, agile and plan-driven development, development and management processes and process models, data, information, and knowledge management, basics of distributed data and computation. This course will meet from 8:00 a.m. to 5:00 p.m. every alternating Friday and Saturday. ",,,,,,,,,,"Enrollment in MAS-AESE or instructor approval. AESE 278A is cross-listed with CSE 278A, ECE 205A, and MAE 277A."
AESE 278B,Enterprise Architecting,4,"Architectural foundations, frameworks, standards, and infrastructures with an emphasis on layered architectures, loose coupling, architecture evolution, service- and component-oriented architectures, enterprise service buses, metadata and information virtualization, ontologies, Semantic Web, policy and governance, service-level agreements, information assurance essentials. This course will meet from 8:00 a.m. to 5:00 p.m. every alternating Friday and Saturday. ",,,,,,,,,,"Enrollment in MAS-AESE, MGT 291, MGT 406, and AESE 278A or MAE 277A or ECE 205 or CSE 278A, or instructor approval."
AESE 278C,"Modeling, Simulation, and Analysis",4,"Model-driven architecture and development concepts, business process and workflow modeling, structured analysis and IDEF modeling methods, object-, component- and service-orientation and the Unified Modeling Language, event and stream models, colored Petri nets, executable architectures, distributed simulation for performance analysis. This course will meet from 8:00 a.m. to 5:00 p.m. every alternating Friday and Saturday. ",,,,,,,,,,"Enrollment in MAS-AESE, MGT 291, AESE 278A-B, or instructor approval. AESE 278C is cross-listed with CSE 278C, ECE 206, and MAE 278A."
AESE 278D,"Engineering Essentials for Open, Distributed Systems",4,"Engineering tools and their use in defining the layered and service-oriented architectures, Unified Modeling Language and enterprise architecture tools, business and process modeling tools, visualization methods, data and information management tools, comprehensive domain modeling, architecture implementation via enterprise service buses. This workshop course meets once a quarter from Wednesday to Saturday from 8:00 a.m. to 5:00 p.m. for more intensive interaction. ",,,,,,,,,,"Enrollment in MAS-AESE, AESE 278A (or CSE 278A or ECE 205A or MAE 277A), AESE 278C (or CSE 278C or ECE 206 or MAE 278A), or instructor approval."
AESE 278E,Patterns for Enterprise Architecting,4,"Fundamental aspects of pattern methodologies and reuse, requirements, design and architecture patterns, patterns for service-oriented architectures, enterprise application and integration patterns, e-business patterns, event-driven architectures and patterns for complex event processing, process patterns, architecture evolution and refactoring using patterns. This course will meet from 8:00 a.m. to 5:00 p.m. every alternating Friday and Saturday. ",,,,,,,,,,"Enrollment in MAS-AESE, AESE 278B-C-D, or instructor approval."
AESE 279A,Architecture-based Enterprise Systems Engineering Quarterly Team Project,1,"Students will work collaboratively on a team project, mostly in a lab setting, to demonstrate their knowledge of leadership teams and enterprise architecting for complex systems. Students are required to take three instances of AESE 279A before they can take AESE 279B (the final for the team project). ",,,,,,,,,,Enrollment in MAS-AESE.
AESE 279B,Architecture-based Enterprise Systems Engineering Capstone Team Project,3,"Students will work collaboratively on a team project, mostly in a lab setting, to demonstrate their grasp of the material in the entire project sequence. ",,,,,,,,,,Enrollment in MAS-AESE; three instances of AESE 279A successfully completed prior to this class; department approval required.
DSE 200,Python for Data Analysis,4,The goal of this course is to bring students with diverse backgrounds and experience to a common level of competency in programming in the context of complex and noisy data. Solid competency in Python programming provides its owner with autonomy and independence in their work. Introduction to object-oriented programming using Python. Regular expressions. NumPy and numerical processing. IPython and plotting. Data analysis using PANDAS. Web page scraping using Scrapy. The Twitter API. NLTK.,,,,,,,,,,
DSE 201,Database Management Systems,4,"This course will provide an introduction to the management of structured data beginning with an introduction to database models including relational, hierarchical, and network approaches. It will also cover topics in database system implementation including query languages and system architectures; parallel, column-oriented, and array-based database systems; advanced SQL features including user-defined functions (UDFs), triggers, statistical functions; and support for spatial data.",,,,,,,,,,
DSE 203,Data Integration and ETL,4,"The course is designed to provide students with the fundamentals of data integration and includes schema mapping and matching, entity disambiguation, ontology development and management, data provenance, and crowd sourcing and machine learning as strategies for integration. The course will also require hands-on projects in which students will work on a data integration problem requiring integration of two or more datasets taken from an application domain of their choice (e.g., geospatial data, healthcare, financial applications, bioinformatics, etc.).",,,,,,,,,,
DSE 210,Statistics and Probability Using Python,4,"Probability and statistics for data science. Distribution over the real line; independence, expectation, variance, correlation. Central limit theorem. Chernoff/Hoeffding bound. Statistical tests. Bonferroni correction.",,,,,,,,,,
DSE 220,Machine Learning,4,"This course provides a broad introduction to the practical side of machine learning and data analysis. The topics covered in this class include topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting and perceptrons, and topics in unsupervised learning, such as k-means, PCA, and Gaussian mixture models.",,,,,,,,,,
DSE 230,Scalable Data Analysis,4,"The course exercises the data scientist’s scalability toolbox, covering such concepts as map-reduce, streaming analysis, external memory algorithms, as well as their implementation options in popular frameworks (e.g., Hadoop and its ecosystem: HBase, Hive, Pig and Spark, etc.). The class will include assignments of analyzing large existing databases.",,,,,,,,,,
DSE 241,Data Visualization,4,"The goal for the course is to use visualization as a tool to explore trends, relationships, confirm hypotheses, communicate findings, and gain insight about data. This course will focus on teaching students the principles and techniques for creating visual representation from raw data. The course exercises will be based on publicly available datasets and utilize freely available tools like D3.js and VisIt. The course will be modeled similar to Stanford’s visualization CS 448 course and will include an introduction to visualization, vis foundation review, color, interaction, dashboards and heat maps, introduction to D3.js, high dimensional data, network data, geographic data, text data, scientific visualization: isosurface, volume rendering, and introduction to VisIt.",,,,,,,,,,
DSE 250,Beyond Relational Data Models,4,"The course covers data models, query languages, and models of computation beyond those employed in relational databases. It addresses new developments that have gained attention with the advent of the Web 2.0 and big data revolutions. The topics are presented in a unifying framework and include key-value pairs as data model, as used in Google’s Bigtable; object-oriented data model, with its practical support in relational databases via the object-relational mapping (involves ODMG standards ODL and OQL, and recent systems such as Ruby on Rails); semi-structured databases (data organized as graph with labels on nodes and edges), query languages based on reachability constraints between nodes: conjunctive regular path queries); XML databases, as special case of semi-structured databases in which the graph is a tree (this involves associated standards such as XML Schema, XPath, and XQuery); RDF databases (with associated OWL and SPARQL standard.",,,,,,,,,,
DSE 290,Case Studies in Data Science,2,"Case studies discussed by speakers from industry, government, and academia expose students to the needs and uses of different technologies and their roles in model building.",,,,,,,,,,
DSE 260,Data Science Capstone Design Project,4,"A team design project in the final two quarters of the program culminates in a final report and an oral presentation of the capstone project. In addition, there might be a demonstration of the working prototype. The project will start by identifying a domain of interest and the available data sources that will be used to study the domain. From this starting point there will be two parallel and interdependent lines of work: data extraction, Transformation and Loading (ETL), and statistical analysis and model building. The ultimate goal will be to present a processing pipeline which transforms the raw data into more usable forms and models which separates between the predictable and the unpredictable aspects of the underlying system. Examples of previous capstone projects can be found here.",,,,,,,,,,
WES 237A,Introduction to Embedded Systems Design,4,"Embedded system technologies including processors, DSP, memory, and software. System interfacing basics, communication strategies, sensors, and actuators. Mobile and wireless technology in embedded systems. Design case studies in wireless, multimedia, and/or networking domains.",,,,,,,,,,
WES 237B,Software for Embedded Systems,4,"Embedded computing elements, device interfaces, time-critical I/O handling. Embedded software design under size, performance, and reliability constraints. Software timing and functional validation. Programming methods and compilation for embeddable software. Embedded runtime systems. Case studies of real-time software systems.",,,,,,,,,,
WES 237C,Hardware for Embedded Systems,4,"Embedded system building blocks including IP cores, hardware synthesis, optimizations for size, power, energy, and throughput, FPGA and ASIC design flows, formal verification and testing, device interfaces, I/O handling.",,,,,,,,,,
WES 265,Wireless Communications Circuits and Systems,4,Introduction to noise and linearity concepts. System budgeting for optimum dynamic range. Frequency planning. Linearity analysis techniques. Down-conversion and up-conversion techniques. Modulation and de-modulation. Microwave and RF system design communications. Current research topics in the field.,,,,,,,,,,
WES 267,Digital Signal Processing for Wireless Embedded Systems,4,"Review of discrete-time systems and signals, discrete-time Fourier transform and its properties, the fast Fourier transform, design of finite impulse response (FIR) and infinite impulse response (IIR) filters, implementation of digital filters. Sampling and quantization of baseband signals; A/D and D/A conversion, quantization noise, oversampling and noise shaping.",,,,,,,,,,
WES 268A,Digital Communications Systems I,4,Experiments in the modulation and demodulation of baseband and pass-band signals. Statistical characterization of signals and impairments.,,,,,,,,,,
