course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
MUS 1A,Fundamentals of Music A,4,"This course, first in a three-quarter sequence, is primarily intended for students without previous musical experience. It introduces music notation and basic music theory topics such as intervals, scales, keys, and chords, as well as basic rhythm skills. ",,,,,,,,,,
MUS 1B,Fundamentals of Music B,4,"This course, second in a three-quarter sequence, focuses on understanding music theory and in developing musical ability through rhythm, ear training, and sight singing exercises. Topics include major and minor scales, seventh-chords, transposition, compound meter and rudiments of musical form. ",MUS 1A,,,,,,,,,
MUS 1C,Fundamentals of Music C,4,"This course, third in a three-quarter sequence, offers solid foundation in musical literacy through exercises such as harmonic and melodic dictation, sight singing exercises and rhythm in various meters. Topics include complex rhythm, harmony, and basic keyboard skills. ",MUS 1B,,,,,,,,,
MUS 2A-B-C,Basic Musicianship,4-4-4,"Primarily intended for music majors. Development of basic skills: perception and notation of pitch and temporal relationships. Introduction to functional harmony. Studies in melodic writing. Drills in sight singing, rhythmic reading, and dictation. ",,,,,,,,,,"Passing score on proficiency exam. Must be taken in sequence. Music majors must be concurrently enrolled in MUS 2AK, 2BK, and 2CK (Basic Keyboard)."
MUS 2AK-BK-CK,Basic Keyboard,2-2-2,"Scales, chords, harmonic progressions, transposition, and simple pieces. ",,,,,,,,,,"Concurrent enrollment in MUS 2A, B, C."
MUS 2JK,Jazz Keyboard,2,"This course will acquaint students with basic concepts in jazz piano. Students will learn chord voicing, how to read a lead sheet, and modes for improvising. Major pianists from the idiom will be listened to and discussed. The course is ideal for non-pianists as well as pianists because its emphasis is theoretical, not technical. ",MUS 2AK,"2BK or passing proficiency exam, or consent of instructor",,,,,,,,Concurrent enrollment in MUS 2C. Majors only.
MUS 4,Introduction to Western Music,4,"A brief survey of the history of Western music from the Middle Ages to the present. Much attention will be paid to the direct experience of listening to music and attendance of concerts. Class consists of lectures, listening labs, and live performances. ",,,,,,,,,,
MUS 5,Sound in Time,4,"An examination and exploration of the art and science of music making. Topics include acoustics, improvisation, composition, and electronic and popular forms. There will be required listening, reading, and creative assignments. No previous musical background required. ",,,,,,,,,,
MUS 6,Electronic Music,4,Lectures and listening sessions devoted to the most significant works of music realized through the use of computers and other electronic devices from the middle of this century through the present. ,,,,,,,,,,
MUS 7,"Music, Science, and Computers",4,"Exploration of the interactions among music, science, and technology, including the history and current development of science and technology from the perspective of music. ",,,,,,,,,,
