course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
RELI 1,Introduction to Religion,4,"An introduction to key topics in the study of religion through the analysis of religious texts, artifacts, and/or practices. The intent is to develop basic strategies of interpretation for undertaking a critical, disciplined study of religion.",,,,,,,,,,
RELI 2,Comparative World Religions,4,"An introduction to the comparative study of religion, focusing on religious traditions of global significance. Although historical aspects of these traditions will be studied, emphasis will be placed on religious beliefs and practices as manifested in the contemporary world.",,,,,,,,,,
RELI 3,Technoscience and Religion,4,"The aim of this course is to introduce students to the complex relationship between “technoscience,” as a broad field of inquiry into the global human practices of technology combined with scientific methods, ranging from biology to computer sciences and robotics, with religion in its complex social manifestations.",,,,,,,,,,
RELI 87,First-year Student Seminar in Religion,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic related to the study of religion with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
RELI 101,Tools and Methods in the Study of Religion,4,This course provides an advanced introduction to assumptions and norms that shape the study of religion as an academic field; to significant debates within the field; and to tools and methods used for professional research within the field.,,,,,,,,,,
RELI 131,Topics in Religion and Sexuality,4,How does religiosity as a significant cultural component help mold gender and sexuality identities? The class offers topical investigations into this question. ,,,,,,,,,,Upper-division standing or consent of instructor.
RELI 132,Topics in Orthodoxy and Heterodoxy,4,"Religious dogmas often develop in dialogue with alternative viewpoints that ultimately are rejected by heterodox by the dominant group. This class presents case studies in the interpretation of such ideological and sociological pairings using scriptural, literary, and analytic sources. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 134,Topics in American Religion,4,"Topical studies in the history of religion in American society, ranging from the Puritans to the New Age. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 140,Literature and Religion,4,"This course provides an introduction to the history and themes in the relationship between literature and religion from antiquity to the present. The course examines key texts in world literature such as Rumi’s Masnavi, Milton’s Paradise Lost, and Tale of the Heike. It also considers sacred texts, such as the Bhagavad Gita, Bible, Quran, and Tao Te Ching, as works of literature, and studies the relationship between literary and religious practices in various traditions.",,,,,,,,,,
RELI 141,Public Sphere and Religion,4,"This interdisciplinary course will explore the historical and theoretical relationship between public sphere and religion, particularly focusing on the manifestation of religious power, public ritual, and sacred theatricality in everyday spaces of life. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 142,Secularization and Religion,4,"Surveys the relationship between religion and modernity, in particular the problematic of the secularization theory; covers cases such as Catholic liberation theology and Islamic fundamentalism, with particular focus on the “deprivatization of modern religion.” ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 143,Topics in Performing Religion,4,"This course explores religion as a system of bodily practices, rather than one of tenets or beliefs. How do day-to-day activities as well as significant rituals express and inform people’s religious lives? Why is doctrine an insufficient basis for understanding religion? May be taken up to three times as topics vary. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 144,Devils and Demons in Christianity,4,"Christianity frequently finds definition in contradistinction to an “Other” characterized as immoral, irrational, and malevolent. This class investigates how devils and demons as constructions of the “Other” have contributed to Christianity’s growth and identity formation throughout history. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 145,"Communication, Technology, and Religion",4,"This course will look at the relationship between information communication technologies (ICTs) and religion and how they have intersected or diverged in the course of history. We will look at both older and newer media, such as telegraph, radio, television, cassette tapes, internet, and satellite, and how they have been used by groups like Evangelical, Catholic, or Islamist movements in proliferation and transformation of ideas, rituals, ideologies, values, and diverse forms of sociability. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 146,Topics in the Religions of Antiquity,4,"Topical studies in the religious beliefs, practices, and institutions of pre-Christian Europe and near East. May be repeated for credit up to three times when topics vary. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 147,Pagan Europe and Its Christian Aftermath,4,"This course explores the history of how western Europe was converted from its indigenous pagan religions to the imported religion we know as Christianity. We will discuss conversion by choice and by force, partial or blended conversions, and the relationships between belief and culture. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 148,Religion and Women’s Activisms,4,"The course surveys women’s formal and informal roles and activities in a number of faiths, examining how women’s agency and activism may be constrained or fostered by religious ideologies and norms in various historical and political contexts. Examples are drawn from a range of male-centered religions (Islam, Judaism, Christianity, Buddhism), woman-centered religions (Sande, Afro-Brazilian, Z-ar Cult), and newly formed theologies (Womanist, Native American, and Mujerista; New Age feminist spiritualities). ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 149,Islam in America,4,"This course introduces the students to historical and social developments of Islam in the United States. Tracing Islam back to the African slaves, the course examines various Muslim communities in the United States, with a focus on African American Muslims, especially Malcolm X. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 150,Religion and Cinema,4,"The course is an introductory study of cinema and religion. It explores how cinema depicts religion and spiritual experience. A number of films will be studied to understand how cinematic and religious narratives and practices overlap and, at times, diverge in complex ways. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 151,Deep Ecology: Knowing Place,4,"This course explores intersections between religious discourse and ecological discourse by considering texts from both that treat the human world as irreducibly interconnected with more-than-human worlds of nature and “spirit.” Themes include the ambivalence of wildness; the critique of anthropocentrism (human-centeredness); and the question of how religious emphasis on “knowing (one’s) place” can create a sense of either human exceptionality, above nature, or embeddedness, within nature. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 153,Hispanic American Religions,4,This course introduces students to historical and social developments of religion among Hispanic Americans. The course examines changing religious traditions and ritual practices among Hispanic Americans with a focus on Catholicism and (evangelical) Protestantism. ,,,,,,,,,,Upper-division standing or consent of instructor.
RELI 154,Asian American Religions,4,"This course introduces students to historical and social developments of religion among Asian Americans. Tracing back to the mid-nineteenth century, the course examines changing religious traditions and ritual practices among Asian American communities. ",,,,,,,,,,Upper-division standing or consent of instructor.
RELI 155,African American Religions,4,This course introduces students to historical and social developments of religion among African Americans. The course examines changing religious traditions and ritual practices among African Americans since slavery to the present era. ,,,,,,,,,,Upper-division standing or consent of instructor.
RELI 156,Posthuman Spirituality,4,This course will survey questions surrounding the “coevolution” of human and technics and ways such processes are making new worlds of which we often feel a sense of perpetual disruption. We investigate posthuman not only in terms of new technological practices but spiritual experiences that bring about new understandings of being human in the world. ,,,,,,,,,,Upper-division standing.
RELI 157GS,Religion in Japan,4,"This course examines Japanese religions by studying various traditions including Buddhism, Christianity, and Shintoism and their influence on Japanese culture such as anime and cinema. Students must apply and be accepted into the Global Seminar Program.",,,,,,,,,,
RELI 158GS,Japanese Literature and Spirituality,4,"This course looks at the relationship between literature and spirituality in Japan. The course explores this relationship in the works of Shusaku Endo, Hiromi Ito, Yasunari Kawabata, Haruki Murakami, and others. Students must apply and be accepted into the Global Seminar Program.",,,,,,,,,,
RELI 159GS,Native Religions,4,This course explores Native American ways of life and religions; it also examines the impact of European invasion and colonization. ,,,,,,,,,,Students must apply and be accepted into the Global Seminar Program. Program or material fee may apply.
RELI 160GS,Religion and Politics,4,Explores the complex relationship between religion and politics in a variety of historical and social contexts. The course examines a range of texts and case studies with a focus on the intersection of religion with politics. ,,,,,,,,,,Students must apply and be accepted into the Global Seminar Program. Program or material fee may apply.
RELI 188,Special Topics in Religion,4,Students in this lecture will investigate important problems in the study of religion or the history of particular religions. RELI 188 and RELI 188GS may be taken for credit for a combined total of three times. ,,,,,,,,,,Upper-division standing.
RELI 188GS,Special Topics in Religion,4,Students in this course will investigate important problems in the study of religion or the history of particular religions. Department approval required. Students must apply for and be accepted into the Global Seminars Program. RELI 188GS and RELI 188 may be taken for credit for a combined total of three times. Program or materials fees may apply.,,,,,,,,,,
RELI 189,Seminar in Religion,4,This seminar requires the intensive analysis of critical problems in the study of religion or the history of particular religions. May be repeated for credit up to three times when topics vary. ,,,,,,,,,,Upper-division standing; RELI 101 or consent of instructor.
RELI 192,Senior Seminar in Religion,1,"The senior seminar is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in religion at the upper-division level. Topics will vary from quarter to quarter. Senior seminars may be taken for credit up to four times, with a change in topic and permission of the department. Enrollment is limited to twenty students, with preference given to seniors.",,,,,,,,,,
