course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ANTH 1,Introduction to Culture,4,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.",,,,,,,,,,
ANTH 2,Human Origins,4,"An introduction to human evolution from the perspective of physical anthropology, including evolutionary theory and the evolution of the primates, hominids, and modern humans. Emphasis is placed on evidence from fossil remains and behavioral studies of living primates.",,,,,,,,,,
ANTH 3,Global Archaeology,4,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.",,,,,,,,,,
ANTH 4,Words and Worlds: Introduction to the Anthropology of Language,4,"How does one’s language mutually interact with the social, cultural, and conceptual worlds one inhabits and mutually constructs with others? This course will introduce the comparative study of social life through the lens of the uniquely human capacity for language.",,,,,,,,,,
ANTH 5,The Human Machine: The Skeleton Within,4,"Course will provide an introduction to bones as a tissue, to different bones in the body, and the ligaments and muscles surrounding major joints. You will learn how the skeleton, ligaments, and muscles support our mode of locomotion; the differences between male and female skeletons; and the differences across human populations. You’ll see how nutrition and disease can affect bones. Course examines functional areas within the body.",,,,,,,,,,
ANTH 10,Climate Justice,4,"This course explores the concept of climate justice in terms of race, ethnicity, cultural heritage, gender, age, religion, language, disabilities, and socioeconomic status. Relates the findings of environmental science to issues of diversity, equity, and inclusion. Explores ethics in terms of the human dimensions of climate change.",,,,,,,,,,
ANTH 21,Race and Racisms,4,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",,,,,,,,,,
ANTH 23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies",4,"This course focuses on the debate about multiculturalism in American society. It examines the interaction of race, ethnicity, and class, historically and comparatively, and considers the problem of citizenship in relation to the growing polarization of multiple social identities.",,,,,,,,,,
ANTH 24,Mapping Capitalism,4,"This course explores the diverse ways that scholars across the humanities and social sciences have defined “capitalism” as their object of study. Much more than rational individuals involved in market relations, these approaches to capitalism explore such themes as sentiment, desire, meaning, deception, and habit.",,,,,,,,,,
ANTH 42,Primates in a Human-Dominated World,4,"Will primates survive the anthropocene? We review major primate field studies for features of primate behavior and behavioral diversity and then consider the impact of habitat fragmentation, habitat loss, human wildlife conflict, and commensalism on the future of primates.",,,,,,,,,,
