course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
AUD 236,Preceptorship in Neuro-Otology,2,"Observations in UC San Diego Otology clinic. Learn about procedures for taking histories and performing clinical examinations, patient treatment, and patient education from otologists. ",,,,,,,,,,Second-year AuD student or consent of instructor.
AUD 255,Anatomy and Physiology of the Auditory and Vestibular Systems,4,"Detailed anatomy of the auditory and vestibular systems, including the ultra-structure, histology, and neuronal connections of the systems. In addition, physiological responses that underlie the actions of each system are described, from the cellular to the systems levels. ",,,,,,,,,,Second-year AuD student or consent of instructor.
AUD 257,Ear Diseases and Treatment,3,"Differential diagnosis and treatment of auditory and vestibular disorders, audiological components of neuro-otology, as well as interactions between the audiologist and neuro-otologist in a clinical setting. ",,,,,,,,,,Second-year AuD student or consent of instructor.
AUD 263,Physiological and Behavioral Tests of Vestibular Function,4,"Clinical evaluation of vestibular function, using techniques such as caloric and rotational electronystagmography and posturography. The interpretation of clinical findings and implications for rehabilitative strategies will be covered. The course will include observation of testing in otology clinic settings. ",,,,,,,,,,Second-year AuD student or consent of instructor.
AUD 265,Aural Rehabilitation,3,"Consequences of hearing loss on learning and communication and its impact on psychosocial function, vocational options, and quality of life. Emphasis on the impact audiologists can have on the individual by managing people with hearing loss. ",,,,,,,,,,Second- or third-year AuD student or consent of instructor.
AUD 271,Temporal Bone Anatomy and Neuroanatomy,3,"Detailed anatomy of the temporal bone, cranial nerves and basic neurophysiology for audiologists. Radiographic and magnetic resonance imaging of the temporal bone will be discussed. ",,,,,,,,,,Second- or third-year AuD student or consent of instructor.
AUD 272,Central Auditory Processing Assessment and Management,4,"Central auditory processing assessment and management for pediatrics and adults. Focus on behavioral tests assessing dichotic listening, temporal processes, pattern recognition, performance with competing and degraded signals. ",,,,,,,,,,Course restricted to AuD students.
AUD 274,Advanced Technical Aspects of Hearing Amplification,4,Advanced technical aspects of assessing and fitting amplification devices for the hearing impaired. Intensive hands-on training to develop skills necessary for audiology clinical placement. ,,,,,,,,,,Course restricted to AuD students or consent of instructor.
AUD 275,Intraoperative Monitoring,3,Methods and procedures required for monitoring of evoked auditory responses in the operating room. The indications for the use of intraoperative monitoring and difficulties unique to this setting. The course will include the opportunity to observe auditory potential monitoring in the operating room. ,,,,,,,,,,Second- or third-year AuD student or consent of instructor.
AUD 276,Cochlear Implants and Other Implantable Sensory Aids,3,Theory and practice of cochlear implantation with focus on audiological management of patients after implantation. Current concepts regarding the activation of primary auditory neurons by electrical stimulation and indications for cochlear implantation and surgical procedures are described. ,,,,,,,,,,Second- or third-year AuD student or consent of instructor.
AUD 278,Special Topics in Audiology,3,"Current and developing topics in audiology introduced in group projects, presentations, and mock clinical scenarios. Improving grasp of audiology underpinnings, business practices, critiquing treatments, and emerging technologies. ",,,,,,,,,,Second- or third-year AuD student or consent of instructor.
AUD 284,Clinical Practice in Audiology II,1–4,"Applications of clinical procedures to patient assessment. Includes clinical observation, interaction with otologists, and supervised patient care involving diagnostics and hearing-aid evaluations in the UC San Diego audiology clinics. This course may be taken more than once. ",,,,,,,,,,Open to second- or third-year doctoral students or consent of instructor. One quarter unit represents three to four hours per week. Must also be concurrently enrolled in AUD 291.
AUD 291,Clinical Case Studies/Staffing,1,Presentations and discussion of clinical cases and issues related to clinical practice. Students’ clinical experiences are discussed relative to medical and audiological assessment and management. This course may be taken more than once. ,,,,,,,,,,Second- or third-year AuD student or consent of instructor. Must be taken more than once.
AUD 296,Research Practicum,3,Participation in specific faculty research activities. Become familiar with research methods and objectives of a faculty’s research project. Participate in data collection and analysis at the discretion of the faculty investigator. ,,,,,,,,,,Second- or third-year AuD student and consent of instructor.
AUD 298,Independent Research,3,"Independent research on topics relevant to audiology, consisting of literature review, data collection. Faculty supervision and mentoring on practical elements of research design and methodology. The course will consist of laboratory experience, focused on practical elements of research and design and methodology. ",,,,,,,,,,Consent of AuD program adviser and consent of faculty mentor.
AUD 299,Doctoral Project,3,Individual investigation and preparation of the doctoral project for the AuD degree will be performed under the supervision of an experienced research mentor. ,,,,,,,,,,Advancement to candidacy in the AuD program.
