course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
BENG 1,Introduction to Bioengineering,2,"An introduction to bioengineering that includes lectures and hands-on laboratory for design projects. The principles of problem definition, engineering inventiveness, team design, prototyping, and testing, as well as information access, engineering standards, communication, ethics, and social responsibility will be emphasized. P/NP grades only. ",,,,,,,,,,
BENG 2,Introductory Computer Programming and MATLAB,2,"Introduction to MATLAB is designed to give students fluency in MATLAB, including popular toolboxes. Consists of interactive lectures with a computer running MATLAB for each student. Topics: variables, operations, and plotting; visualization and programming; and solving equations and curve fitting. ",,,,,,,,,,Bioengineering: biosystems majors only or consent of department. (F)
BENG 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. (F,W,S)",,,,,,,,,,
BENG 91,Topics in Bioengineering and Medicine,1,Seminar discussing the interface between and opportunities for bioengineering and medicine. Students will interact with clinical faculty and bioengineering faculty to discuss current topics and problems where engineering solutions could improve the practice of medicine. Intended for first-year and transfer students in the Department of Bioengineering. ,,,,,,,,,,Bioengineering majors only or consent of department.
BENG 97,Internship/Field Studies,1–4,"An enrichment program available to a limited number of lower-division undergraduate students, which provides work experience with industry, government offices, and hospitals. The internship is coordinated through UC San Diego’s Academic Internship Program under the supervision of a faculty member and an industrial, government, or hospital employee. ",,,,,,,,,,"Lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form. (F,W,S)"
BENG 98,Directed Group Study,1–4,Directed group study on a topic or in a field not included in the regular department curriculum. (P/NP grades only.) ,,,,,,,,,,"Lower-division standing, completion of thirty units of undergraduate study at UC San Diego with a UC San Diego GPA of at least 3.0 and consent of a bioengineering faculty member; completed and approved Special Studies form."
BENG 99,Independent Study for Undergraduates,4,Independent reading or research by arrangement with a bioengineering faculty member. (P/NP grades only.) ,,,,,,,,,,"Lower-division standing, completion of thirty units of undergraduate study at UC San Diego with a UC San Diego GPA of at least 3.0 and consent of a bioengineering faculty member; completed and approved Special Studies form."
BENG 99H,Independent Study,1,Independent study or research under direction of a member of the faculty. ,,,,,,,,,,Student must be of first-year standing and a Regents Scholar; approved Special Studies form.
BENG 100,Introduction to Probability and Statistics for Bioengineers,4,"The class provides foundation in probability and statistics. Topics include probability spaces, random variables, independence, common distributions, CLT, estimator accuracy, maximum likelihood, and hypothesis testing. Written problems are provided for each topic. Applications are discussed in regard to bioengineering problems. ",BENG 1,MATH 18 or MATH 31AH or MATH 20F,MATH 20C or MATH 31BH,,,,,,,Bioengineering majors only or consent of department. (S)
BENG 102,Molecular Components of Living Systems,4,"Introduction to molecular structures. Macromolecules and assemblies-proteins, nucleic acids, and metabolites. Principles of design of simple and complex components of organelles, cells, and tissues. ",BENG 120,,,,,,,,,(S)
BENG 103B,Bioengineering Mass Transfer,4,"Mass transfer in solids, liquids, and gases with application to biological systems. Free and facilitated diffusion. Convective mass transfer. Diffusion-reaction phenomena. Active transport. Biological mass transfer coefficients. Steady and unsteady state. Flux-force relationships. (Credit not allowed for both CENG 101C and BENG 103B.)",CENG 101A or MAE 101A or BENG 112A,,,,,,,,,(S)
BENG 110,Musculoskeletal Biomechanics,4,"Statics, dynamics, and solid mechanics of hard and soft musculoskeletal tissues. Forces, moments, static equilibrium, kinematics, kinetics applied to human mechanics, and movement. Stress, strain, and material properties of musculoskeletal tissues. Problem solving and design in biomechanics. ",MATH 20D,MATH 20E or MATH 31CH,MATH 18 or MATH 31AH,PHYS 2C,,,,,,(F)
BENG 112A,Soft Tissue Biomechanics,4,"Tensor analysis. Stress, strain, equilibrium, and constitutive law for soft biological tissues. Applications of solid mechanics to mammalian tissue physiology. Viscoelasticity. Finite elasticity. Problem solving and design in soft tissue biomechanics. ",BENG 110,,,,,,,,,(W)
BENG 112B,Fluid and Cell Biomechanics,4,"Fluid hydrostatics and flow dynamics. Flow kinematics and conservation laws applied to the circulation. Viscous biofluids. Biopolymers, cell mechanics, and mechanobiology. Problem solving and design in biofluid and cell mechanics. ",BENG 112A,,,,,,,,,(S)
BENG 119A,Design Development in Biomechanics,3,Development of design project in biomechanics. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 119B,Design Implementation in Biomechanics,3,Implementation of design project in biomechanics. ,BENG 187C,,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 120,Organic Chemistry Structural and Design Principles,4,Structural and design principles of carbon compounds. Structure and stereochemistry. Functional groups and chemical transformations. Structure and design principles of biomolecules. Molecules of life and their organization. ,CHEM 6A,CHEM 6B,,,,,,,,Majors only or consent of department. (W)
BENG 122A,Biosystems and Control,4,"Systems and control theory applied to bioengineering. Modeling, linearization, transfer functions, Laplace transforms, closed-loop systems, design and simulation of controllers. Dynamic behavior and controls of first and second order processes. PID controllers. Stability. Bode design. Features of biological controls systems. A simulation project using MATLAB and an oral presentation are required. Credit not allowed for both ECE 101 and BENG 122A.",MAE 140 or BENG 134,,,,,,,,,(F)
BENG 123,Dynamic Simulation in Bioengineering,4,"Dynamic simulation of biochemical reaction networks, including reconstruction of networks, mathematical description of kinetics of biochemical reactions, dynamic simulation of systems of biochemical reactions, and use of simulators for data interpretation and prediction in biology. Emphasis on a design project. ",MATH 18 or MATH 31AH,MATH 20D,BENG 120 or CHEM 40B,,,,,,,Majors only or consent of department. (W)
BENG 125,Modeling and Computation in Bioengineering,4,"Computational modeling of molecular bioengineering phenomena: excitable cells, regulatory networks, and transport. Application of ordinary, stochastic, and partial differential equations. Introduction to data analysis techniques: power spectra, wavelets, and nonlinear time series analysis. ",BENG 122A or BENG 123 or consent of department,,,,,,,,,(S)
BENG 126A,Design Development in Bioinformatics Bioengineering,3,Development of design project in bioinformatics bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 126B,Design Implementation in Bioinformatics Bioengineering,3,Implementation of design project in bioinformatics bioengineering. ,BENG 126A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 127A,Design Development in Molecular Systems Bioengineering,3,Development of design project in molecular systems bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 127B,Design Implementation in Molecular Systems Bioengineering,3,Implementation of design project in molecular systems bioengineering. ,BENG 127A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 128A,Design Development in Genetic Circuits Bioengineering,3,Development of design project in genetic circuits bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 128B,Design Implementation in Genetic Circuits Bioengineering,3,Implementation of design project in genetic circuits bioengineering. ,BENG 128A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 129A,Design Development in Cell Systems Bioengineering,3,Development of design project in cell systems bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 129B,Design Implementation in Cell Systems Bioengineering,3,Implementation of design project in cell systems bioengineering. ,BENG 129A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 130,Biotechnology Thermodynamics and Kinetics,4,"An introduction to physical principles that govern biological matter and processes, with engineering examples. Thermodynamic principles, structural basis of life, molecular reactions and kinetics, and models to illustrate biological phenomena. ",CHEM 6B,MATH 20A,MATH 20B,MATH 20D,PHYS 2A,PHYS 2B,PHYS 2C,,,Majors only or consent of department. (W)
BENG 133,Numerical Analysis and Computational Engineering,4,"Principles of digital computing, including number representation and arithmetic operations. Accuracy, stability, and convergence. Algorithms for solving linear systems of equations, interpolation, numerical differentiation, and integration and ordinary differential equations. ",MATH 20D or consent of department,MATH 18 or consent of department,,,,,,,,(S)
BENG 134,"Measurements, Statistics, and Probability",4,"A combined lecture and laboratory course that provides an introductory treatment of probability theory, including distribution functions, moments, and random variables. Practical applications include estimation of means and variances, hypothesis testing, sampling theory, and linear regression. ",MATH 20D,MATH 18 or MATH 31AH,BENG 100 or consent of department,,,,,,,(F)
BENG 135,Biomedical Signals and Systems,4,"Discrete systems: linearity, convolution, impulse, and step responses. Linear systems properties. Difference equations. Fourier Series. Continuous FS. Discrete FS. Periodic signals, filtering, and FT. Discrete FT examples. Frequency response of linear systems. Sampling. Relationship between FT, DFT. Laplace Transform. LT and inverse LT. ",ECE 45,BENG 133 or consent of department,,,,,,,,(F) Not offered until fall 2016.
BENG 139A,Design Development in Molecular Bioengineering,3,Development of design project in molecular bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 139B,Design Implementation in Molecular Bioengineering,3,Implementation of design project in molecular bioengineering. ,BENG 139A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 140A,Bioengineering Physiology,4,"Introductory mammalian physiology for bioengineering students, with emphasis on control mechanisms and engineering principles. Basic cell functions; biological control systems; muscle; neural; endocrine, and circulatory systems. Not intended for premedical bioengineering students. Credit not allowed for both BIPN 100 and BENG 140A.",CHEM 6A-B or PHYS 2A-B-C or BILD 1 or BENG 102,,,,,,,,,Majors only or consent of department. (W)
BENG 140B,Bioengineering Physiology,4,"Introductory mammalian physiology for bioengineering students, with emphasis on control mechanisms and engineering principles. Digestive, respiratory, renal, and reproductive systems; regulation of metabolism, and defense mechanisms. (Credit not allowed for both BIPN 102 and BENG 140B.)",BENG 140A,,,,,,,,,Majors only or consent of instructor. (S)
BENG 141,Biomedical Optics and Imaging,4,"Introduction to optics. Light propagation in tissue. Propagation modeling. Optical components. Laser concepts. Optical coherence tomography. Microscopic scattering. Tissue optics. Microscopy. Confocal microscopy. Polarization in tissue. Absorption, diffuse reflection, light scattering spectroscopy. Raman, fluorescence lifetime imaging. Photo-acoustic imaging. ",BENG 100 or consent of department,,,,,,,,,(F)
BENG 147A,Design Development in Neural Engineering,3,Development of design project in neural engineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 147B,Design Implementation in Neural Engineering,3,Implementation of design project in neural engineering. ,BENG 147A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 148A,Design Development in Cardiac Bioengineering,3,Development of design project in cardiac bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 148B,Design Implementation in Cardiac Bioengineering,3,Implementation of design project in cardiac bioengineering. ,BENG 148A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 149A,Design Development in Vascular Bioengineering,3,Development of design project in vascular bioengineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 149B,Design Implementation in Vascular Bioengineering,3,Implementation of design project in vascular bioengineering. ,BENG 149A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 152,Biosystems Engineering Laboratory,4,"Experimental study of real and simulated systems and their controls (examples will include electrical, biological, and biomechanical systems). Projects consist of identification, input-output analysis, design, and implementation of analog controls. Laboratory examples will include electrical circuit design and analysis, analysis of living tissues such as bone, analysis and manipulation of cells (bacteria in chemostat). Program or materials fees may apply. ",BENG 102,,,,,,,,,Bioengineering: biosystems majors only or consent of department. (W)
BENG 160,Chemical and Molecular Bioengineering Techniques,4,"Introductory laboratory course in current principles and techniques of chemistry and molecular biology applicable to bioengineering. Quantitation of proteins and nucleic acids by spectrophotometric, immunological, and enzymatic methods. Separations and purification by centrifugation, chromatographic, and electrophoretic methods. Course materials fees may apply. ",BICD 100,BENG 100,MAE 170,,,,,,,Majors only or consent of department. (S)
BENG 161A,Bioreactor Engineering,4,"Engineering, biochemical, and physiological considerations in the design of bioreactor processes: enzyme kinetics, mass transfer limitations, microbial growth, and product formation kinetics. Fermentation reactor selection, design, scale-up, control. Quantitative bioengineering analysis and design of biochemical processes and experiments on biomolecules. ",BENG 123,BENG 160 or consent of department,,,,,,,,(F)
BENG 161B,Biochemical Engineering,4,"Commercial production of biochemical commodity products. Application of genetic control systems and mutant populations. Recombinant DNA and eukaryotic proteins in E. coli and other host organisms. Product recovery operations, including the design of bioseparation processes of filtration, adsorption, chromatography, and crystallization. Bioprocess economics. Human recombinant erythropoietin as an example, from genomic cloning to CHO cell expression, to bioreactor manufacturing and purification of medical products for clinical application. ",BENG 161A or consent of department,,,,,,,,,(W)
BENG 162,Biotechnology Laboratory,4,"Laboratory practices and design principles for biotechnology. Culture of microorganisms and mammalian cells, recombinant DNA bioreactor design and operation. Design and implementation of biosensors. A team design-based term project and oral presentation required. Course materials fees may apply. ",MAE 170,BENG 160,,,,,,,,Majors only or consent of department. (F)
BENG 166A,Cell and Tissue Engineering,4,"Engineering analysis of physico-chemical rate processes that affect, limit, and govern the function of cells and tissues. Cell migration, mitosis, apoptosis, and differentiation. Dynamic and structural interactions between mesenchyme and parenchyme. The role of the tissue microenvironment including cell-cell interactions, extracellular matrix, and growth factor communication. The design of functional tissue substitutes including cell and material sourcing, scale-up and manufacturability, efficacy and safety, regulatory, and ethical topics. Clinical applications. ",BENG 103B or BENG 112B,,,,,,,,,Senior standing or consent of department. (F)
BENG 168,Biomolecular Engineering,4,"Basic molecular biology and recombinant DNA technologies. Structure and function of biomolecules that decode genomes and perform energy conversion, enzymatic catalysis, and active transport. Metabolism of macromolecules. Molecular diagnostics. Design, engineering, and manufacture of proteins, genomes, cells, and biomolecular therapies. ",BILD 1,BENG 100 or consent of department,,,,,,,,(W)
BENG 169A,Design Development in Tissue Engineering,3,Development of design project in tissue engineering. ,BENG 187B,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 169B,Design Implementation in Tissue Engineering,3,Implementation of design project in tissue engineering. ,BENG 169A,BENG 187C,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG 172,Bioengineering Laboratory,4,"A laboratory course demonstrating basic concepts of biomechanics, bioengineering design, and experimental procedures involving animal tissue. Sources of error and experimental limitations. Computer data acquisition, modeling, statistical analysis. Experiments on artery, muscle and heart mechanics, action potentials, viscoelasticity, electrocardiography, hemorheology. Course materials fees may apply. ",MAE 170,,,,,,,,,Junior or senior standing in the major or consent of instructor. (S)
BENG 179A,Design Development in Bioinstrumentation,3,Development of design project in bioinstrumentation. ,,,,,,,,,,Concurrent enrollment in BENG 187B; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (F)
BENG 179B,Design Implementation in Bioinstrumentation,3,Implementation of design project in bioinstrumentation. ,BENG 179A,,,,,,,,,Concurrent enrollment in BENG 187C; bioengineering or bioengineering: biotechnology majors only or consent of instructor. (W)
BENG/BIMM/CSE 181,Molecular Sequence Analysis,4,"(Cross-listed as BIMM 181 and CSE 181.) This course covers the analysis of nucleic acid and protein sequences, with an emphasis on the application of algorithms to biological problems. Topics include sequence alignments, database searching, comparative genomics, and phylogenetic and clustering analyses. Pairwise alignment, multiple alignment, DNA sequencing, scoring functions, fast database search, comparative genomics, clustering, phylogenetic trees, gene finding/DNA statistics.",CSE 100,CSE 101,BIMM 100 or CHEm 114C,,,,,,,Bioinformatics majors only. (W)
BENG/BIMM/CSE/CHEM 182,Biological Databases,4,"(Cross-listed as BIMM 182, CSE 182, and CHEM 182.) This course provides an introduction to the features of biological data, how those data are organized efficiently in databases, and how existing data resources can be utilized to solve a variety of biological problems. Object-oriented databases, data modeling, and data description. Survey of current biological database with respect to above; implementation of database focused on a biological topic.",CSE 100,,,,,,,,,Bioinformatics majors only. (S)
BENG 183,Applied Genomic Technologies,4,"Principles and technologies for using genomic information for biomedical applications. Technologies will be introduced progressively, from DNA to RNA to protein to whole cell systems. The integration of biology, chemistry, engineering, and computation will be stressed. Topics include technology for the genome, DNA chips, RNA technologies, proteomic technologies, aphysiomic and phenomic technologies, and analysis of cell function. ",BIMM 100 or CHEM 114C or consent of department,,,,,,,,,(F)
BENG/BIMM/CSE/CHEM 184,Computational Molecular Biology,4,"(Cross-listed as BIMM 184, CSE 184, and CHEM 184.) This advanced course covers the application of machine learning and modeling techniques to biological systems. Topics include gene structure, recognition of DNA and protein sequence patterns, classification, and protein structure prediction. Pattern discovery, hidden Markov models/support vector machines/neural network/profiles, protein structure prediction, functional characterization of proteins, functional genomics/proteomics, metabolic pathways/gene networks.",BENG 181 or BIMM 181 or CSE 181,BENG 182 or BIMM 182 or CSE 182 or CHEM 182,,,,,,,,Bioinformatics majors only. (S)
BENG 186A,Principles of Biomaterials Design,4,"Fundamentals of materials science as applied to bioengineering design. Natural and synthetic polymeric materials. Materials characterization and design. Wound repair, blood clotting, foreign body response, transplantation biology, biocompatibility of materials, tissue engineering. Artificial organs and medical devices. Government regulations. Patenting. Economic impact. Ethical issues. A term project and oral presentation are required. ",BENG 112B or BENG 123 or consent of department,,,,,,,,,(S)
BENG 186B,Principles of Bioinstrumentation Design,4,"Biophysical phenomena, transducers, and electronics as related to the design of biomedical instrumentation. Potentiometric and amperometric signals and amplifiers. Biopotentials, membrane potentials, chemical sensors. Electrical safety. Mechanical transducers for displacement, force, and pressure. Temperature sensors. Flow sensors. Light-based instrumentation. ",ECE 35 or MAE 140 or consent of department,ECE 45 or MAE  170 or consent of department,,,,,,,,(W)
BENG 187A,Bioengineering Design Project: Planning,1,"General engineering design topics including project planning and design objectives, background research, engineering needs assessment, technical design specifications, engineering standards, and design requirements and constraints. Introduction to biomedical and biotechnology design projects. Career and professional advising. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. ",BENG 112A or BENG 152 or BENG 168,,,,,,,,,"Bioengineering, bioengineering: biotechnology, or bioengineering: biosystems majors only or consent of department. (S)"
BENG 187B,Bioengineering Design Project: Development,1,"Development of an original bioengineering design for solution of a problem in biology or medicine. Analysis of economic issues, manufacturing and quality assurance, ethics, safety, design constraints, government regulations, and patent requirements. Oral presentation and formal engineering reports. Career and professional advising. Majors must enroll in the course for a letter grade in order to count the sequence toward the major. No exceptions will be approved. ",BENG 187A,"BENG 119A, BENG 126A, BENG 127A, BENG 128A, BENG 129A, BENG 139A, BENG 147A, BENG 148A, BENG 149A, BENG 169A, or BENG 179A",,,,,,,,"Concurrent enrollment in one of BENG 119A, BENG 126A, BENG 127A, BENG 128A, BENG 129A, BENG 139A, BENG 147A, BENG 148A, BENG 149A, BENG 169A, or BENG 179A; bioengineering, bioengineering: biotechnology, or bioengineering: biosystems majors only or consent of instructor. (F)"
