course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
BIOM 200A,Molecules to Organisms: Concepts,6,"This course provides a systematic approach to current biomedical research, using analysis of selected topics to focus on the process of research discovery and its critical evaluation. The course progresses through five thematic modules that cover genes, building a cell, cellular responses, organogenesis, and the processes that allow survival in the world. ",,,,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 200B,Molecules to Organisms: Approaches,2,"Students will critically evaluate classic and current research papers in biomedical research, in addition to being exposed to state-of-the-art technologies in research. ",,,,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 201,Seminars in Biomedical Research,4,This course includes attendance at seminars in the biomedical sciences and is designed to provoke critical discussion of the presented findings and scientific approaches in a small-group setting. ,,,,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 202,Biomedical Sciences Research Rotation,3,Laboratory rotations provide first-year students with experience in the various experimental methods used in biomedical sciences. ,,,,,,,,,,"Limited to BMS graduate students except by consent of instructor. (F,W,S)"
BIOM 209,"Lipid Cell Signaling Genomics, Proteomics, and Metabolomics",2,"Overview of new systems biology “omics” approaches to lipid metabolism and cell signaling including interrogating gene and lipid databases, techniques for lipidomics, and implications for profiling and biomarker discovery in blood and tissues relevant to inflammatory and other human diseases. Recommended: one quarter of undergraduate biochemistry. ",,,,,,,,,,
BIOM 218,Current Topics in Anthropogeny,1,Participation in the symposia held by CARTA three times a year. Students shadow one of the speakers during public and private symposia. Students meet after each symposium and each writes a summary of the speaker’s presentation and ensuring discussion. ,,,,,,,,,,Graduate standing required.
BIOM 219,Ethics in Scientific Research,1,"Overview of ethical issues in scientific research, conflicts of interest; national, statewide and campus issues and requirement; ethical issues in publications; authorship; retention of research records; tracing of research records; attribution; plagiarism; copyright considerations; primary, archival and meeting summary publications; ethical procedures and policies; NIH, NSF, California and UC San Diego; case studies and precedents in ethics. ",,,,,,,,,,Consent of instructor.
BIOM 222,Essentials of Glycobiology,2,"Advanced elective for graduate/medical students who have had core courses in cell biology or biochemistry. Expert faculty will present a coordinated overview of the field of glycobiology, which explores the structure, synthesis, and functions of sugar chains in biological systems.",,,,,,,,,,
BIOM 224,Topics in Cancer Research,2,"Each quarter will focus on an important area of cancer research such as immunology (fall), growth regulation (winter), and cancer genetics (spring). One-hour lecture coordinated with a one-hour seminar with the opportunity to meet with the invited speaker. ",,,,,,,,,,"Limited to senior undergraduates, graduate students, and medical students. (W,S)"
BIOM 225,Introduction to Anthropogeny,2,"An overview of the current state of research into human origins with illustration of the spatial and temporal scales: from million-year-old phylogenies to millisecond physiological processes, and from human societies dispersed across continents to cells and molecules. ",,,,,,,,,,Graduate standing required.
BIOM 226,Hormone Action,3,"The course covers recent advances in research into hormone action, molecular endocrinology, lipid, lipoprotein, and carbohydrate metabolism, and reproductive medicine. ",BIOM 200,BIOM 200B,BIOM 201,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 227,Mouse Models of Human Disease,2,"This course provides an overview of the use of mouse models in biomedical research. Sessions will cover general mouse biology, genetics, technologies for generating mutant mice and will focus on model selection, methodological approaches, data interpretation, experimental design, and ethics of animal research. Student participation and discussion will be encouraged. ",,,,,,,,,,Graduate standing or consent of instructor.
BIOM 228,Modern Drug Discovery Technologies,2,"Drug discovery is an emerging science available to academic investigators. This course provides an overview of these drug discovery techniques, including high through-put screening, cell-based screening, computational methods of lead compound discovery, and chemical methods of optimization. ",,,,,,,,,,Graduate student status or consent of graduate program director.
BIOM 229,Advanced Anthropogeny,2,Advanced discussions following on “Introduction to Anthropogeny.” Online “Museum of Comparative Anthropogeny (MOCA)” will serve as major scaffold for this in-depth course. MOCA (http://carta.anthropogeny.org/content/about-moca) has over 500 topics addressing uniquely human traits across twenty-four domains of knowledge and scientific disciplines.,BIOM 225,,,,,,,,,
BIOM 231,Contemporary Topics in Pharmacology,2,"A selection of short courses in the biomedical and pharmacological sciences offered by resident experts. Topics will vary annually. Each short course will last one to two weeks, meeting five hours a week. ",,,,,,,,,,"Consent of instructor. (F,W,S)"
BIOM 232,In vivo Cellular and Molecular Imaging,1,"Strategies such as positron emission tomography, magnetic resonance imaging, and ultrasound for nondestructively imaging molecular and cell biological events inside living animals and eventually human patients. Emphasis on detecting angiogenesis, apoptosis, and expression of tumor-specific genes. ",,,,,,,,,,Upper-division or graduate courses in molecular and cell biology.
BIOM 233,Structural Biology in Cell Signaling and Drug Discovery,2,"This class is taught by SBMRI program faculty, whose laboratories are actively involved in determining the three-dimensional structure of complex biological entities. The course covers basic principles of crystallization, cryo-electron microscopy, and NMR, and modern techniques for Ab-initio-structural analysis. ",,,,,,,,,,Graduate standing status or consent of graduate program director.
BIOM 234,Practical Histopathology and Mouse Models of Human Diseases,2,The course is designed to introduce or reintroduce histology and histopathology of the various organ systems to those who need to analyze mouse tissues as an essential part of their research. ,,,,,,,,,,Standard undergraduate biology courses.
BIOM 235,Pharmacogenomics,3,This course provides an understanding of the evolving area of human genomics and correlation between an individual’s or subpopulation’s genetic makeup and their response to drugs. The information provides the student the basis for select prescribing and/or targeting drug development to improve drug therapy outcomes and reduce adverse drug responses. ,,,,,,,,,,Admission to Skaggs School of Pharmacy and Pharmaceutical Sciences or BMS Program (Major Code BS75) or consent of instructor.
BIOM 240,Critical Reading in Cell Biology,3,"This course will focus on critical reading and understanding current areas in cell and molecular biology. The exact topic will vary, but will include such topics as protein trafficking, cell division, intracellular movement, cell interaction, and cell cycle.",,,,,,,,,,
BIOM 242,Seminar in Genetics,1,Intended for graduate students interested in principles of classical and molecular genetics. Will attend weekly genetics seminar and participate in didactic/discussion preparatory session. ,,,,,,,,,,Consent of instructor.
BIOM 246,Current Literature in Glycobiology,1,Informal presentations on topics of current interest in glycobiology as represented in the current scientific literature. ,,,,,,,,,,Consent of instructor.
BIOM 252,Genetics and Genomics,3,"This course will examine the basic principles of genetics and genomics. We will focus on classic discoveries and examples of approaches to current experimental problems. Emphasis areas will vary but general topics include Mendelian inheritance, imprinting, cytogenetics, genome structure, genetic variation, linkage and recombination, complex traits, statistical genetics, population genetics, genomic tools and methodology, medical genetics, model organisms. ",BIOM 200,BIOM 200B,BIOM 201,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 253,Pathogens and Host Defense,3,"This course will examine the innate and adaptive immune responses of humans to microbial infection. In parallel, we will explore the virulence mechanisms through which certain medically important viruses, bacteria, fungi, and parasites subvert host defense to produce infectious disease. Emphasis will be placed on basic molecular genetic and cellular approaches to understanding microbial pathogenesis and host susceptibility, including progress toward novel antibiotic and immune stimulatory therapies. ",BIOM 200,BIOM 200B,BIOM 201,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 254,Molecular and Cell Biology,3,"This course will examine the basic principles of molecular and cellular biology and their impact on medicine focusing on classic discoveries and examples of approaches to current experimental problems. Emphasis areas will vary but will include genes and genomics, chromosome biology and nuclear structure, transcriptional regulation, RNA processing, cell cycle control, cell growth and death, cell differentiation and stem cell biology, molecular motors and motility, membrane trafficking and signaling. ",BIOM 200,BIOM 200B,BIOM 201,,,,,,,Limited to BMS graduate students except by consent of instructor.
BIOM 255,Molecular Basis of Drug Action and Disease Therapy,3,"Molecular basis of drug action; basis of disease; drug invention. Topics may include: basic principles, autonomic nervous system; CV, pulmonary, diabetes, cancer therapy, pharmacotherapy of CNS disease (depression, etc.) pain, infections (bacterial, viral, malarial). Students that have taken both 255A and 255B cannot take 255 for credit.",BIOM 200,BIOM 200B,BIOM 201,,,,,,,Limited to BMS graduate students except by consent of instructor.
