course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CHIN 10AN,First-Year Chinese I,5,"Introductory Mandarin Chinese language course for students with no Chinese language experience. Part one of a three-quarter sequence that covers foundational pronunciation, grammar, and vocabulary through interactive classes. ",,,,,,,,,,Placement interview required for department approval to enroll.
CHIN 10AM,First-Year Chinese for Mandarin Speakers I,5,"Introductory Mandarin Chinese language course intended for students with some oral proficiency but who have not had formal written training in Mandarin. Part one of a three-quarter sequence focusing on increasing literacy with basic characters and covering fundamentals of Chinese grammar, pronunciation, and vocabulary through interactive classes. ",,,,,,,,,,Placement interview required for department approval to enroll.
CHIN 10AD,First-Year Chinese for Dialect Speakers I,5,"Introductory Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin. Part one of a three-quarter sequence covering fundamentals of pronunciation, Chinese grammar, and vocabulary through interactive classes. ",,,,,,,,,,Placement interview required for department approval to enroll.
CHIN 10BN,First-Year Chinese II,5,"Introductory Mandarin Chinese language course for students with little to no Chinese language experience. Part two of a three-quarter sequence that covers foundational pronunciation, grammar, and vocabulary through interactive classes. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 10BM,First-Year Chinese for Mandarin Speakers II,5,Introductory Mandarin Chinese language course intended for students with some oral proficiency but who have not had significant written training in Mandarin; part two of a three-quarter sequence focusing on increasing literacy with additional characters. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 10BD,First-Year Chinese for Dialect Speakers II,5,"Introductory Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin. Part two of a three-quarter sequence that expands competence in Chinese grammar, pronunciation, and vocabulary through interactive classes. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 10CN,First-Year Chinese III,5,"Introductory Mandarin Chinese language course for students with some basic Chinese language experience. Part three of a three-quarter sequence that covers foundational pronunciation, grammar, and vocabulary through interactive classes. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 10CM,First-Year Chinese for Mandarin Speakers III,5,"Introductory Mandarin Chinese language course intended for students with some oral proficiency but who have not had significant written training in Mandarin. Part three of a three-quarter sequence focusing on increasing literacy with additional characters and expanding competence in Chinese grammar, pronunciation, and vocabulary through interactive classes. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 10CD,First-Year Chinese for Dialect Speakers III,5,"Introductory Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin. Part three of a three-quarter sequence that expands competence in Chinese grammar, pronunciation, and vocabulary through interactive classes. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20AN,Second-Year Chinese I,4,Intermediate Mandarin Chinese language course for students with some basic formal study of Chinese language; part one of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20AM,Second-Year Chinese for Mandarin Speakers I,4,Intermediate Mandarin Chinese language course intended for students with some oral proficiency but little formal written training in Mandarin; part one of a three-quarter sequence focusing on increasing literacy with additional characters and expanding oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20AD,Second-Year Chinese for Dialect Speakers I,4,Intermediate Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin; part one of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20BN,Second-Year Chinese II,4,Intermediate Mandarin Chinese language course for students with some basic formal study of Chinese language; part two of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20BM,Second-Year Chinese for Mandarin Speakers II,4,Intermediate Mandarin Chinese language course intended for students with some oral proficiency but little formal written training in Mandarin; part two of a three-quarter sequence focusing on increasing literacy with additional characters and expanding oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20BD,Second-Year Chinese for Dialect Speakers II,4,Intermediate Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin; part two of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20CN,Second-Year Chinese III,4,Intermediate Mandarin Chinese language course for students with some basic formal study of Chinese language; part three of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20CM,Second-Year Chinese for Mandarin Speakers III,4,Intermediate Mandarin Chinese language course intended for students with some oral proficiency but little formal written training in Mandarin; part three of a three-quarter sequence focusing on increasing literacy with additional characters and expanding oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 20CD,Second-Year Chinese for Dialect Speakers III,4,Intermediate Mandarin Chinese language course intended for students with some proficiency in a Chinese dialect other than Mandarin; part three of a three-quarter sequence that continues to expand oral and written communicative competence in Mandarin Chinese through interactive classes. ,,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100AN,Third-Year Chinese I,4,"Advanced Mandarin Chinese language course for students who have received some prior formal training in Mandarin. Part one of a three-quarter sequence that further expands more advanced oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100AM,Third-Year Chinese for Mandarin and Dialect Speakers I,4,"Advanced Mandarin Chinese language course for students who have received some prior formal training in Mandarin. Part one of a three-quarter sequence that further expands more advanced oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100BN,Third-Year Chinese II,4,"Advanced Mandarin Chinese language course for students who have received some prior training in Mandarin. Part two of a three-quarter sequence that further expands more advanced oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100BM,Third-Year Chinese for Mandarin and Dialect Speakers II,4,"Advanced Mandarin Chinese language course intended for students with some oral or written proficiency in Mandarin or another Chinese dialect. Part two of a three-quarter sequence that further expands more complex oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100CN,Third-Year Chinese III,4,"Advanced Mandarin Chinese language course for students who have received some prior training in Mandarin. Part three of a three-quarter sequence that further expands more advanced oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 100CM,Third-Year Chinese for Mandarin and Dialect Speakers III,4,"Advanced Mandarin Chinese language course intended for students with some oral or written proficiency in Mandarin or another Chinese dialect. Part three of a three-quarter sequence that further expands more complex oral and written communicative competence through study of topics including the history of Chinese language and society, education, and literature. ",,,,,,,,,,Previous course or department approval through placement interview.
CHIN 160/260,Late Imperial and Twentieth-Century Chinese Historical Texts,4,"This course introduces the primary sources used by historians of late Imperial and twentieth-century Chinese history. Reading material includes diaries, newspaper articles, Qing documents, gazetteers, essays, speeches, popular fiction, journal articles, scholarly prose, and field surveys. May be repeated for credit. (P/NP grades only.) ",,,,,,,,,,Advanced knowledge of Chinese language and consent of instructor.
CHIN 165A,Business Chinese I,4,"Advanced Mandarin Chinese language course that focuses on oral and written communication skills for business, including introduction to modern business terminology and social conventions. ","CHIN 100CM, CHIN 100CN, CHIN 165B-C, CHIN 185A-B-C, placement interview",,,,,,,,,
CHIN 165B,Business Chinese II,4,"Advanced Mandarin Chinese language course that focuses on oral and written communication skills for business, including introduction to modern business terminology and social conventions. ","CHIN 100CM, CHIN 100CN, CHIN 165A, CHIN 165C, CHIN 185A-B-C, placement interview",,,,,,,,,
CHIN 165C,Business Chinese III,4,"Advanced Mandarin Chinese language course that focuses on oral and written communication skills for business, including introduction to modern business terminology and social conventions. ","CHIN 100CM, CHIN 100CN, CHIN 165A-B, CHIN 185A-B-C, placement interview",,,,,,,,,
CHIN 169A,Medical Chinese I,4,"Advanced Mandarin Chinese language course that focuses on conversational medical Chinese for students interested in medicine and health care. Designed to prepare students to speak, listen, and read effectively in a Chinese medical environment and build necessary medical vocabulary. ","CHIN 165A-B-C, CHIN 169B, CHIN 182A-B-C, placement interview",,,,,,,,,
CHIN 169B,Medical Chinese II,4,"Advanced Mandarin Chinese language course that focuses on conversational medical Chinese for students interested in medicine and health care. Designed to prepare students to speak, listen, and read effectively in a Chinese medical environment and build necessary medical vocabulary. ","CHIN 165A-B-C, CHIN 169A, CHIN 182A-B-C, placement interview",,,,,,,,,
CHIN 182A,Classical Chinese I,4,Advanced Mandarin Chinese language course that focuses on building familiarity with classical Chinese. Basic structures and function words are taught through fables of the pre-Qing period. ,"CHIN 165A-B-C, CHIN 169A-B, CHIN 182B-C, CHIN 185A-B-C, placement interview",,,,,,,,,
CHIN 182B,Classical Chinese II,4,"Advanced Mandarin Chinese language course that focuses on building familiarity with classical Chinese. Selections from Kongzi, Mengzi, and work of other philosophers will be taught. Focus is on structures, function words, and overall comprehension of a text. ","CHIN 165A-B-C, CHIN 169A-B, CHIN 182A, CHIN 182C, CHIN 185A-B-C, placement interview",,,,,,,,,
CHIN 182C,Classical Chinese III,4,"Advanced Mandarin Chinese language course that focuses on building familiarity with classical Chinese. Selections from later periods like Shiji and poetry will be introduced. Focus is on structures, function words, and overall comprehension of a text. ","CHIN 165A-B-C, CHIN 169A-B, CHIN 182A-B, CHIN 185A-B-C, placement interview",,,,,,,,,
