course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CLAS 87,First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter.",,,,,,,,,,
CLAS 109,Greek Seminar,4,"Readings in Greek covering specific topics in ancient Greek literature, philosophy, history, and religion. May be repeated for credit as topics vary. ",LTGK 3,,,,,,,,,
CLAS 110,Latin Seminar,4,"Readings in Latin covering specific topics in ancient Latin literature, philosophy, history, and religion. May be repeated for credit as topics vary. ",LTGK 3,,,,,,,,,
CLAS 119,Early Christianity,4,"This course examines the emergence, growth, and development of Christianity in its first centuries. The class explores issues of community, doctrine, and practice; inter-religious and intra-religious tension and conflict; and cultural continuity and change.",,,,,,,,,,
CLAS 120,Classical Diversities,4,"This course explores the questions of race and gender in the classical world, together with their impact on the study of the classics in the making of American identity.",,,,,,,,,,
CLAS 121R,World Wisdom Traditions,4,"This online course explores wisdom traditions of the premodern world, examining formative ideas on the art of living well and contrasting worldwide teachings on what it means to be human, one's obligations to others, and the ideal relationship with the natural world.",,,,,,,,,,
CLAS 196A-B,Directed Honors Thesis in Classical Studies,4,BA honors thesis research under the direction of a member of a classical studies program faculty. ,,,,,,,,,,Acceptance into the classical studies honors program and consent of instructor.
CLAS 198,Directed Group Study,4,Directed group study on a topic not generally included in the regular curriculum. Student must make arrangements with individual faculty members. May be repeated for credit as topics vary.,,,,,,,,,,
CLAS 199,Independent Study,4,Independent study on a topic not generally included in the regular curriculum. Student must make arrangements with individual faculty members. May be repeated for credit as topics vary.,,,,,,,,,,
CLASSIC 200A,Contemporary Literary Theory and the Classics,4,"An introduction to contemporary literary theory, focusing on important critical approaches to the literary texts. May be repeated for credit as topics vary.",,,,,,,,,,
CLASSIC 200B,Diachronic Perspectives on Classical Antiquity,4,Examines ways in which classical texts and ideas have been received and appropriated for the diverse purposes of ancient and subsequent cultures. May be repeated for credit as topics vary.,,,,,,,,,,
CLASSIC 200C,Greece and Rome in Their Contemporary Cultural Contexts,4,An introduction to the methods and perspectives of social scientific theory that can be used to study the material and social dimensions of the cultures of ancient Greece and Rome. May be repeated for credit as topics vary.,,,,,,,,,,
CLASSIC 205,Concurrent Readings,2,May be repeated for credit as topics vary.,,,,,,,,,,
CLASSIC 220,Classics Graduate Seminar,4,Subject matter variable; mainly but not exclusively major literary topics. May be repeated for credit as topics vary.,,,,,,,,,,
CLASSIC 280,Independent Study,4–12,Supervised independent research. Subject varies. May be repeated for credit.,,,,,,,,,,
CLASSIC 290,Research in Classics,4–12,Research under Classics faculty. May be repeated for credit.,,,,,,,,,,
CLASSIC 299,Dissertation Research,4–12,Dissertation research with Classics faculty. May be repeated for credit.,,,,,,,,,,
CLASSIC 399,University Teaching,4-4-4,Required of and limited to teaching assistants. Satisfactory/unsatisfactory grade only. May be repeated for credit.,,,,,,,,,,
