course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
COMM 10,Introduction to Communication,4,"Introduction to the history, theory, and practice of communication, including language and literacy, representation and semiotics, mediated technologies and institutional formations, and social interaction. Integrates the study of communication with a range of media production (for example, writing, electronic media, film, performance). COMM 10 may be taken concurrently with the COMM A-B-C courses and intermediate electives. Course is offered fall, winter, and summer quarters.",,,,,,,,,,
COMM 20,Analysis of Media Forms and Cultures,4,"This course builds the critical skills to understand, analyze, and interpret audio/visual media by introducing students to the basic vocabulary and grammar of audio and moving image texts—how they create meaning through compositional form and narrative style—and key critical methodologies for interpreting media culture. Concepts and approaches covered will lay the groundwork for continued study in both scholarly communication areas and hands-on sound, film/video, and/or social media production.",,,,,,,,,,
COMM 30,"Digital Media Literacy: Analyzing Forms, Practices, and Infrastructures of Mediated Public Life",4,"The role of digital communication in a democratic system, and the ways mass media both facilitate and inhibit the development of a viable public sphere. By exploring today’s digital communication dynamics, students will have the opportunity to become more mindful, active consumers of media and to feel empowered to be engaged participants in public life.",,,,,,,,,,
COMM 30GS,"Global Digital Media Literacy: Analyzing Forms, Practices, and Infrastructures of Mediated Public Life",4,"This course focuses on the role of journalism in a global system, and the ways mass media both contribute to and inhibit the development of a viable public sphere and effective political process. With a focus on American as well as international news media, we will examine theories and functions of journalism as well as current issues facing today’s news producers.",,,,,,,,,,
COMM 80,Public Presentation and Persuasion—Speech and Debate,4,"Throughout history, important advances in a democratic society have emerged most often from civil, rigorous discussion, debate, and persuasion. Students develop research, critical thinking, presentation, public speaking, and argumentation skills through in-class practice speeches and debates, along with participation in intercollegiate speech and debate tournaments. May be taken for credit three times.",,,,,,,,,,
COMM 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
COMM 100A,"Communication, the Person, and Everyday Life",4,"This course is a critical introduction to processes of interaction within lived and built environments. It includes historical survey of theories and methods including actor network-theory, conversation analysis, ethnography, ethnomethodology, cultural linguistics, performance, and social cognition. Course work may integrate scholarly study with production (e.g., in-context observation and research or audio/video production). ",COMM 10,,,,,,,,,
COMM 100B,"Communication, Culture, and Representation",4,"This course is a critical introduction to the history of representation, surveying a range of theories and methods that have been used to understand and shape representational practices. The course will focus on relationships between form and content across various representational genres in shifting cultural contexts. Course work may integrate scholarly study with production (e.g., image-making or video/media production). ",COMM 10,,,,,,,,,
COMM 100C,"Communication, Institutions, and Power",4,"This course is a critical introduction to structures of communication formed at the intersection of the state, the economy, and civil society. It includes a historical survey of communication and media industries; legal and policy-based arenas; and civic, political, and social organizations. Students will learn to assess the movement of power through these institutions and its effect in shaping society, culture, and politics. ",COMM 10,,,,,,,,,
COMM 190,Junior Seminar in Communication,4,"The junior seminar enables a detailed examination of a specific topic from the field of communication selected by the instructor, exploring in greater depth theories and methods introduced in the core communication curriculum. Seminars are limited to thirty students with a heavy focus on class participation. Students complete a research project with a significant final product (typically a research paper). ",COMM 10,"COMM 100A, 100B, 100C",,,,,,,,Junior or senior standing.
COMM 101,Introduction to Audiovisual Media Practices,6,"This upper-division course is required as the gateway to all future communication media production courses. Students will learn about contemporary media practices such as film, video, digital/online, and social media production, and how these practices are formed by technical and social constraints. In the studio portion of this course, students will work hands-on with video and new media equipment to apply what they have learned. ",COMM 10,,,,,,,,,
COMM 101A,Media Activi,Media Activis,"In this course, we ask what techniques, strategies, and platforms we might engage to present these stories to a broader audience in an impactful and ethical way. While we engage with a specific web-based platform each quarter, the class maintains an emphasis on documentary storytelling and audiovisual production. The aim of this class is to demystify the idea of a “media activist” by guiding students through the development of their own media activism. ",COMM 10,COMM 101,,,,,,,,
COMM 101D,MPL: Nonlinear/Digital Editing,4,"This course will prepare students to edit on nonlinear editing facilities and introduce aesthetic theories of editing: time code editing, timeline editing on the Media 100, digital storage and digitization of audio and video, compression, resolution, and draft mode editing. By the end of the course students will be able to demonstrate mastery of the digital editing facilities. May be taken for credit three times.",COMM 10,COMM 101,,,,,,,,
COMM 101E,MPL: Ethnographic Methods for Media Production,4,"This is a practical course on ethnographic fieldwork—obtaining informed consent, interviewing, negotiating, formulating a research topic, finding relevant literature, writing a research paper, and assisting others with their research. May be taken for credit three times. ",COMM 10,COMM 101,,,,,,,,
COMM 101K,MPL: Documentary Sketchbook,4,"Digital video is the medium used in this class both as a production technology and as a device to explore the theory and practice of documentary production. Technical demonstrations, lectures, production exercises, and readings will emphasize the interrelation between production values and ethics, problems of representation, and documentary history. May be taken for credit three times. ",COMM 10,COMM 101,,,,,,,,
COMM 101M,MPL: Communication and Computers,4,"This course introduces students to computers as media of communication. Each quarter, students participate in a variety of networking activities designed to show the interactive potential of the medium. Fieldwork designed to teach basic methods is combined with readings designed to build a deeper theoretical understanding of computer-based communication. ",COMM 10,,,,,,,,,
COMM 101N,MPL: Sound Production and Manipulation,4,"Advanced seminar in sound production, design, and editing. Students create projects by recording original sounds and editing on a Pro-Tools system. We consider the potential of sound in film, radio, TV, and on the web by reviewing work and reading sound theory. ",COMM 10,COMM 101,,,,,,,,
