course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
EDS 20S,Introduction to Principles of Learning,4,"Students will study discipline-specific principles of effective learning, including critical thinking, problem solving, collaboration, and group communication. Laboratory and hypothesis testing, library research and writing skills, and self-assessment. Students will explore concepts and procedures in mathematics, science, and economics. ",,,,,,,,,,Summer Bridge participation. Department approval required.
EDS 21S,Writing and Learning—Triton Transition,4,"Reading, writing, and speaking exercises will introduce students to the teaching conventions and learning expectations of American universities. Students will use writing as a means of academic inquiry to explore the culture of higher education in the United States and will gain practice with appropriate style, structure, and mechanics. P/NP grades only. ",,,,,,,,,,Department approval required.
EDS 22,"Education in Cuba: Institutional Structures, History, and Culture",2,"Cuba’s educational system achieves higher outcomes than any other country in Latin America, and compared to the United States, it represents a very different institutional structure. Cuban education serves as an explicit vehicle for the transmission of Cuban culture and historical consciousness. This course examines Cuba’s emphasis on educational achievement following the triumph of its revolution in 1959, including institutional structures, pedagogy, and content.",,,,,,,,,,"Summer Bridge participation, instructor approval required."
EDS 22S,Education in Cuba—Field Experience,4,"This course provides a combination of seminar work and intensive field experience after the end of the spring quarter, during special summer session. Topics are introduced and analyzed in seminars and reinforced and expanded upon in field visits to historic and cultural sites in Cuba. Additional fees may be required for travel expenses. ",EDS 22,,,,,,,,,"Students must be participants in the OASIS Learning Communities Program. Enrollment by instructor approval only. Due to expenses of field experience, enrollment will be limited to students who have completed EDS 22 and attended planning meetings with the instructor to discuss cost and travel requirements."
EDS 23,Success and Satisfaction in the Second Year of Higher Education: Research Trends and Conclusions,2,Course focuses on challenges that confront college students in their second year of higher education and solutions. Emphasis on historically underrepresented students of color with more complex adjustment to college. Analysis of national trends from research including High Impact Practices. This course includes the essential role of utilizing undergraduate tutors to help foster academic and social community within the context of higher education. ,,,,,,,,,,Department approval required. This course is a collaboration with Student Affairs “2 Excel Program.” Enrollees should only be program participants.
EDS 24,Thriving in College,2,This course will introduce students to campus systems that are critical for their success and will provide them with the opportunity to learn about how to make the most out of their college experience. ,,,,,,,,,,Department/instructor approval required. This course is intended for first-year students who completed OASIS Summer Bridge Program.
EDS 25,American Higher Education and the Collegiate Experience,4,"This course is designed to help students think critically about multicultural issues in higher education, as well as the purpose of higher education within the larger context of society. Topics include American higher education history, organization, policy, curricula, and access.",,,,,,,,,,
EDS 31/CHEM 96,Introduction to Teaching Science,2,Explores routine challenges and exceptional difficulties students often have in learning science. Prepares students to make meaningful observations of how K–12 teachers deal with difficulties. Explores strategies that teachers may use to pose problems that stimulate students’ intellectual curiosity.,,,,,,,,,,
EDS 38,Explorations in Education,2,"Undergraduate students are placed in local schools and other educational settings within the community. Students work on educational activities with K–12 students a minimum of twenty hours/quarter. If taken for the EDS major, must be taken for a letter grade.",,,,,,,,,,Department approval required.
EDS 39,Explorations in Secondary STEM Education,2,"Undergraduate students explore current practices and issues in public education focusing on STEM secondary education (grades 6–12) through readings, guest speakers, seminars, and observations in math, science, and computer science classrooms at local schools.",,,,,,,,,,Department approval required.
