course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ENG 5,Orientation to Engineering Profession,1,"This course focuses on academic and personal/career planning, including resume development and preparation for future opportunities including research, internships, and graduate school. Students will gain knowledge and skills in these areas through assignments and in-class activities. This course is available for first-year undergraduate students in the IDEA Scholars program. ",,,,,,,,,,Department approval required.
ENG 10,Fundamentals of Engineering Applications,2,"Application-oriented, hands-on introduction to engineering mathematics and design processes. Key mathematical concepts as they apply to engineering, including solving systems of equations and least-squares regression. In-class activities using Python and Arduino will complement the lectures and provide students hands-on experience with solving real-world engineering problems related to design, manufacturing and prototyping, electronics, and data analysis.",,,,,,,,,,
ENG 15,Engineer Your Success,2,"Engineer Your Success is designed to enhance your success as an engineering student (and later as an engineer) by developing key academic and personal skills. Learn how to study more effectively and uncover how to become the best engineer you can be. This course focuses on academic and personal planning, time management, study skills, and paths to personal growth. Activities include individual and collaborative exercises, personal reflections, and a final project.",,,,,,,,,,
ENG 20,Introduction to Engineering Research,2,"Introduction to research in engineering. Topics include defining a research problem, finding and reading technical papers, technical writing, and effective practices for presenting research. Students write a proposal on their lab placement research project. This course is for students in the Guided Engineering Apprenticeship in Research (GEAR). ",,,,,,,,,,Department approval required.
ENG 100C,Technical Writing/Communication for Engineers and Scientist,2,"Principles and procedures of technical writing and professional communication. The course is ideal for students pursuing careers in science and/or engineering and covers organizing information, writing for technical forms such as proposals and abstracts, and designing visual aids.",,,,,,,,,,
ENG 100D,Design for Development,4,"An introduction to the practice of human-centered design and team engineering within a humanitarian context. Includes a group project designing a solution for a local or global nonprofit organization. Topics include design process, contextual listening, project management, needs and capacity assessment, stakeholder analysis, ethical issues, models of leadership, gender and cultural issues, sustainable community development, and social entrepreneurship. ENG 100D is the gateway course for the Global TIES program, but it is open to all undergraduate students. Please go to http://globalties.ucsd.edu for information about Global TIES. Recommended preparation: one university-level mathematics course. ",CAT 2 or DOC 2 or HUM 2 or MCWP 40 or MMW 2 or WCWP 10B or SYN 1,,,,,,,,,
ENG 100L,Design for Development Lab,2,"Faculty-directed, interdisciplinary, long-term humanitarian engineering, technology, and social innovation projects. Students work in teams to design, build, test, and deliver solutions to real-world problems experienced by nonprofit organizations and the communities they serve. ENG 100L is the laboratory course for the Global TIES program. Enrollment in this course is limited to students who have applied to and been accepted into the Global TIES program. Please go to http://globalties.ucsd.edu to apply to the program. May be taken for credit six times. ",ENG 100D,,,,,,,,,Department approval required.
ENG 201,Venture Mechanics,4,"Examines the engineering/entrepreneurism interface. Discovery, development, and implementation of new product ideas. Understanding markets, competitors, and selling innovations. Cultivating effective working relationships between research, engineering, manufacturing, and marketing elements of an organization. Priority enrollment given to engineering majors.",,,,,,,,,,
ENG 202,Enterprise Dynamics,4,"Case studies of start-ups, strategic technology management, practice in use of industrial decision-making tools, and speakers from successful firms combined with experience in making management decisions dynamically in a competitive computer-simulated enterprise. Field study of ongoing processes in a local high technology company. Priority enrollment given to engineering majors.",,,,,,,,,,
ENG 203,Applied Innovations,4,"Course includes the examination of business plans developed by early stage technology businesses. Students expected to work on the development of business plans for real, innovative business organizations. Will explore all of the business research and analysis that needs to be undertaken in order to develop a complete business plan. Completion of ENG 201 or ENG 202 preferred.",,,,,,,,,,
ENG 207,Corporate Entrepreneurship for Global Competitiveness,4,Explore corporate entrepreneurship and innovation process using the medical device industry as a case example. This highly dynamic industry segment provides an approachable model to analyze corporate strategies and behaviors that affect overall competitiveness. ,"ENG 201, ENG 202, ENG 203, or consent of the instructor",,,,,,,,,
ENG 208,Basics of Entrepreneurism and Technology Commercialization,4,"Learn basics of start-up through a series of lectures, workshops, and assignments. Students will learn to effectively communicate the values of their ideas to investors and partners. Learn to validate market potential of a technology. ",,,,,,,,,,Graduate standing.
ENG 210,Systems Engineering,4,"This course examines the complexity of integrating components of product engineering, marketing and client requirements into a single engineering system. Case studies explore successes and failures in engineered systems and how to detect and avoid potential failures using strong leadership skills, systemic analysis and thinking. ",,,,,,,,,,Graduate standing.
ENG 211,Engineering Leadership in Academia,4,"This course is designed to teach leadership in teaching and learning at the college/university level. Students will learn through readings on engineering leadership, proposal development, ethics, and cognitive science, and thorough practical experience writing and developing course and project development plans. ",,,,,,,,,,Graduate standing.
