course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ERC 1,First Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking, organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to ERC NFRS students only.
ERC 2,Transfer Year Experience,2,"This course facilitates academic success at a leading research university by helping students understand and embrace academic and curricular expectations, engage and map cocurricular opportunities, and strengthen critical thinking, organizational, interpersonal, and wellness skills. P/NP grades only. ",,,,,,,,,,Open to ERC transfer students only.
ERC 20,First-year Student Honors Seminar: International Themes,1,"This weekly seminar focuses on a chosen international theme with faculty speakers. The structure of the seminar is informal, giving students the opportunity to participate in interactive discussions. Pass/Not Pass only. May be taken for credit three times as topics vary. ",,,,,,,,,,Open to students in the Eleanor Roosevelt College First-year Student Honors Program only.
ERC 89,Practicum in Math Tutoring,2,Undergraduate students will be provided with one hour of instruction on pedagogy of tutoring math in a public high school setting and placement in regional public high schools to provide five hours of one-on-one tutoring of math students under supervision of high school math teachers. P/NP grades only. May be taken for credit three times. ,MATH 10A or 20A.,,,,,,,,,
ERC 92,Honors Project,2,"Individual project on a topic chosen by the student, done under direction of a faculty member. ",,,,,,,,,,"By invitation only. Pass/Not Pass only. Repeatable for credit twice, up to a total of six units over three quarters."
ERC 188,Transfer Seminar: The Research University,1,"This weekly seminar focuses on the skills required to write an upper-division research paper and prepare for a winter quarter internship through Academic Internship Program. The structure of the seminar is informal, giving students the opportunity to participate in interactive discussions based on required reading and faculty speakers. ",,,,,,,,,,Department stamp.
ERC 192A,Global Service Research Seminar,2,"This is the first course of a two-course elective sequence (ERC 192A and ERC 192B) entitled ERC Global Service and Research. ERC 192A provides an academic introduction to the culture and history of the nation and region selected for this undergraduate academic, practicum, and research experience to prepare students for the subsequent service and research portion (ERC 192B). Note: The course is open to all students. Students must have completed course work in relevant topics, such as regional history, economics, culture.",,,,,,,,,,Department stamp.
ERC 196,Honors Project,4,"Senior thesis research project for students who have been accepted into the Eleanor Roosevelt College Individual Studies major. Project will be carried out under supervision of one or more faculty members. Depending on scope of the project, may be taken for four or eight units of credit in a single quarter, or eight units distributed over two quarters. ",,,,,,,,,,Admission to Eleanor Roosevelt College Individual Studies major.
ERC 199,ERC Independent Studies,4,"The content of this independent study course, which may not duplicate any existing course on campus, will be determined by a supervising faculty member and tailored to fit specific content needs of students pursuing the Eleanor Roosevelt College Individual Studies major. ",,,,,,,,,,Admission to Eleanor Roosevelt College Individual Studies major.
ERC 90,Undergraduate Seminar,1,"A seminar intended for exposing undergraduate students, especially first-year students and sophomores, to exciting research programs conducted by the faculty. ",,,,,,,,,,
