course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ETHN 1,Introduction to Ethnic Studies: Land and Labor,4,"This course examines key historical events and debates in the field that center around land and labor, including disputes about territory and natural resources, slavery and other forms of unfree labor, labor migration and recruitment, and US and transnational borders. Students may not receive credit for both ETHN 1R and ETHN 1.",,,,,,,,,,
ETHN 1R,Introduction to Ethnic Studies: Land and Labor,4,"This online course examines key historical events and debates in the field that center around land and labor, including disputes about territory and natural resources, slavery and other forms of unfree labor, labor migration and recruitment, and US and transnational borders. Students may not receive credit for both ETHN 1R and ETHN 1.",,,,,,,,,,
ETHN 2,Introduction to Ethnic Studies: Circulations of Difference,4,"Focusing on historical and contemporary migration and the circulation of commodities, knowledge, bodies, and culture, this course looks at how racial formation is shaped and contested by such movements within national and transnational contexts. Students may not receive credit for both ETHN 2R and ETHN 2.",,,,,,,,,,
ETHN 2R,Introduction to Ethnic Studies: Circulations of Difference,4,"Focusing on historical and contemporary migration and the circulation of commodities, knowledge, bodies, and culture, this online course examines how racial formation is shaped and contested by such movements within national and transnational contexts. Students may not receive credit for both ETHN 2R and ETHN 2.",,,,,,,,,,
ETHN 3,Introduction to Ethnic Studies: Making Culture,4,"Through examining the historical and contemporary politics of representation in both popular and community-focused media, film, art, music, and literature, this course tracks racial formation through studying the sphere of cultural production, consumption, and contestation. Students may not receive credit for both ETHN 1C and ETHN 3.",,,,,,,,,,
ETHN 3R,Remote—Introduction to Ethnic Studies: Making Culture,4,"Through examining the historical and contemporary politics of representation in both popular and community-focused media, film, art, music, and literature, this course tracks racial formation through studying the sphere of cultural production, consumption, and contestation via this online learning course. Students will not receive credit for both ETHN 3R and ETHN 3.",,,,,,,,,,
ETHN 20,Introduction to Asian American Studies,4,"This course introduces students to key issues in Asian American lives, with emphasis on the global historical context of migration; changing ethnic and racial consciousness; economic, social, and political status; cultural production; and family and gender relations.",,,,,,,,,,
ETHN 30,Introduction to Chicanx and Latinx Studies,4,"Introduction to Chicanx/Latinx/Hispanic history, culture, and activism with focus on race and class differences within US Latinx cultures and in relation to other groups; gender, sexuality, and colonialism; and new ways of worldmaking within and across these categories.",,,,,,,,,,
ETHN 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
ETHN 97,Field Studies in Racial and Ethnic Communities,1–4,Supervised community fieldwork on topics of importance to racial and ethnic communities in the San Diego County region. Regular individual meetings with faculty sponsor and final project and/or written report are required. ,,,,,,,,,,"Lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 98,Directed Group Studies,1–4,Directed group study on a topic or in a field not included in the regular department curriculum by special arrangement with a faculty member. ,,,,,,,,,,"Lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 99,Independent Study,1–4,Directed study on a topic or in a field not included in the regular department curriculum by special arrangement with a faculty member. ,,,,,,,,,,"Lower-division standing, completion of at least thirty units of undergraduate study at UC San Diego, minimum 3.0 GPA at UC San Diego, consent of instructor, and completed and approved Special Studies form."
ETHN 100A,Ethnic Studies: Theoretical Approaches,4,"An advanced survey of key issues, themes, and debates in the field of critical ethnic studies focusing on the connection between race and social structures. Students will use diverse theoretical frameworks to identify and interpret contemporary and historical social problems. ",ETHN 1 or ETHN 2 or ETHN 3 or consent of instructor,,,,,,,,,
ETHN 100B,Interdisciplinary Methodologies,4,"An introduction to interdisciplinary research methodologies in critical ethnic studies. By developing a critical analysis of the politics of knowledge production, students will learn to identify different methodological approaches in the field and to evaluate their use in practical application. ",ETHN 100A or consent of instructor,,,,,,,,,
ETHN 100C,Social Justice Praxis,4,"An intensive capstone experience for ethnic studies majors, this course combines an advanced exploration of praxis-based approaches to social justice with practicum-based independent campus, community, creative, or research projects. ",ETHN 100A,ETHN 100B or consent of instructor,,,,,,,,
ETHN 100H,Honors Research Design,4,"This discussion-based course will focus on the application of advanced research methods to the design of extensive, independent research-based projects. ",ETHN 100A,ETHN 100B,,,,,,,,Department approval required.
ETHN 100M,Critical Health and Medical Writing,4,"This intensive capstone course focuses on reflective and analytical writing about the students’ cumulative experiences with race, gender, and sexuality with respect to medical and health sciences. It prepares the students’ professional portfolio and potential applications to graduate or medical schools. Students develop their professional voices as informed advocates for racial/gendered/classed justice in medicine and health via practicum-based projects. ",ETHN 100A,ETHN 100B,,,,,,,,
ETHN 101,Ethnic Images in Film,4,"An upper-division lecture course studying representations of ethnicity in the American cinema. Topics include ethnic images as narrative devices, the social implications of ethnic images, and the role of film in shaping and reflecting societal power relations.",,,,,,,,,,
ETHN 101TV,Ethnic Images in TV,4,"Adopting an ethnic studies lens on the medium, this class focuses on socially significant TV shows that reflect critically on race, gender, class, ability, sexuality, and nation. Students will study the significance of race and related forms of difference in contemporary TV, with a particular emphasis on streaming, audience algorithms, and binge watching.",,,,,,,,,,
ETHN 102,Science and Technology in Society: Race/Gender/Class,4,"This course examines the role of science and technology in forming popular conceptions of race, gender and class, and vice versa. We also consider how some populations benefit from the results of experimentation while others come to be its subjects.",,,,,,,,,,
ETHN 103,Environmental Racism,4,"This course will examine the concept of environmental racism, the empirical evidence of its widespread existence, and the efforts by government, residents, workers, and activists to combat it. We will examine those forces that create environmental injustices in order to understand its causes as well as its consequences. Students are expected to learn and apply several concepts and social scientific theories to the course material.",,,,,,,,,,
ETHN 103A/HIUS 103,The United States and the Pacific World,4,"History of the United States in the Pacific, with an emphasis on Hawai’i, Guam, the Mariana Islands, and the Marshall Islands, from the nineteenth century to the present. Topics include colonialism and imperialism, cultural representations, indigenous knowledge and sovereignty, militarism, tourism, and environmentalism. Students will not receive credit for both HIUS 103 and ETHN 103A.",,,,,,,,,,
ETHN 104,"Race, Space, and Segregation",4,"Through in-depth studies of housing segregation, urban renewal and displacement, neighborhood race effects, and the location of hazards and amenities, this course examines how space becomes racialized and how race becomes spatialized in the contemporary United States.",,,,,,,,,,
ETHN 105,Ethnic Diversity and the City,4,"(Cross-listed with USP 104.) This course will examine the city as a crucible of ethnic identity, exploring both the racial and ethnic dimensions of urban life in the United States from the Civil War to the present.",,,,,,,,,,
ETHN 106,"Life, Death, and the Human",4,"Using interdisciplinary approaches, this course examines some of the contexts in which the conditions of life and death become sites of political, economic, and cultural significance, and how categories of difference impact access to the protections of “humanity.”",,,,,,,,,,
ETHN 107,Fieldwork in Racial and Ethnic Communities,4,"(Cross-listed with USP 130.) This is a research course examining social, economic, and political issues in ethnic and racial communities through a variety of research methods that may include interviews and archival, library, and historical research.",,,,,,,,,,
ETHN 108,"Race, Culture, and Social Change",4,(Cross-listed with MUS 151.) Aggrieved groups often generate distinctive forms of cultural expression by turning negative ascription into positive affirmation and by transforming segregation into congregation. This course examines the role of cultural expressions in struggles for social change by these communities inside and outside the United States.,,,,,,,,,,
ETHN 109,Race and Social Movements,4,"This course explores collective mobilizations for resources, recognition, and power by members of aggrieved racialized groups, past and present. Emphasis will be placed on the conditions that generate collective movements, the strategies and ideologies that these movements have developed, and on the prospect for collective mobilization for change within aggrieved communities in the present and future.",,,,,,,,,,
ETHN 109A,"Race, Empire, and Japanese America",4,"This course examines the impact of U.S. and Japanese empires on the Japanese American community. Using primary sources like artwork and oral histories, we examine the struggle against racial exclusion during WWII, the postwar development of the current community, and ongoing solidarity work against current processes of exclusion, incarceration, and detention.",,,,,,,,,,
ETHN 110,Cultural Worldviews of Indigenous America,4,"Places Native Americans/indigenous people’s ways of living, knowing, and understanding the world in relation to settler-immigrant societies in North America. Students gain analytical tools for thinking about world views through themes of cosmology, land, kinship, and identity formation.",,,,,,,,,,
ETHN 111,Native American Literature,4,"This course analyzes Native American written and oral traditions. Students will read chronicles and commentaries on published texts, historic speeches, trickster narratives, oratorical and prophetic tribal epics, and will delve into the methodological problems posed by tribal literature in translation.",,,,,,,,,,
ETHN 112A,History of Native Americans and Indigenous Peoples in the U.S. I,4,"This course examines the histories of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on precolonial and postcontact interaction and knowledge systems of indigenous groups from the 1400s to mid-nineteenth century.",,,,,,,,,,
ETHN 112B,History of Native Americans and Indigenous Peoples in the U.S. II,4,"This course examines the history of Native American, Pacific Islander, and other indigenous populations in the United States, with specific emphasis on and analyses of postcontact interactions, federal laws and policies, and decolonial efforts among American Indians, Pacific Islanders, other tribal communities, and indigenous peoples/nations in the United States from the late nineteenth century to the present.",,,,,,,,,,
ETHN 112C,California Native American History,4,"An introduction to California Native (Indian) history, and how it has shaped people, both Indian and non-Indian, and their possible futures. The course follows four interconnecting themes: land and people; Spanish colonization; dispossession and subordination related to the creation of California; and issues of “survivance.”",,,,,,,,,,
ETHN 113,Decolonizing Education,4,"This course considers decolonial theories of education in relation to classroom pedagogy, focusing on US urban high schools.",,,,,,,,,,
ETHN 113A,Decolonizing Geology,4,"The origins, development, and practice of the geological sciences are closely tied to colonization, but these ties rarely are acknowledged, discussed, critiqued, or used as a basis for rethinking present-day practices and trends. We will deconstruct the historical relationship between colonialism and geology, discuss how this relationship has developed over time, and explore practical methods for how the field of geology (and, by extension, other fields of Western science) might be decolonized.",,,,,,,,,,
ETHN 114A,Representing Native America,4,History and theory: Introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization. Study of Plains Indian drawings from 1860 to 1890 will allow the class to create new approaches to designing a museum exhibition.,,,,,,,,,,
ETHN 114B,Representing Native America—Exhibition Design,4,"This course follows the introduction to the history and theory of museum representation of American Indians in order to explore its relation to colonialism and decolonization (part one). It develops the proposal completed by students in part one of the course, completing a curatorial brief for an exhibition of Native American art with a partner museum incorporating new and decolonizing approaches to representation. ",ETHN 114A,,,,,,,,,
ETHN 115,"Monsters, Orphans, and Robots",4,"This course considers dark agencies, queer threats, and how they seep through cracks in containers meant to disable them. This class will be writing intensive with an artistic production component. Recommended: ETHN 100 is recommended prior to enrollment in this course.",,,,,,,,,,
ETHN 116,The United States–Mexico Border in Comparative Perspective,4,"This course critically explores the US-Mexico frontier and the social-cultural issues on both sides of the international demarcation. Social-historical and political-economic patterns illuminate border life, ethnic identity, social diversity, and cultural expression. Border ethnography is complemented by film and music.",,,,,,,,,,
ETHN 117,Organic Social Movements,4,This course focuses on local responses to global change and social disruption through the examination of organic movements in colonial and racialized contexts around the world.,,,,,,,,,,
ETHN 118,Contemporary Immigration Issues,4,This course examines the diversity of today’s immigrants—their social origins and contexts of exit and their adaptation experiences and contexts of incorporation.,,,,,,,,,,
ETHN 119,Race in the Americas,4,"This course explores the genesis, evolution, and contradictions of racially heterogeneous societies in the Americas, from European conquest to the present. Topics: the social history of Native Americans, blacks, and Asians, their interactions with European settlers, and racial, sexual, and class divisions.",,,,,,,,,,
ETHN 120,Race and Performance: The Politics of Popular Culture,4,"This course explores how racial categories and ideologies have been constructed through performance and displays of the body in the United States and other sites. Racialized performances, whether self-displays or coerced displays, such as world’s fairs, museums, minstrelsy, film, ethnography, and tourist performances are considered.",,,,,,,,,,
ETHN 120D,Race and Oral History in San Diego,4,"(Cross-listed with HIUS 120D.) This course examines the history of racial and ethnic communities in San Diego. Drawing from historical research and interdisciplinary scholarship, we will explore how race impacted the history and development of San Diego and how “ordinary” folk made sense of their racial identity and experiences. Toward these ends, students will conduct oral history and community-based research, develop public and digital humanities skills, and preserve a collection of oral histories for future scholarship. Concurrent enrollment in an Academic Internship Program course strongly recommended. Students may not receive credit for HIUS 120D and ETHN 120D.",,,,,,,,,,
ETHN 121,Contemporary Asian American History,4,"The course will study changes in Asian American communities as a result of renewed immigration since 1965; the influx of refugees from Southeast Asia; and the economic impact of contemporary social movements on Asian Americans’ current economic, social, and political status. Students may not receive credit for both ETHN 121R and ETHN 121.",,,,,,,,,,
ETHN 121R,Contemporary Asian American History,4,"This online course will study changes in Asian American communities as a result of renewed immigration since 1965; the influx of refugees from Southeast Asia; and the economic impact of contemporary social movements on Asian Americans’ current economic, social, and political status. Students may not receive credit for both ETHN 121R and ETHN 121.",,,,,,,,,,
ETHN 122,Asian American Culture and Identity,4,"A survey of Asian American cultural expressions in literature, art, and music to understand the social experiences that helped forge Asian American identity. Topics: culture conflict, media portrayals, assimilation pressures, the model minority myth, and interethnic and class relations.",,,,,,,,,,
ETHN 123,Asian American Politics,4,"This course will examine the development of Asian American politics by studying the historical and contemporary factors, such as political and economic exclusion, that have contributed to the importance and complexity of ethnicity as a mobilizing force in politics.",,,,,,,,,,
ETHN 124,Asian American Literature,4,(Cross-listed with LTEN 181.) Selected topics in the literature by men and women of Asian descent who live and write in the United States. May be repeated for credit when topics vary.,,,,,,,,,,
ETHN 125,Asian American History,4,"This course explores historical issues in Asian American history, focusing on major topics such as immigration, colonization, war, community, social movements, and politics. We use sources such as scholarly writing, primary documents, cultural productions, and creative work to inform our analysis. Assignments are designed to provoke active discussion and lead to a critical understanding of the links between history and our present-day political and socioeconomic context. Students may receive credit for one of the following: ETHN 125R or ETHN 125.",,,,,,,,,,
ETHN 125R,Remote—Asian American History,4,"This distance learning course explores historical issues in Asian American history, focusing on major topics such as immigration, colonization, war, community, social movements, and politics. We use sources such as scholarly writing, primary documents, cultural productions, and creative work to inform our analysis. Assignments are designed to provoke active discussion and lead to a critical understanding of the links between history and our present-day political and socioeconomic context. Students may receive credit for one of the following: ETHN 125R or ETHN 125.",,,,,,,,,,
ETHN 126,Comparative Filipino and Vietnamese American Identities and Communities,4,"This course compares the historical and contemporary social, political, and economic experiences of Filipino and Vietnamese Americans, paying particular attention to the impact of US wars in the Philippines and in Vietnam on their respective lives.",,,,,,,,,,
ETHN 127,Sexuality and Nation,4,"(Cross-listed with CGS 112.) This course explores the nexus of sex, race, ethnicity, gender, and nation and considers their influence on identity, sexuality, migration, movement, and borders and other social, cultural, and political issues that these constructs affect.",,,,,,,,,,
ETHN 128,Hip-Hop: The Politics of Culture,4,"(Cross-listed with MUS 152.) Examination of hip-hop’s technology, lyrics, and dance and its influences in graffiti, film, music video, fiction, advertising, gender, corporate investment, government, and censorship with a critical focus on race, gender, and popular culture and the politics of creative expression.",,,,,,,,,,
ETHN 129,Asian and Latina Immigrant Workers in the Global Economy,4,"(Cross-listed with USP 135.) This course will explore the social, political, and economic implications of global economic restructuring, immigration policies, and welfare reform on Asian and Latina immigrant women in the United States. We will critically examine these larger social forces from the perspectives of Latina and Asian immigrant women workers, incorporating theories of race, class, and gender to provide a careful reading of the experiences of immigrant women on the global assembly line.",,,,,,,,,,
ETHN 130,Social and Economic History of the Southwest I,4,"(Cross-listed with HIUS 158.) This course examines the history of the Spanish and Mexican Borderlands (what became the US Southwest) from roughly 1400 to the end of the Mexican-American War in 1848, focusing specifically on the area’s social, cultural, and political development.",,,,,,,,,,
ETHN 131,Social and Economic History of the Southwest II,4,"(Cross-listed with HIUS 159.) This course examines the history of the American Southwest from the Mexican-American War in 1846–48 to the present, focusing on immigration, racial and ethnic conflict, and the growth of Chicano national identity.",,,,,,,,,,
ETHN 132,Chicanx Theatre,4,"(Cross-listed with TDHT 110.) This course examines Chicanx theatre as a dynamic, multi-vocal, aesthetically complex, and generative site for the exploration of Chicanx history, politics, and cultural identity. Students engage with a variety of plays and performance artists that track the different themes and inquiries that have emerged out of the Chicano Movement.",,,,,,,,,,
ETHN 133,Latinx Theatre and Performance,4,"(Cross-listed with TDHT 111.) This course examines performances from Latinx America that address issues of immigration, sexual politics, and gender, racial, and economic inequality among other topics. Students learn about how artists and communities use performance to explore a wealth of cultural practices and identities that have emerged alongside—and often in response to—the historical conditions that shape the disparate yet interconnected experiences of Latinx people living in the U.S. (colonialism, slavery, imperialism).",,,,,,,,,,
ETHN 134,Immigration and Ethnicity in Modern American Society,4,"(Cross-listed with HIUS 180.) Comparative study of immigration and ethnic group formation in the United States from 1880 to the present. Topics include immigrant adaptation, competing theories about the experiences of different ethnic groups, and the persistence of ethnic attachments in modern American society.",,,,,,,,,,Upper-division standing.
ETHN 135A,Early Latino/a-Chicano/a Cultural Production: 1848 to 1960,4,"(Cross-listed with LTSP 150A.) Cross-disciplinary study of nineteenth- and early twentieth-century Latino/a-Chicano/a literature, folklore, music, testimonio, or other cultural practices. Specific periods covered will fall between the immediate aftermath of the Treaty of Guadalupe Hidalgo to the Cuban revolution. May be taken for credit two times.","LTSP 50A or LTSP 50B or LTSP 50C, or consent of instructor",,,,,,,,,
ETHN 135B,Contemporary Latino/a-Chicano/a Cultural Production: 1960 to Present,4,"(Cross-listed with LTSP 150B.) Cross-disciplinary study of late twentieth-century Latino/a-Chicano/a literature, the visual and performing arts, film, or other cultural practices. Specific periods covered will fall between the Kennedy years to the era of neoliberalism and the creation of “Hispanic” or Latino/a identities. May be taken for credit two times.","LTSP 50A or LTSP 50B or LTSP 50C, or consent of instructor",,,,,,,,,
ETHN 136,The Science and Critical Analysis of Environmental Justice,4,"(Cross-listed with SIO 114.) Introduction to the scientific basis and critical analysis of environmental justice, with an emphasis on case studies, activism, and community engagement. This course will prepare students to critique and develop scientific models, research designs, and measurements consistent with environmental justice. Students may not receive credit for both ETHN 136 and SIO 114.",,,,,,,,,,
ETHN 137,Latina Issues and Cultural Production,4,"(Cross-listed with CGS 137.) This course will focus on the intersection of labor, class, race, ethnicity, gender, sexuality, and immigration in Latina cultural production. Examined from a socioeconomic, feminist, and cultural perspective, class readings will allow for historically grounded analyses of these issues. Course may be repeated as topics vary.",,,,,,,,,,
ETHN 138,Black and Latinx Crossing,4,"Explores the intersections of blackness, Chicanidad, and Latinidad in relation to each other, focusing on how these identities project, intersect, conflict, and complement each other. Combining cultural and historical analyses, we dissect these rallying banners through the lenses of race, gender, class, nation, pan-ethnicity, diaspora, colonialism, imperialism, citizenship, movement, and solidarity.",,,,,,,,,,
ETHN 139,Chicano Literature in English,4,"(Cross-listed with LTEN 180.) Introduction to the literature in English by the Chicano population, the men and women of Mexican descent who live and write in the United States. Primary focus on the contemporary period.",,,,,,,,,,
ETHN 140,"Comparative Refugee Communities from Vietnam, Laos, and Cambodia",4,"San Diego, California has the distinction of being home to one of the largest concentrations of refugees in the United States. Through this course, students will learn when, how, and why refugees from all over the world have resettled in San Diego and how they have adjusted to their local environments. Students will also have an opportunity to work with local refugee communities.",,,,,,,,,,
ETHN 140A,Refugee San Diego,4,"San Diego, California has the distinction of being home to one of the largest concentrations of refugees in the United States. Through this course, students will learn when, how, and why refugees from all over the world have resettled in San Diego and how they have adjusted to their local environments. Students will also have an opportunity to work with local refugee communities.",,,,,,,,,,
ETHN 141,Gandhi in the Modern World: From Civil Rights to the Arab Spring,4,"Martin Luther King was inspired by Gandhi, but in his own time, Gandhi was as controversial as he was revered. Nonviolence was not widely accepted as a form of political protest. This course explores Gandhi’s complex legacy of nonviolence for places and peoples embroiled in conflict.",,,,,,,,,,
ETHN 142,"Medicine, Race, and the Global Politics of Inequality",4,"Globalization fosters both the transmission of AIDS, cholera, tuberculosis, and other infectious diseases and gross inequalities in the resources available to prevent and cure them. This course focuses on how race, ethnicity, gender, sexuality, class, and nation both shape and are shaped by the social construction of health and disease worldwide.",,,,,,,,,,
ETHN 143,Chicana/o Film and Media Studies,4,"This course is a historical survey of Chicana and Chicano media from roughly 1950 to the present. The goals of the course include learning about Chicana/o history, politics, and culture through different media and gaining the critical tools to analyze Chicana/o media and media more broadly.",,,,,,,,,,
ETHN 144M,Antiracist Medicine and New Perspectives in Health Care,4,"Medicine in the United States is sustained by inequities in racial, sexual, and dis/ability knowledge and practice. Health practitioners, patients, and scholars have argued for an antiracist medical education that explores power dynamics, stereotypes, and violence in medicine. This course utilizes an antiracist lens to examine medical knowledge and practice. Additionally, the course draws from the theoretical and narrative perspectives about health from artists, scholars, and activists.",,,,,,,,,,
ETHN 146A,Ensemble,4,"(Cross-listed with TDAC 120.) An intensive theatre practicum designed to generate theatre created by an ensemble, with particular emphasis upon the analysis of text. Students will explore and analyze scripts and authors. Ensemble segments include black theatre, Chicano theatre, feminist theatre, and commedia dell’arte. May be taken for credit two times.",,,,,,,,,,
ETHN 147,"Black Feminisms, Past and Present",4,"(Cross-listed with CGS 147.) An advanced introduction to historical and contemporary black feminisms in the United States and transnationally. Students will explore the theory and practice of black feminists/womanists and analyze the significance of black feminism to contemporary understandings of race, class, gender, and sexuality.",,,,,,,,,,
ETHN 149,African American History in the Twentieth Century,4,"(Cross-listed with HIUS 139.) This course examines the transformation of African America across the expanse of the long twentieth century: imperialism, migration, urbanization, desegregation, and deindustrialization. Special emphasis will be placed on issues of culture, international relations, and urban politics.",,,,,,,,,,
