course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
JWSP 1,Beginning Hebrew,5,"Acquisition of basic vocabulary, fundamentals of Hebrew grammar, conversation, and reading.",,,,,,,,,,
JWSP 2,Intermediate Hebrew,5,"Continued study of vocabulary and grammar, emphasis on fluency in conversation, and reading.",,,,,,,,,,
JWSP 3,"Intermediate Hebrew, Continued",5,"Vocabulary, grammar, conversation, introduction to literary and nonliterary texts.",,,,,,,,,,
JWSP 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. P/NP grades only. May be taken for credit four times. Seminars are open to sophomores, juniors, and seniors on a space available basis.",,,,,,,,,,
JWSP 101,Introduction to Hebrew Texts,4,"Reading and analysis of texts from Biblical through modern authors, study of advanced vocabulary and grammar. Course taught in Hebrew and in English.",,,,,,,,,,
JWSP 102,Intermediate Hebrew Texts,4,Further reading and analysis of Hebrew literature from a range of periods. Advanced grammar and vocabulary. Course taught in Hebrew and in English.,,,,,,,,,,
JWSP 103,Advanced Hebrew Texts,4,"Synthesis of fluency, reading, and grammatical skills. Reading of texts from a range of periods.",,,,,,,,,,
JWSP 104,Practicum in Advanced Hebrew,4,"Students will read texts and/or view films on a particular topic (topics will rotate on a four-year cycle) in the original Hebrew. Students will build skills in translating from Hebrew to English, in advanced grammar, and will cover a topic related to either modern Israel or pre-1948 Hebrew language literature and thought. The Hebrew lecturer will accommodate students with a basic knowledge of Hebrew, and will offer supplementary assignments for advanced students.",,,,,,,,,,
JWSP 110,Introduction to Judaism,4,"An introductory survey of Jewish history, literature, and culture from antiquity to contemporary times. Topics include sacred texts; the variety of groups and views of Judaism; the historical and geographical movements of the Jewish people; and the intersection of religion, ethnicity, and culture.",,,,,,,,,,
JWSP 111,Topics in Judaic Studies,4,"Study of a particular period, theme, or literature in Jewish civilization. May be taken for credit three times. ",,,,,,,,,,Upper-division standing or consent of instructor.
JWSP 130,Introduction to the Old Testament: The Historical Books,4,"This course will study the historical books of the Hebrew Bible (in English), Genesis through 2 Kings, through a literary-historical approach: how, when, and why the Hebrew Bible came to be written down, its relationship with known historical facts, and the archaeological record.",,,,,,,,,,Upper-division standing or consent of instructor.
JWSP 131,Introduction to the Old Testament: The Poetic Books,4,"This course will study the prophetic and poetic books of the Hebrew Bible (in English), through a literary-historical approach. Topics include prophecy, social justice, monotheism, suffering, humor, and love. ",,,,,,,,,,Upper-division standing or consent of instructor.
JWSP 196A,Jewish Studies Honors Course,4,First quarter of honors thesis research for students accepted into honors program. Research is conducted under the supervision of a faculty member selected with the approval of the director of the Jewish Studies Program. ,"JWSP103, HITO 104, HITO 105",,,,,,,,,Admission to Jewish Studies Honors Program; upper-division electives in Jewish studies; at least junior standing; overall 3.3 GPA; 3.5 in Jewish studies.
JWSP 196B,Jewish Studies Honors Course,4,Second quarter of honors thesis research for students accepted into honors program. Research is conducted under the supervision of a faculty member selected with the approval of the director of the Jewish Studies Program. ,JWSP 196A,"JWSP103, HITO 104, HITO 105",,,,,,,,Admission to Jewish Studies Honors Program; upper-division electives in Jewish studies; at least junior standing; overall 3.3 GPA; 3.5 in Jewish studies.
JWSP 198,Directed Group Study in Jewish Studies,1-4,Directed group study on a topic not generally included in the regular curriculum. Student must make arrangements with individual faculty members. (P/NP only),,,,,,,,,,
JWSP 199,Independent Study in Jewish Studies,1-4,Independent study on a topic not generally included in the regular curriculum. Student must make arrangements with individual faculty members. (P/NP only),,,,,,,,,,
