course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
LIGN 3,Language as a Social and Cultural Phenomenon,4,"The role of language in thought, myth, ritual, advertising, politics, and the law. Language variation, change, and loss; multilingualism, pidginization and creolization; language planning, standardization, and prescriptivism; writing systems. ",,,,,,,,,,
LIGN 4,Language as a Cognitive System,4,"Fundamental issues in language and cognition. Differences between animal communication, sign systems, and human language; origins and evolution of language; neural basis of language; language acquisition in children and adults. ",,,,,,,,,,
LIGN 5,The Linguistics of Invented Languages,4,"Introduction to the study of language through the investigation of invented languages, whether conscious (Elvish, Klingon, Esperanto) or unconscious (creoles, twin/sibling languages). Students will participate in the invention of a language fragment. Topics discussed include language structure, history, culture, and writing systems. ",,,,,,,,,,
LIGN 6,Computers and Language,4,"Computers and “virtual assistants” are increasingly expected to understand, process, and interact with us using natural human language. This course will focus on the difficult computational and linguistic problems that working with natural language presents; and learn to implement some of the basic computational techniques used to model, process, and produce human language in Python.",,,,,,,,,,
LIGN 7,Sign Languages and Their Cultures,4,Deaf history since the eighteenth century. The structure of American Sign Language and comparison with oral languages. ASL poetry and narrative and Deaf people’s system of cultural knowledge. Basic questions concerning the nature of language and its relation to culture. ,,,,,,,,,,
LIGN 8,Languages and Cultures in America,4,"Language in American culture and society. Standard and nonstandard English in school, media, pop culture, politics; bilingualism and education; cultural perception of language issues over time; languages and cultures in the “melting pot,” including Native American, Hispanic, African American, Deaf. ",,,,,,,,,,
LIGN 9GS,Sign Languages and Deaf Culture in the U.S. and Fran,,"This course explores and compares the use of sign language and its role in the cultures of deaf people in the U.S. and France. Through signed discussion and viewing language samples, students become acquainted with how introductions, descriptions, numbers, fingerspelling, and more are commonly communicated in the two countries and gain practical experience in signing both ASL and Langue des Signes Francaise (LSF). Program or materials fees may apply. ",,,,,,,,,,Student must apply and be accepted to the global seminars program.
LIGN 17,Making and Breaking Codes,4,"A rigorous analysis of symbolic systems and their interpretations. Students will learn to encode and decode information using progressively more sophisticated methods; topics covered include ancient and modern phonetic writing systems, hieroglyphics, computer languages, and ciphers (secret codes). ",,,,,,,,,,
LIGN 42,The Linguistics of Memes,4,"A great meme can perfectly capture your feelings, sum up a situation, leave you laughing, or just add a bit of spice to life. In this course, we’ll look at memes as an aspect of modern communication, discussing the concept of a “meme,” the life cycle of a meme, the social nature of memes, and more, all explored using tools and concepts from language and the field of linguistics. This study will show that memes aren’t just silliness, but a rich communicative medium for a modern multimedia era.",,,,,,,,,,
LIGN 87,First-year Student Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter.",,,,,,,,,,
