course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
LTAF 110,African Oral Literature,4,"Survey of various genres of African and oral literary traditions. Oral narrative genres, investigation of proverb, riddle, praise poetry, and epic. Development and use of a methodology to analyze aspects of performance, composition, and education in oral traditional systems.",,,,,,,,,,
LTAF 120,Literature and Film of Modern Africa,4,This course traces the rise of modern literature in traditional African societies disrupted by the colonial and neocolonial experience. Contemporary films by African and Western artists will provide an additional insight into the complex social self-images of the continent. Students may not receive credit for both LTAF 120 and LTAF 120GS.,,,,,,,,,,
LTAF 120GS,Literature and Film of Modern Africa,4,This course traces the rise of modern literature in traditional African societies disrupted by the colonial and neo-colonial experience. Contemporary films by African and western artists will provide additional insight into the complex social self-images of the continent. Department approval required. Students must apply for and be accepted into the Global Seminars Program. Program or materials fees may apply. Students may not receive credit for both LTAF 120 and LTAF 120GS.,,,,,,,,,,
LTAM 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
LTAM 100,Latino/a Cultures in the United States,4,An introductory historical and cultural overview of the various Latino/a populations in the United States with a study of representative cultural texts.,,,,,,,,,,
LTAM 105,Gender and Sexuality in Latino/a-Chicano/a Cultural Production,4,A study of the construction of differences in gender and sexual orientation in Latino/a-Chicano/a literature and other cultural production with an emphasis on examining various theoretical/ideological perspectives on these issues. May be taken for credit up to two times as topics vary.,,,,,,,,,,
LTAM 107,Comparative Latino/a and US Ethnic Cultures,4,A comparative and intersecting study of Latino/a and other US ethnic cultures. Literary texts will be viewed as “windows” into real time and spaces where cultures meet and mix. May be taken for credit up to two times as topics vary.,,,,,,,,,,
LTAM 108,Chicano/a and Latino/a Cultures: Intellectual and Political Traditions,4,"The course will center on Chicano/a-Latino/a writers and movements of literary, intellectual, cultural, or political significance. Texts may be read in the original language or in English. May be taken for credit up to two times as topics vary.",,,,,,,,,,
LTAM 110,Latin American Literature in Translation,4,"Reading of representative works in Latin American literature with a view to literary analysis (form, theme, meaning), the developmental processes of the literature, and the many contexts: historical, social, cultural. Texts may be read in English. LTAM 110 and LTAM 110GS may be taken for credit for a combined total of three times.",,,,,,,,,,
LTAM 111,Comparative Caribbean Discourse,4,"Comparative survey of Caribbean literatures from the Spanish, French, English, and Dutch Caribbean. Literary texts trace historical paradigms including the development of plantation slavery, emancipation, the quest for nationhood, migration, and transnational identities. Films and music may complement discussion.",,,,,,,,,,
LTAM 120,Ecocultural Narratives from Latin America,4,"This class examines different narratives of the environment from Latin America. Students are exposed to a variety of cultural sources (film, literature, orality) that question the Western divide between culture and nature, and between humans and non-humans. Particular emphasis will be paid to indigenous and Afro-Latin American ways of understanding nature, culture, and knowledge.",,,,,,,,,,
LTAM 140,Topics in Culture and Politics,4,"Study of the relationships between cultural production (literature, film, popular culture), social change, and political conflict, covering topics such as colonialism, imperialism, modernization, social movements, dictatorship, and revolution. May be taken for credit up to three times as topics vary.",,,,,,,,,,
LTCH 101,Readings in Contemporary Chinese Literature,4,"Intended for students who have the competence to read contemporary Chinese texts, poetry, short stories, and criticism in vernacular Chinese. May be taken for credit up to four times as topics vary.",,,,,,,,,,
