course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
MATS 200,Graduate Seminar,0,"Each graduate student in the Materials Science and Engineering Program is expected to attend a weekly seminar in materials science or related areas. MS students must enroll for three quarters, PhD students for six quarters. (S/U grades only.)",,,,,,,,,,
MATS 201A,Thermodynamics of Solids,4,"The thermodynamics and statistical mechanics of solids. Basic concepts; equilibrium properties of alloy systems; thermodynamic information from phase diagrams, surfaces, and interfaces; crystalline defects. ",,,,,,,,,,"Consent of instructor. (Cross-listed with ECE 238A, MAE 271A, NANO 265.)"
MATS 201B,Solid State Diffusion and Reaction Kinetics,4,"Thermally activated processes, Boltzmann factor, homogeneous and heterogeneous reactions, solid state diffusion, Fick’s laws, diffusion mechanisms, Kirkendall effect, Boltzman-Matano analysis, high diffusivity paths. ",,,,,,,,,,"Consent of instructor. (Cross-listed with ECE 238B, MAE 271B.)"
MATS 201C,Phase Transformations,4,"Classification of phase transformations: displacive and reconstructive transformations: classical and nonclassical theories of nucleation: Becker-Doering, Volmer-Weber, lattice instabilities, spinodal decomposition. Growth theories: interface migration, stress effects, terrace-ledge mechanisms, epitaxial growth, kinetics, and mechanics. Precipitation. Order-disorder transformations. Solidification. Amorphization. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 271C.)
MATS 205A,Imperfections in Solids,4,"Point, line, and planar defects in crystalline solids, including vacancies, self-interstitials, solute atoms, dislocations, stacking faults, and grain boundaries; effects of imperfections on mechanical properties; interactions of dislocations with point defects; strain hardening by micro-obstacles, precipitation, and alloying elements. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 272.)
MATS 213A,Dynamic Behavior of Materials I,4,"Elastic waves in continuum; longitudinal and shear waves. Surface waves. Plastic waves; shock waves; Rankine-Hugoniot relations. Method of characteristics, differential and difference form of conservation equations; dynamic plasticity and dynamic fracture. Shock wave reflection and interaction. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 273A.)
MATS 227,Structure and Analysis of Solids,4,"Key concepts in the atomic structure and bonding of solids such as metals, ceramics, and semiconductors. Symmetry operations, point groups, lattice types, space groups, simple and complex inorganic compounds, structure/property comparisons, structure determination with X-ray diffraction. Ionic, covalent, metallic bonding compared with physical properties. Atomic and molecular orbitals, bands verses bonds, free electron theory. ",,,,,,,,,,"Graduate student or consent of instructor. (Cross-listed with CHEM 222, MAE 251, NANO 227.)"
MATS 231,Mechanics of Soft Materials,4,"Main focus is the large deformations and instabilities in soft materials, such as elastomers, gels, and biomaterials. Some contents in thermodynamics and finite deformation theory are reviewed and summarized. Fundamental theories are applied to study the mechanics of gels, electroactive polymers, and biomaterials. This course intends to use soft material as an example to illustrate how to study the interaction between mechanics and other fields in materials (e.g., electric field, chemical field). ",,,,,,,,,,Graduate standing. (Cross-listed with MAE 276.)
MATS 236,Advanced Ceramics,4,"Topics include phase equilibria and crystallography, defects and thermodynamics (Kröger-Vink Notation), glass science, electrical and ionic transport behavior, Brouwer diagrams, powder synthesis and compaction, sintering theory and gain growth, mechanical, optical, magnetic, electrical properties, fuel cells. ",,,,,,,,,,Graduate standing or consent of instructor. (Cross-listed with MAE 253.)
MATS 251A,Electronic and Photonic Properties of Materials,4,"The electronic and optical properties of metals, semiconductors, and insulators. The concept of the band structure. Electronic and lattice conductivity. Type I and Type II superconductivity. Optical engineering using photonic band gap crystals in one-, two-, and three-dimensions. Current research frontiers. ",,,,,,,,,,Consent of the instructor. (Cross-listed with MAE 265A.)
MATS 251B,Magnetic Materials: Principles and Applications,4,"The basis of magnetism: classical and quantum mechanical points of view. Different kinds of magnetic materials. Magnetic phenomena including anisotropy, magnetostriction, domains, and magnetization dynamics. Current frontiers of nanomagnetic research including thin films and particles. Optical, data storage, and biomedical engineering applications of soft and hard magnetic materials. ",,,,,,,,,,"Consent of instructor. (Cross-listed with ECE 221, MAE 265B, NANO 251A.)"
MATS 252,Biomaterials and Medical Devices,4,"This class will cover biomaterials and biomimetic materials. Metal, ceramic, and polymer biomaterials will be discussed. Emphasis will be on the structure-property relationships, biocompatibility/degradation issues and tissue/material interactions. Synthesis and mechanical testing of biomimetic materials will also be discussed. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 266.)
MATS 253,Nanomaterials and Properties,4,"This course discusses synthesis techniques, processing, microstructural control, and unique physical properties of materials in nanodimensions. Topics include nanowires, quantum dots, thin films, electrical transport, electron emission properties, optical behavior, mechanical behavior, and technical applications of nanomaterials. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 267.)
MATS 254,Frontier Micro-Electro-Mechanical Systems Materials and Devices,4,"Fabrication of Micro-Electro-Mechanical Systems (MEMS) by bulk and surface micromachining of single crystal, polycrystal, and amorphous silicon and other materials. Performance issues including electrostatic, magnetic, piezoelectric actuations, residual stresses, deformation. Novel device applications, future trends in smart materials and nano-electro-mechanical (NEMS) systems. ",,,,,,,,,,Consent of instructor. (Cross-listed with MAE 268.)
MATS 255,Biomaterials and Biomimetics,4,"Fundamentals of materials science as applied to bioengineering design. Hierarchical structures. Cells and tissues. Natural and synthetic polymeric materials. Biomineralized materials. Biological composites. Cellular materials (foams). Functional biological materials. Biomaterials and implants. Bioinspired design and materials. (Cross-listed with NANO 252, CENG 256.)",,,,,,,,,,
MATS 256,Energy Materials and Applications,4,"This class will cover the fundamentals/engineering aspects of various energy materials based on metallic, ceramic, semiconductor; and chemical structures and their applications related to solar cells, fuel cells, batteries, fusion energy, and hydrogen storage will be discussed. ",,,,,,,,,,Graduate standing or consent of instructor. (Cross-listed with MAE 254.)
MATS 257,Polymer Science and Engineering,4,"Quantitative basic understanding of different branches of polymer science varying from polymer chemistry, characterization, thermodynamics, rheological properties, smart materials, self-assembly in biopolymers (natural) and synthetic polymers, and applications of polymers ranging from medicine to structure. ",,,,,,,,,,"Graduate standing. (Cross-listed with BENG 242, NANO 257.)"
MATS 261A,Processing of Polymers and Composites,4,"Introduction to processing and fabrication methods of polymers and composite materials. Processing techniques; facilities and equipment, material-processing-microstructure interaction, materials selection, form and quality control. Extrusion, injection molding, blow molding, compression molding, thermoforming, casting, foaming. Wet layup; sprayup; autoclave cure, SMC; RTM; resin infusion; winding and fiber placement; pultrusion. Process induced defects and environmental considerations. ",,,,,,,,,,Graduate standing. (Cross-listed with SE 251A.)
MATS 261B,Mechanical Behavior of Polymers and Composites,4,"Material-science oriented course on polymers and composites. Mechanical properties of polymers; micromechanisms of elastic and plastic deformations, fracture, and fatigue of polymers and composites. ",,,,,,,,,,Graduate standing. (Cross-listed with SE 251B.)
MATS 269,Engineering Solar Cells at the Nanoscale,4,"(Cross-listed with NANO 269.) Fundamentals of photovoltaic energy conversion; limiting efficiencies, loss mechanisms. Nanoscale effects in semiconductor, thin film, and organic photovoltaics. Emphasis on emerging nanotechnologies including nanowires, heterostructures, hybrid materials, quantum dots, transparent conducting materials, and plasmonics.",,,,,,,,,,Graduate standing.
MATS 295,Research Conference,2,Group discussion of research activities and progress of group members. ,,,,,,,,,,Consent of instructor.
MATS 296,Independent Study,4,,,,,,,,,,,Consent of instructor.
MATS 299,Graduate Research,1–12,"Subject to the approval of a faculty adviser, students may choose courses offered by departments participating in the Materials Science and Engineering Program. Please see the graduate coordinator for more information.",,,,,,,,,,
