course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
PHIL 1,Introduction to Philosophy,4,"A general introduction to some of the fundamental questions, texts, and methods of philosophy. Multiple topics will be covered, and may include the existence of God, the nature of mind and body, free will, ethics and political philosophy, knowledge and skepticism.",,,,,,,,,,
PHIL 10,Introduction to Logic,4,"Basic concepts and techniques in both informal and formal logic and reasoning, including a discussion of argument, inference, proof, and common fallacies, and an introduction to the syntax, semantics, and proof method in sentential (propositional) logic. May be used to fulfill general-education requirements for Warren and Eleanor Roosevelt Colleges.",,,,,,,,,,
PHIL 12,Scientific Reasoning,4,"Strategies of scientific inquiry: how elementary logic, statistical inference, and experimental design are integrated to evaluate hypotheses in the natural and social sciences. May be used to fulfill general-education requirements for Marshall, Warren, and Eleanor Roosevelt Colleges.",,,,,,,,,,
PHIL 13,Introduction to Philosophy: Ethics,4,An inquiry into the nature of morality and its role in personal or social life by way of classical and/or contemporary works in ethics. May be used to fulfill general-education requirements for Muir and Marshall Colleges.,,,,,,,,,,
PHIL 14,Introduction to Philosophy: The Nature of Reality,4,"A survey of central issues and figures in the Western metaphysical tradition. Topics include the mind-body problem, freedom and determinism, personal identity, appearance and reality, and the existence of God.",,,,,,,,,,
PHIL 15,Introduction to Philosophy: Knowledge and Its Limits,4,"A study of the grounds and scope of human knowledge, both commonsense and scientific, as portrayed in the competing traditions of Continental rationalism, British empiricism, and contemporary cognitive science.",,,,,,,,,,
PHIL 16,Science Fiction and Philosophy,4,"An introduction to philosophy which uses science fiction to make abstract philosophical problems vivid. Science fiction themes may include time travel, teleportation, virtual reality, super-intelligent robots, futuristic utopias, and parallel universes. These scenarios raise philosophical questions about knowledge, reality, ethics, and the mind.",,,,,,,,,,
PHIL 24,Science and Pseudoscience,4,"The differences among good science, bad science, and pseudoscience. Topics include the philosophical and practical demarcation problems; science and values; probabilistic fallacies, cognitive biases, and perceptual illusions; causation versus correlation, the placebo effect; why and when science is trustworthy; and case studies ranging from ESP to homeopathy to climate change denialism.",,,,,,,,,,
PHIL 25,"Science, Philosophy, and the Big Questions",4,An inquiry into fundamental questions at the intersection of science and philosophy. Topics can include Einstein’s universe; scientific revolutions; the mind and the brain.,,,,,,,,,,
PHIL 26,"Science, Society, and Values",4,"An exploration of the interaction between scientific theory and practice on the one hand, and society and values on the other. Topics can include the relationship between science and religion, global climate change, DNA, medicine, and ethics.",,,,,,,,,,
PHIL 27,Ethics and Society,4,"An examination of ethical principles (e.g., utilitarianism, individual rights, etc.) and their social and political applications to contemporary issues: abortion, environmental protection, and affirmative action. Ethical principles will also be applied to moral dilemmas in government, law, business, and the professions. Warren College students must take course for a letter grade in order to satisfy the Warren College general-education requirement. ",CAT 2-3 or DOC 2-3 or HUM 1-2 or MCWP 40-50 or MMW 12-13 or WARR 11A-B or WCWP 10A-B or SYN 1-2,,,,,,,,,
