course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
PHYS 1A,Mechanics,3,"First quarter of a three-quarter introductory physics course, geared toward life-science majors. Equilibrium and motion of particles in one and two dimensions in the framework of Newtonian mechanics, force laws (including gravity), energy, momentum, rotational motion, conservation laws, and fluids. Examples will be drawn from astronomy, biology, sports, and current events. PHYS 1A and 1AL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both. Students continuing to PHYS 1B/1BL will also need MATH 10B or 20B.",MATH 10A or 20A,,,,,,,,,Recommended preparation: concurrent or prior enrollment in MATH 10B or 20B.
PHYS 1AL,Mechanics Laboratory,2,Physics laboratory course to accompany PHYS 1A. Experiments in Mechanics. PHYS 1A and 1AL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both. Students continuing to PHYS 1B/1BL will also need MATH 10B or 20B.,MATH 10A or 20A,,,,,,,,,Recommended preparation: concurrent or prior enrollment in PHYS 1A and MATH 10B or 20B.
PHYS 1B,Electricity and Magnetism,3,"Second quarter of a three-quarter introductory physics course geared toward life-science majors. Electric fields, magnetic fields, DC and AC circuitry. PHYS 1B and 1BL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both.","PHYS 1A or 2A,",MATH 10B or 20B,,,,,,,,
PHYS 1BL,Electricity and Magnetism Laboratory,2,Physics laboratory course to accompany PHYS 1B. Experiments in electricity and magnetism. Program or materials fee may apply. PHYS 1B and 1BL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both.,PHYS 1A or 2A,MATH 10B or 20B,PHYS 1AL or 2BL,,,,,,,Recommended preparation: concurrent or prior enrollment in PHYS 1B.
PHYS 1C,"Waves, Optics, and Modern Physics",3,"Third quarter of a three-quarter introductory physics course geared toward life-science majors. The physics of oscillations and waves, vibrating strings and sound, and the interaction of light with matter as illustrated through optics and quantum mechanics. Examples from biology, sports, medicine, and current events. PHYS 1C and 1CL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both.","PHYS 1B or 2B,",MATH 10B or 20B,,,,,,,,
PHYS 1CL,"Waves, Optics, and Modern Physics Laboratory",2,"Physics laboratory course to accompany PHYS 1C. Experiments in waves, optics, and modern physics. Program or materials fee may apply. PHYS 1C and 1CL are designed to be taken concurrently but may be taken in separate terms; taking the lecture before the lab is the best alternative to enrolling in both.",PHYS 1B or 2B,MATH 10B or 20B,PHYS 1BL or 2CL,,,,,,,Recommended preparation: concurrent or prior enrollment in PHYS 1C.
PHYS 2A,Physics—Mechanics,4,"A calculus-based science-engineering general physics course covering vectors, motion in one and two dimensions, Newton’s first and second laws, work and energy, conservation of energy, linear momentum, collisions, rotational kinematics, rotational dynamics, equilibrium of rigid bodies, oscillations, gravitation. Students continuing to PHYS 2B/4B will also need MATH 20B. Students will not receive credit for both PHYS 2A and PHYS 2AR.",MATH 10A-B or 20A or 20B or 20C or 31BH,,,,,,,,,Recommended preparation: prior or concurrent enrollment in MATH 20B.
PHYS 2AR,Physics—Mechanics,4,"A calculus-based science-engineering general physics course covering vectors, motion in one and two dimensions, Newton’s first and second laws, work and energy, conservation of energy, linear momentum, collisions, rotational kinematics, rotational dynamics, equilibrium of rigid bodies, oscillations, gravitation. This course is a distance education course. Students continuing to PHYS 2B/4B will also need MATH 20B. Students will not receive credit for both PHYS 2AR and PHYS 2A.",MATH 10A-B or 20A or 20B or 20C or 31BH,,,,,,,,,Recommended preparation: prior or concurrent enrollment in MATH 20B.
PHYS 2B,Physics—Electricity and Magnetism,4,"Continuation of PHYS 2A covering charge and matter, the electric field, Gauss’s law, electric potential, capacitors and dielectrics, current and resistance, electromotive force and circuits, the magnetic field, Ampere’s law, Faraday’s law, inductance, electromagnetic oscillations, alternating currents and Maxwell’s equations. Students continuing to PHYS 2C will also need MATH 20C or 31BH.",PHYS 2A or 4A,MATH 20B or 20C or 31BH,,,,,,,,Recommended preparation: prior or concurrent enrollment in MATH 20C or 31BH.
PHYS 2BL,Physics Laboratory—Mechanics,2,"Experiments include gravitational force, linear and rotational motion, conservation of energy and momentum, collisions, oscillations and springs, gyroscopes. Data reduction and error analysis are required for written laboratory reports. One hour lecture and three hours laboratory. ",PHYS 2A or 4A,,,,,,,,,Recommended preparation: prior or concurrent enrollment in PHYS 2B or 4C.
PHYS 2C,"Physics—Fluids, Waves, Thermodynamics, and Optics",4,"Continuation of PHYS 2B covering fluid mechanics, waves in elastic media, sound waves, temperature, heat and the first law of thermodynamics, kinetic theory of gases, entropy and the second law of thermodynamics, Maxwell’s equations, electromagnetic waves, geometric optics, interference and diffraction. Students continuing to PHYS 2D will need MATH 20D.","PHYS 2A or 4A,",MATH 20C or 31BH,,,,,,,,Recommended preparation: prior or concurrent enrollment in MATH 20D. Prior completion of PHYS 2B is strongly recommended.
