course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
PSYC 1,Psychology,4,"This course provides an overview of the basic concepts in psychology. Topics may include human information processing, learning and memory, motivation, development, language acquisition, social psychology, and personality.",,,,,,,,,,
PSYC 2,General Psychology: Biological Foundations,4,"This course provides an introductory survey of the relationship between human behavior and brain function. Specific areas of emphasis include vision and other sensory processes, memory, motivation, attention, and cognition.",,,,,,,,,,
PSYC 3,General Psychology: Cognitive Foundations,4,"This course provides an introduction to the basic concepts of cognitive psychology. Topics include perception, attention, memory, language, and thought. The relation of cognitive psychology to cognitive science and to neuropsychology is also covered.",,,,,,,,,,
PSYC 3R,General Psychology: Cognitive Foundations,4,"This course provides an introduction to the basic concepts of cognitive psychology. Topics include perception, attention, memory, language, and thought. The relation of cognitive psychology to cognitive science and to neuropsychology is also covered.",,,,,,,,,,
PSYC 4,General Psychology: Behavioral Foundations,4,"This course provides an introduction to behavioral psychology. Topics include classical conditioning, operant conditioning, animal learning, and motivation and behavior modification.",,,,,,,,,,
PSYC 6,General Psychology: Social Foundations,4,"This course provides an introduction to social psychology. Topics may include emotion, aesthetics, behavioral medicine, person perception, attitudes and attitude change, and behavior in social organizations.",,,,,,,,,,
PSYC 7,General Psychology: Developmental Foundations,4,"This course provides an introduction to theories and research results in developmental psychology, covering infancy through adulthood.",,,,,,,,,,
PSYC 60,Introduction to Statistics,4,"This course provides an introduction to both descriptive and inferential statistics, core tools in the process of scientific discovery and the interpretation of research.",,,,,,,,,,
PSYC 70,Research Methods in Psychology,4,"This course provides an overview of how to choose appropriate research methods for experimental and nonexperimental studies. Topics may include classic experimental design and counterbalancing, statistical power, and causal inference in experimental and nonexperimental settings. ",PSYC 60,,,,,,,,,
PSYC 71,Laboratory in Psychological Research Methods,4,"This course provides hands-on research experience. Lecture topics will include experimental and nonexperimental designs, research ethics, data analysis, and causal inference. Students will design original research projects, collect and analyze data, and write a full APA-style report, including a brief literature review relevant to their design. This course builds on PSYC 70 by applying design principles to students’ own research questions and ideas. Open to the following Department of Psychology majors only: PC26, PC28, PC29, PC30, PC31, PC32, PC33.",COGS 14B or PSYC 60 or MATH 11,PSYC 70 or COGS 14A,,,,,,,,
PSYC 81,"Laboratory in Brain, Behavior, and Evolution",4,"This course provides students the opportunity to learn about the intricate relationship that exists between brain and behavior, as well as the evolutionary forces that shape this interaction. Lectures for this course aim to introduce students to some of the best examples in the literature that highlight these issues, while a parallel component of the course aims to introduce students to performing research on the topic. Open to the following Department of Psychology majors only: PC26, PC28, PC29, PC30, PC31, PC32, PC33.",COGS 14B or PSYC 60 or MATH 11,PSYC 70 or COGS 14A,,,,,,,,
