course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
SE 1,Introduction to Structures and Design,4,Introduction to fundamentals of structures and how structures work. Overview of structural behavior and structural design process through hands-on projects. Lessons learned from structural failures. Professional ethics. Role and responsibility of structural engineers. Introduction to four structural engineering focus sequences. Program or materials fees may apply. Enrollment restricted to SE27 majors only.,,,,,,,,,,
SE 3,Graphical Communication for Engineering Design,4,"Use of computer graphics (CAD software) to communicate engineering designs. Includes visualization, sketching, 2D and 3D graphics standards, dimensioning, tolerance, assemblies, and prototyping/testing with light manufacturing methods. Project/system management software, i.e., building information modeling (BIM), will be introduced. Use of computer resources.",SE 1,,,,,,,,,
SE 7,Spatial Visualization,1,"Spatial visualization is the ability to manipulate 2D and 3D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7.",,,,,,,,,,
SE 9,Algorithms and Programming for Structural Engineering,4,"Introduction to the MATLAB environment. Variables and types, statements, functions, blocks, loops, and branches. Algorithm development. Functions, function handles, input and output arguments. Data encapsulation and object-oriented programming. Toolboxes and libraries. Models from physics (mechanics and thermodynamics) are used in exercises and projects. ",MATH 20A-B,,,,,,,,,
SE 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. ",,,,,,,,,,Open to first-year students only.
SE 99H,Independent Study,1,Independent study or research under direction of a faculty member. ,,,,,,,,,,Student must be of first year standing and a Regents Scholar. Consent of instructor or department stamp.
SE 101A,Mechanics I: Statics,4,"Principles of statics using vectors. Two- and three-dimensional equilibrium of statically determinate structures under discrete and distributed loading including hydrostatics; internal forces and concept of stress; free body diagrams; moment, product of inertia; analysis of trusses and beams. ",MATH 20C or MATH 31BH,PHYS 2A or PHYS 2AR,,,,,,,,
SE 101B,Mechanics II: Dynamics,4,Kinematics and kinetics of particles in two- and three-dimensional motion. Newton’s equations of motion. Energy and momentum methods. Impulsive motion and impact. Systems of particles. Kinetics and kinematics of rigid bodies in 2-D. Introduction to 3-D dynamics of rigid bodies.,SE 101A,,,,,,,,,
SE 101C,Mechanics III: Vibrations,4,"Free and forced vibrations of damped 1-DOF systems; vibrations isolation, impact and packaging problems. Analysis of discrete MDOF systems using matrix representation; normal mode of frequencies and modal matrix formulation. Lagrange’s equations. Modal superposition for analysis of continuous vibrating systems.",MATH 18 or MATH 31AH,SE 101B or MAE 130B,,,,,,,,
SE 102,Introduction to Computing for Engineers,4,"Introduction to engineering computing. Interpolation, integration, differentiation. Ordinary differential equations. Nonlinear algebraic equations. Systems of linear algebraic equations. Representation of data in the computer. ",SE 9 or MAE 8,SE 101A or MAE 130A,,,,,,,,
