course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
"ANTH 268, COGR 225A, HIGR 238, PHIL 209A, SOCG 255A",Introduction to Science Studies,4,"Study and discussion of classic work in history of science, sociology of science, and philosophy of science, and of work that attempts to develop a unified science studies approach. Required for all students in the Science Studies Program. ",,,,,,,,,,Enrollment in Science Studies Program.
"ANTH 272, COGR 225B, HIGR 239, PHIL 209B, SOCG 255B",Seminar in Science Studies,4,"Study and discussion of selected topics in the science studies field. Required for all students in the Science Studies Program. The topic varies from year to year, and students may, therefore, repeat the course for credit. ",,,,,,,,,,Enrollment in Science Studies Program.
"ANTH 273, COGR 225C, HIGR 240, PHIL 209C, SOCG 255C",Colloquium in Science Studies,4,"A forum for the presentation and discussion of research in progress in science studies, by graduate students, faculty, and visitors. Required for all students in the Science Studies Program. ",,,,,,,,,,Enrollment in the Science Studies Program.
"ANTH 269, COGR 225D, HIGR 241, PHIL 209D, SOCG 255D",Advanced Approaches to Science Studies,4,"Contemporary themes and problems in Science Studies. Focus on recent literature in the history, philosophy and sociology of science, technology, and medicine. Required of all students in the Science Studies Program. ","ANTH 268, COGR 225A, HIGR 238, PHIL 209A, or SOCG 255A",,,,,,,,,Enrollment in Science Studies Program; or instructor’s permission.
ANTH 227,Living in an Emotional World,4,"This course examines the relationship between culture and emotions. It thinks about emotions as sources of knowledge, but also historicizes the delegitimization of emotions in social science and other disciplines. Each week, we will explore one emotion, including anger, shame, and hope. ",,,,,,,,,,Graduate standing.
ANTH 267,"Decolonizing Ethnography: Ethics, Politics, and Praxis",4,"Despite being foundational to the discipline of anthropology, ethnographic methods are often mystifying to graduate students. Students are expected to simply go into their respective field sites armed with a notebook, voice recorder, and hope. Drawing on feminist and decolonial epistemologies, we will examine, critique, and reconstruct ethnography’s dilemmas, changing forms, and ethical stakes as we understand it as a particular mode of writing and representation. ",,,,,,,,,,Graduate standing.
COGR 201D,Historical Methods for Communication Research,4,"Different approaches to conducting historical research in communication. Such approaches may include the social history of communication technology; structuralist and poststructuralist accounts of language, media, and collective memory; and new historicist treatments of cultural history. Sources, documentation, and the nature of argument from historical evidence are emphasized. ",,,,,,,,,,Graduate standing or consent of instructor.
COGR 201M,Content Analysis,4,History uses methodology of quantitative analysis of media content. Includes conceptual issues concerning the quantification of meaning and practical procedures for coding and data analysis. Students read examples of studies using content analysis and carry out their own pilot analyses. ,,,,,,,,,,Graduate standing or consent of instructor.
COGR 243,Media Technologies,4,Media technologies from books to electronic media. Consideration of both technological design processes and shifting uses of media. Reflection on media and broader patterns of technological innovation. Attention to the distinctive role of media in technological change. ,,,,,,,,,,Graduate standing or consent of instructor.
COGR 275,Topics in Communication,4,"Specialized study in communication, with topics to be determined by the instructor for any given quarter.",,,,,,,,,,
HIGR 206,Histories of the Body,4,"Historical topics related to the human body as a target of regulation, a site for the production of knowledge, the locus of an identity shaped by race, gender, and sexuality, and/or in terms of movement across geopolitical boundaries.",,,,,,,,,,
HIGR 236A-B,Seminar in History of Science,4-4,"A two-quarter research seminar, comprising intensive study of a specific topic in the history of science. The first quarter will be devoted to readings and discussions; the second chiefly to the writing of individual research papers. The topic varies from year to year, and students may repeat the course for credit. (IP grade to be awarded the first quarter; final grade will be given at the end of the second quarter.) ",,,,,,,,,,Graduate standing.
HISC 163/263,"History, Science, and Politics of Climate Change",4,"The complex historical development of human understanding of global climate change, including key scientific work, and the cultural dimensions of proof and persuasion. Special emphasis on the differential political acceptance of the scientific evidence in the U.S. and the world. Graduate students are required to submit an additional paper. ",,,,,,,,,,Upper-division or graduate standing; department stamp required.
HISC 167/267,Gender and Science,4,"Why have women been traditionally excluded from science? How has this affected scientific knowledge? How have scientists constructed gendered representations not only of women, but also of science and nature? We will address these questions from perspectives including history, philosophy, and psychoanalytic theory. ",,,,,,,,,,Upper-division standing or consent of instructor.
HISC 173/273,Seminar on Darwin and Darwinisms,4,"Examines evolutionary theory before Darwin, the development of the theory of natural selection, the ongoing challenge from Lamarckism, nineteenth-century social Darwinism, the emergence of the neo-Darwinist synthesis, and the recent controversies over evolutionary psychology and creationism. Graduate students are expected to submit an additional paper. ",,,,,,,,,,Upper-division or graduate standing and department stamp.
HISC 180/280,Science and Public Policy,4,"This course will explore the evolution of the institutions, ideologies, procedures, standards, and expertise that modern democratic societies have used in applying science to generate and legitimate public policy. Graduate students are required to submit an additional paper. ",,,,,,,,,,Upper-division or graduate standing and department stamp required.
PHIL 204A,Core Course in Philosophy of Science,4,"An introduction to one or more central problems in the philosophy of science, or in the philosophy of one of the particular sciences, such as the nature of confirmation and explanation, the nature of scientific knowledge, reductionism, the unity of science, or realism and antirealism. May be taken for credit three times with changed content.",,,,,,,,,,
PHIL 245,Philosophy of Science,4,This seminar will cover current books and theoretical issues in the philosophy of science. May be taken for credit seven times with changed content.,,,,,,,,,,
PHIL 280,Philosophy of Science Topics and Methods,1–2,This course meets weekly to discuss recent books or articles in philosophy of science. The reading is designed both for students doing active research in the field and for those seeking to gain some familiarity with it. Can be taken nine times for credit with changed content. ,,,,,,,,,,Graduate standing or consent of instructor.
PHIL 285,Seminar on Special Topics,4,(This course is only applicable for Science Studies credit when topic is Philosophy of Science.) Focused examination of specific problems or themes in some area of philosophy. May be taken for credit nine times with changed content.,,,,,,,,,,
SOCG 234,"Intellectual Foundation of the Study of Science, Technology, and Medicine",4,"This course focuses on some classic methodological and theoretical resources upon which the sociology of science, technology, and medicine all draw. It gives special attention to relationships between knowledge and social order, and between knowledge and practice, that are common to science, technology, and medicine. ",,,,,,,,,,Graduate standing.
SOCG 238,Survey of the Sociology of Scientific Knowledge,4,"An introduction to some enduring topics in the sociology of scientific knowledge and to some resources for addressing them. Attention is drawn to problems of accounting for scientific order and change, and to recurrent debates over the proper method for sociological accounts of science. ",,,,,,,,,,Graduate standing.
SOCG 247,Madness and Society,4,An examination of the changing Western responses from the age of Bedlam to the age of Prozac. Topics include: the rise and decline of the total institution; the emergence of psychiatry; changing cultural meanings of madness; and the therapeutics of mental disorder. ,,,,,,,,,,Graduate standing.
SOCG 284,Contemporary Biomedicine,4,Develops central themes in medical sociology in order to understand twentieth- and twenty-first-century medical practice and research. Topics include authority and expertise; health inequalities; managed care; health activism; biomedical knowledge production; and the construction of medical objects and subjects. ,,,,,,,,,,Graduate standing.
