course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
TDAC 1,Introduction to Acting,4,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actor’s primary resource, and the basic approach to text through action. ",,,,,,,,,,
TDAC 101,Acting I,4,This course focuses on beginning scene study with an emphasis on exploring action/objective and the given circumstances of a selected text. ,THAC 1 or TDAC 1 or consent of instructor,,,,,,,,,
TDAC 102,Acting II,4,Further study in the application of the given circumstances to a text and the development of characterization. ,TDAC 101,,,,,,,,,
TDAC 103A,cting Intensive I,4,"An intensive foundation class for students interested in professional actor training. Using Viewpoints, students will train the physical, vocal, and emotional aspects of their actor instrument toward developing character and relationships by using scenes from contemporary and modern plays. ",TDAC 102,,,,,,,,,
TDAC 103B,Acting Intensive II,4,"A continuation of TDAC 103A. Working from Meisner technique, students will learn to deepen and detail their objectives, spontaneous response, and deep listening skills. Focus on the process that will lead to scene work using this technique.",TDAC 103A,,,,,,,,,Consent of the instructor; department stamp.
TDAC 104,Classical Text,4,"Studies in the heightened realities of poetic drama. Verse analysis, research, methods and how to approach a classical dialogue. ",TDAC 102,,,,,,,,,
TDAC 105,Rehearsing Shakespeare,4,Advanced exploration of Shakespeare’s language through examining and performing scenes from the plays. Admission by audition/interview. May be taken for credit two times. ,TDAC 102,,,,,,,,,
TDAC 106,Chekhov Acting,4,"Practical exercises, discussion, text analysis, and scene work on the writings of Anton Chekhov. Admission by audition/interview. ",TDAC 102,,,,,,,,,
TDAC 107,Improvisation for the Theatre,4,Improvisation for the Theatre explores improvisation techniques as an alternative and unique approach to acting. Students should have a performance background. ,THAC 1 or TDAC 1,,,,,,,,,
TDAC 108,Advanced Topics,4,"Advanced topics in acting, such as avant-garde drama, commedia, or Beckett, for students who possess basic acting techniques. May be taken for credit four times. ",TDAC 102,,,,,,,,,
