course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
USP 1,History of US Urban Communities,4,"This course charts the development of urban communities across the United States both temporally and geographically. It examines the patterns of cleavage, conflict, convergence of interest, and consensus that have structured urban life. Social, cultural, and economic forces will be analyzed for the roles they have played in shaping the diverse communities of America’s cities.",,,,,,,,,,
USP 2,Urban World System,4,"Examines cities and the environment in a global context. Emphasizes how the world’s economy and the earth’s ecology are increasingly interdependent. Focuses on biophysical and ethicosocial concerns rooted in the contemporary division of labor among cities, Third World industrialization, and the post-industrial transformation of US cities.",,,,,,,,,,
USP 3,The City and Social Theory,4,"An introduction to the sociological study of cities, focusing on urban society in the United States. Students in the course will examine theoretical approaches to the study of urban life; social stratification in the city; urban social and cultural systems–ethnic communities, suburbia, family life in the city, religion, art, and leisure.",,,,,,,,,,
USP 4,Introduction to Geographic Information Systems,4,"This course provides an entry-level introduction to Geographic Information Systems (GIS) and using GIS to make decisions: acquiring data and organizing data in useful formats, demographic mapping, and geocoding.",,,,,,,,,,
USP 5,Introduction to the Real Estate and Development Process,4,"This course introduces students to the terminology, concepts, and basic practices of real estate finance and development. It surveys real estate law, appraisal, marketing, brokerage, management, finance, investment analysis, and taxation.",,,,,,,,,,
USP 6,Introduction to Global Architecture,4,"Architecture and design shape our interaction with the built environment. This course covers history of built forms, including iconic work of well-known architects, with emphasis on global movements and power. Why did some ideas and forms travel, while others didn’t?",,,,,,,,,,
USP 15,Applied Urban Economics for Planning and Development,4,"This course explores how economics contributes to understanding and solving urban problems using a “learn by doing” approach. Economic analysis will be applied to important issues that planners and developers must deal with, such as land markets, housing, and zoning.",,,,,,,,,,
USP 25,Real Estate and Development Principles and Analysis,4,"This course will analyze the concepts related to the planning, development, leasing, valuation, and financing of real estate. There will be special emphasis on critical thinking and analytical decision-making by solving real estate problems primarily using Excel and Argus.",,,,,,,,,,
USP 30,Urban Studies and Planning Colloquium,2,"In this course, students will attend weekly seminars presented by leading researchers and practitioners in fields related to urban studies and planning. Students will learn about best practices and innovative case studies from the field.",,,,,,,,,,
USP 50,Real Estate and Development Colloquium,2,"In this course, students will attend weekly seminars presented by leading researchers and practitioners in the field of real estate and development. Students will learn about best practices and innovative case studies from the field. Recommended for students interested in the real estate and development minor or major.",,,,,,,,,,
USP 100,Introduction to Urban Planning,4,"This course is designed to provide an introduction to the fundamentals of urban planning. It surveys important topics in urban planning, including economic development, urban design, transportation, environmental planning, housing, and the history of urban planning. ",,,,,,,,,,Upper-division standing or consent of instructor.
USP 101,Introduction to Policy Analysis,4,"(Same as POLI 160AA.) This course will explore the process by which the preferences of individuals are converted into public policy. Also included will be an examination of the complexity of policy problems, methods for designing better policies, and a review of tools used by analysts and policy makers.",,,,,,,,,,Upper-division standing or consent of instructor.
USP 102,Urban Economics,4,"(Same as ECON 135.) Economic analysis of why and where cities develop, patterns of land use in cities, why cities sub-urbanize, and the pattern of urban commuting. The course also examines problems of urban congestion, air pollution, zoning, poverty, and crime, and discusses public policies to deal with them. Credit not allowed for both ECON 135 and USP 102.",ECON 2 or 100A,MATH 10A or 20A,,,,,,,,
USP 104,Ethnic Diversity and the City,4,(Same as ETHN 105.) This course will examine the city as a crucible of ethnic identity exploring both the racial and ethnic dimensions of urban life in the United States from the Civil War to the present.,,,,,,,,,,Upper-division standing.
USP 105,Urban Sociology,4,(Same as SOCI 153.) Introduces students to the major approaches in the sociological study of cities and to what a sociological analysis can add to our understanding of urban processes.,,,,,,,,,,Upper-division standing or consent of instructor.
USP 106,The History of Race and Ethnicity in American Cities,4,"(Same as HIUS 129.) This class examines the history of racial and ethnic groups in American cities. It looks at major forces of change such as immigration to cities, political empowerment, and social movements, as well as urban policies such as housing segregation.",,,,,,,,,,Upper-division standing or consent of instructor.
USP 107,Urban Politics,4,"(Same as POLI 102E.) This survey course focuses upon the following six topics: the evolution of urban politics since the mid-nineteenth century; the urban fiscal crisis; federal/urban relationships; the “new” politics; urban power structure and leadership; and selected contemporary policy issues such as downtown redevelopment, poverty, and race.",,,,,,,,,,Upper-division standing or consent of instructor.
USP 110,Advanced Topics in Urban Politics,4,"(Same as POLI 102J.) Building upon the introductory urban politics course, the advanced topics course explores issues such as community power, minority empowerment, and the politics of growth. A research paper is required. Students may not receive credit for both POLI 102J and USP 110.",,,,,,,,,,Upper-division standing.
USP 120,"Urban Planning, Infrastructure, and Real Estate",4,"This course will explore the interrelationships of urban planning, public infrastructure, and real estate development. These three issues are critical to an examination of the major challenges facing California’s and America’s major metropolitan centers. ",,,,,,,,,,Upper-division standing or consent of instructor.
