course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
VIS 1,Introduction to Art Making: Two-Dimensional Practices,4,"An introduction to the concepts and techniques of two-dimensional art making with an emphasis on drawing. Lectures and studio classes will introduce skills and concepts of contemporary drawing practice in relation to a variety of genres such as illustration, comics, advertising, animation, and other forms of visualization. This course is offered only one time each year. ",,,,,,,,,,
VIS 2,Introduction to Art Making: Motion and Time-Based Art,4,"An introduction to art making utilizing the transaction between people, objects, situations, and media. Includes both critical reflection on relevant aspects of modern and contemporary art practices (Marina Abramovic, Allen Kaprow, Adrian Piper, James Luna, Stelarc, Ron Athey, conceptual art, performance art, new media art, etc.) and practical experience in a variety of artistic exercises. This course is offered only one time each year. ",,,,,,,,,,
VIS 3,Introduction to Art Making: Three-Dimensional Practices,4,An introduction to art making that uses as its base the idea of the “conceptual.” The lecture exists as a bank of knowledge about various art world and nonart world conceptual plays. The studio section attempts to incorporate these ideas into individual and group projects using any “material.” This course is offered only one time each year. ,,,,,,,,,,
VIS 6,"Race, Gender, and Robots",4,"We will look at works that present androids, cyborgs, and AI as an emergent “other” in media. Examining science fiction films and media, students look critically at how race and gender are represented. Through the lens of feminist and antiracist scholarship, the course presents critical understandings of android/AI stories and their cultural implications. Special emphasis throughout the course will be placed on how such stories remake troubling histories and anxieties about race and gender. ",,,,,,,,,,
VIS 7,Movie Magic: From Méliès to Marvel,4,"Looking at spectacle in motion pictures, the illusion of cinema, and visual effects in popular media. This class will introduce students to the history of special and visual effects in film and video, from the earliest cinematic experiments to experimental film and modern-day blockbusters. We will examine the integration of technology with image-making and storytelling and look at the exciting ways artists make the impossible come alive on screen. ",,,,,,,,,,
VIS 8,Visuality and the African Diaspora,4,"This seminar introduces students, with an academic background in critical theories of race and ethnicity, to artistic production in the visual arts. It combines practice-based research with theoretical and historical readings of works by scholars, artists, and filmmakers of the African diaspora. ",AAS 10,,,,,,,,,
VIS 9,Introduction to Digital Photography for Non-Majors,4,"This course is a general study of the camera and photography utilizing digital technology. Emphasis is placed on developing fundamental manual control, understanding composition, and basic photographic techniques through lectures and field exercises. ",,,,,,,,,,
VIS 10,Computing in the Arts Lecture Series,4,"Designed around presentations by visiting artists, critics, and scientists involved with contemporary issues related to computer arts and design. Lectures by the instructor and contextual readings provide background material for the visitor presentations. Program or materials fees may apply. Students may not receive credit for both VIS 10 and ICAM 110. This course is offered only one time each year.",,,,,,,,,,
VIS 11,Introduction to Visual Culture,4,"This course examines the significant topics in art practice, theory, and history that are shaping contemporary art thinking. A wide range of media extending across studio art practice, digital media, performative practices, and public culture will be considered as interrelated components. This course is offered only one time each year during winter quarter. ",,,,,,,,,,
VIS 20,Introduction to Art in Europe and America,4,"This course examines the history of Western art and architecture through such defining issues as the respective roles of tradition and innovation in the production and appreciation of art; the relation of art to its broader intellectual and historical contexts; and the changing concepts of the monument, the artist, meaning, style, and “art” itself. Representative examples will be selected from different periods, ranging from antiquity to modern. Content will vary with the instructor. ",,,,,,,,,,
VIS 21A,Introduction to the Art of the Americas or Africa and Oceania,4,Course offers a comparative and thematic approach to the artistic achievements of societies with widely divergent structures and political organizations from the ancient Americas to Africa and the Pacific Islands. Topics vary with the interests and expertise of instructor. Students may not receive credit for VIS 21 and VIS 21A.,,,,,,,,,,
VIS 21B,Introduction to Asian Art,4,"Survey of the major artistic trends of India, China, and Japan, taking a topical approach to important developments in artistic style and subject matter to highlight the art of specific cultures and religions. Students may not receive credit for VIS 21 and VIS 21B.",,,,,,,,,,
VIS 21C,Introduction to African Art,4,"Survey of the major artistic trends of Africa, taking a topical approach to important developments in artistic style and subject matter to highlight the art of specific cultures, nations, and religions. ",,,,,,,,,,
VIS 22,Formations of Modern Art,4,"A wide-ranging survey introducing the key aspects of global art and criticism in the nineteenth and twentieth centuries. The course will comparatively examine formations of modernism and modernity within and across a variety of aesthetic traditions in Africa, Asia, Europe, Latin America, North America, and Oceania. ",,,,,,,,,,
VIS 23,Seminar in Art History Methods,4,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations. ",,,,,,,,,,
VIS 30,Introduction to Speculative Design,4,"Speculative design uses design methods to question and investigate material culture with critical creative purpose. This course provides a historical, theoretical, and methodological introduction to speculative design as a distinct program. Emphasis is tracing the integration of interdisciplinary intellectual and technical problems toward creative, unexpected propositions and prototypes. ",,,,,,,,,,
VIS 31,Undead Media: All Things Zombie,4,"Have you noticed that zombies are everywhere? In the lab, bank, your home, computer, and cell phone. The undead threaten identity and civilization. Who are they? What do they want? How do they “think”? What do they mean? Class will consider film, literature, graphic novels, video games, and fan culture, drawing from fields such as computing, anthropology, philosophy, sexuality studies, and ethnic studies to dig up undead media’s secret histories and map the global flows of its shambling hordes. ",,,,,,,,,,
