course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
BILD 1,The Cell,4,"An introduction to cellular structure and function, to biological molecules, bioenergetics, to the genetics of both prokaryotic and eukaryotic organisms, and to the elements of molecular biology. Recommended preparation: prior completion of high school- or college-level chemistry course.",,,,,,,,,,
BILD 2,Multicellular Life,4,"An introduction to the development and the physiological processes of plants and animals. Included are treatments of reproduction, nutrition, respiration, transport systems, regulation of the internal environment, the nervous system, and behavior. ",BILD 1,,,,,,,,,
BILD 3,Organismic and Evolutionary Biology,4,"The first principles of evolutionary theory, classification, ecology, and behavior; a phylogenetic synopsis of the major groups of organisms from viruses to primates.",,,,,,,,,,
BILD 4,Introductory Biology Lab,2,"Students gain hands-on experience and learn the theoretical basis of lab techniques common to a variety of biological disciplines such as biochemistry, molecular biology, cell biology, and bioinformatics. Students will work in groups, learning how to collect, analyze, and present data while using the scientific method to conduct inquiry-based laboratory experiments. Material lab fees will apply.",,,,,,,,,,
BILD 5,Data Analysis and Design for Biologists,4,"This course is a practical introduction to information literacy, experimental design, and data analysis for biologists. Students will be introduced to coding, data management, and quantitative analysis. However, this is not a traditional statistics course and no mathematics prerequisites are required. Rather this course focuses on practical skills related to effectively asking and answering biological questions with data.",,,,,,,,,,
BILD 7,The Beginning of Life,4,"An introduction to the basic principles of plant and animal development, emphasizing the similar strategies by which diverse organisms develop. Practical applications of developmental principles as well as ethical considerations arising from these technologies will be discussed.",,,,,,,,,,
BILD 10,Fundamental Concepts of Modern Biology,4,An introduction to the biochemistry and genetics of cells and organisms; illustrations are drawn from microbiology and human biology. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 10 after receiving credit for BILD 1.,,,,,,,,,,
BILD 12,Neurobiology and Behavior,4,"Introduction to the organization and functions of the nervous system; topics include molecular, cellular, developmental, systems, and behavioral neurobiology. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for both BILD 12 and COGS 17.",,,,,,,,,,
BILD 18,Human Impact on the Environment,4,"Course will focus on issues such as global warming, species extinction, and human impact on the oceans and forests. History and scientific projections will be examined in relation to these events. Possible solutions to these worldwide processes and a critical assessment of their causes and consequences will be covered.",,,,,,,,,,
BILD 20,Human Genetics in Modern Society,4,"Fundamentals of human genetics and introduction to modern genetic technology such as gene cloning and DNA finger printing. Applications of these techniques, such as forensic genetics, genetic screening, and genetic engineering. Social impacts and ethical implications of these applications. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 20 after receiving credit for BICD 100.",,,,,,,,,,
BILD 22,Human Nutrition,4,"A survey of our understanding of the basic chemistry and biology of human nutrition; discussions of all aspects of food: nutritional value, diet, nutritional diseases, public health, and public policy. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 22 after receiving credit for BIBC 120.",,,,,,,,,,
BILD 26,Human Physiology,4,"Introduction to the elements of human physiology and the functioning of the various organ systems. The course presents a broad, yet detailed, analysis of human physiology, with particular emphasis toward understanding disease processes. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 26 after receiving credit for BIPN 100.",,,,,,,,,,
BILD 28,"Immunology, Vaccines, and Immunotherapy",4,"Course will provide an overview of the human immune system and how it is exploited to improve human health. Designed for nonbiology majors who want to better understand exciting medical interventions developed in recent years. Course will cover the new SARS-2 vaccine and revolutionary cancer treatments, based on the fundamental understanding of how the immune system fights infection. Discussions will include how the immune system is studied and will “bust” common myths about the immune system. Note: Students will not receive credit if taken after BICD 140.",,,,,,,,,,
BILD 30,Biology of Plagues: Past and Present,4,"An introduction to diseases caused by viruses, bacteria, and parasites, and the impact of these diseases on human society. Topics include the biology of infectious disease, epidemiology, and promising new methods to fight disease. Open to nonbiology majors only. Note: Students will not receive credit for BILD 30 if taken after BIMM 120.",,,,,,,,,,
BILD 32,Introduction to Cancer Biology,4,"Cancer is the second leading cause of death both in the United States and globally. This course is an introduction to the basic biology of cancer including the cellular and genetic changes that characterize the development and progression of cancer, as well as a review of the major therapies currently being pursued to treat cancer. Topics that are emphasized in this course include the fundamental causes of cancers, the socioeconomic implications of cancer incidence, and basic preventative measures. This course does not satisfy any requirement for a biology major. Students may not receive credit for BILD 32 after receiving credit for BIMM 134.",,,,,,,,,,
BILD 36,AIDS Science and Society,4,"An introduction to all aspects of the AIDS epidemic. Topics will include the epidemiology, biology, and clinical aspects of HIV infection; HIV testing; education and approaches to therapy; and the social, political, and legal impacts of AIDS on the individual and society. This course is designed for nonbiology students and does not satisfy a lower-division requirement for any biology major. Open to nonbiology majors only. Note: Students may not receive credit for BILD 36 after receiving credit for BICD 136.",,,,,,,,,,
BILD 38,"Dementia, Science, and Society",4,"Introduction to basic human neuroscience leading to a discussion of brain diseases classified under the rubric Dementia. Topics include basic brain structure and function, diseases of the aging brain and their economic, social, political and ethical impacts on society.",,,,,,,,,,
BILD 40,Introduction to Biomedical Research,2,"Course introduces students to some of the research approaches employed by physicians and scientists at the UC San Diego School of Medicine to investigate the etiology, biology, prevention and treatment of human diseases, including cancer, diabetes, and others. P/NP grades only.",,,,,,,,,,
BILD 42,Our Sustainable Future,4,"This course will provide an overview of existing methods for energy, food, and materials production and utilization, and describe new technologies for their sustainable production and the consequences of this to our society and the planet.",,,,,,,,,,
BILD 44,Scientific Perspectives for a Changing World,4,"Science can help us define and solve problems of the modern world, from how to improve health and change people’s behavior to how to protect the environment. This course will train students to assess scientific claims and their implications in today’s complex information ecosystem, critically engaging from the scale of data analysis through to the social framework in which research is carried out and presented. Contemporary case studies from natural and social sciences will be discussed.",,,,,,,,,,
BILD 46,Ecology of a Changing Planet,4,"Biodiversity is changing worldwide in response to global changes. What do these changes in biodiversity foretell for the continued provisioning of ecosystem services on which humans depend? How can we develop conservation and management strategies that preserve biodiversity, backed up by sound science? These are some of the most important questions of our time. Topics will be presented at an introductory level appropriate for students in all majors. Students will not receive credit if taken after BIEB 182.",,,,,,,,,,
BILD 51,Quantitative Biology Project Lab,4,Course covers two important aspects: (1) interdisciplinary and research-based education and (2) teaching fundamental experimental and computational skills in quantitative studies of living systems. Participation by application only. Material lab fees will apply. ,,,,,,,,,,Department approval required.
