course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CHEM 1,The Scope of Chemistry and Biochemistry,1,"This seminar connects first-year students with the chemistry community (peers, staff, faculty, and other researchers) as they explore learning resources, study strategies, professional development, and current areas of active research. With an emphasis on academic and career planning, the series will feature guest lectures by UC San Diego faculty and staff, as well as industrial scientists and representatives from professional organizations such as the American Chemical Society (ACS). P/NP grades only.",,,,,,,,,,
CHEM 4,Chemical Thinking,4,"This is a one-quarter preparatory chemistry course intended for students continuing on to general chemistry. The course will focus on the development and analysis of submicroscopic models of matter and structure-property relationships to explain, predict, and control chemical behavior. May not receive credit for both CHEM 4 and CHEM 11. Recommended: concurrent enrollment in MATH 3C, 4C, or 10A or higher. Restricted to first-year and sophomore enrollment.",,,,,,,,,,
CHEM 6A,General Chemistry I,4,"First quarter of a three-quarter sequence intended for science and engineering majors. Topics include atomic theory, bonding, molecular geometry, stoichiometry, and types of reactions. May not be taken for credit after CHEM 6AH. Recommended: concurrent or prior enrollment in MATH 4C, 10A, or 20A. ","CHEM 4, or AP Chemistry score of 3, or Math Placement Exam qualifying score, or AP Calculus AB score of 2, or MATH 3C",,,,,,,,,
CHEM 6AH,Honors General Chemistry I,4,"First quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics include quantum mechanics, molecular orbital theory, and bonding. An understanding of nomenclature, stoichiometry, and other fundamentals is assumed. Students completing 6AH may not subsequently take 6A for credit. May be taken for credit after credit for CHEM 6A. Recommended: completion of a high school physics course strongly recommended. Concurrent enrollment in MATH 20A or higher.",,,,,,,,,,
CHEM 6B,General Chemistry II,4,"Second quarter of a three-quarter sequence intended for science and engineering majors. Topics include gases, liquids, and solids, thermochemistry and thermodynamics, physical and chemical equilibria, solubility. May not be taken for credit after CHEM 6BH. ",CHEM 6A or 6AH,MATH 10A or 20A,,,,,,,,"Recommended: concurrent or prior enrollment in MATH 10B or 20B. (F, W, S)"
CHEM 6BH,Honors General Chemistry II,4,"Second quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics include colligative properties, bulk material properties, chemical equilibrium, acids and bases, and thermodynamics. Three hour lecture and one hour recitation. May be taken for credit after credit for CHEM 6B. Students completing 6BH may not subsequently take 6B for credit. ",CHEM 6AH,MATH 20A,,,,,,,,Recommended: concurrent or prior enrollment in MATH 20B.
CHEM 6C,General Chemistry III,4,"Third quarter of a three-quarter sequence intended for science and engineering majors. Topics include kinetics, acid-base equilibria, electrochemistry, coordination chemistry, and an introduction to nuclear chemistry. May not be taken for credit after CHEM 6CH. ",CHEM 6B or 6BH,,,,,,,,,"Recommended: completion of MATH 10B or 20B. (F, W, S)"
CHEM 6CH,Honors General Chemistry III,4,Third quarter of a three-quarter honors sequence intended for well-prepared science and engineering majors. Topics are similar to those in 6C but are taught at a higher level and faster pace. May be taken for credit after credit for CHEM 6C. Students completing 6CH may not subsequently take 6C for credit. ,CHEM 6BH,MATH 20B,,,,,,,,
CHEM 7L,General Chemistry Laboratory,4,"Condenses a year of introductory training in analytical, inorganic, physical, and synthetic techniques into one intensive quarter. A materials fee is required. A mandatory safety exam must be passed. Students may not receive credit for both CHEM 7L and CHEM 7LM. ",CHEM 6B or 6BH,,,,,,,,,
CHEM 7LM,General Chemistry Laboratory for Majors,4,"Condenses a year of introductory training in analytical, inorganic, physical, and synthetic techniques into one intensive quarter. Students may not receive credit for both CHEM 7L and CHEM 7LM. A materials fee is required. A safety exam must be passed. Enrollment preference given to chemistry and biochemistry majors, followed by other science/engineering majors. ",CHEM 6B or 6BH,,,,,,,,,"Restricted to the following major codes: CH25, CH31, CH34, CH35, CH36, CH37, CH38."
