course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
COGS 1,Introduction to Cognitive Science,4,"A team-taught course highlighting development of the field and the broad range of topics covered in the major. Example topics include addiction, analogy, animal cognition, human-computer interaction, language, neuroimaging, neural networks, reasoning, robots, and real-world applications.",,,,,,,,,,
COGS 2,Cognitive Neuroeconomics,4,This course is an introduction to the neuroscience behind the principles of economic decision-making. The topics in this course are aimed at exploring the underlying cognitive and neural mechanisms that drive the decisions behind traditional economic models.,,,,,,,,,,
COGS 3,Introduction to Computing,4,"Covers the fundamental concepts that underlie all programming languages and provides an introduction to the essential information about algorithms and data structures. Students design and implement web applications using HTML5, CSS3, JavaScript, and Photoshop. No previous programming experience is required.",,,,,,,,,,
COGS 8,Hands-on Computing,4,"Introductory-level course that will give students insight into the fundamental concepts of algorithmic thinking and design. The course will provide the students with first-person, hands-on experience programming a web crawler and simple physical robots.",,,,,,,,,,
COGS 9,Introduction to Data Science,4,"Concepts of data and its role in science will be introduced, as well as the ideas behind data-mining, text-mining, machine learning, and graph theory, and how scientists and companies are leveraging those methods to uncover new insights into human cognition.",,,,,,,,,,
COGS 10,Cognitive Consequences of Technology,4,This course examines the interrelationships of cognition and technology from the perspective of cognitive science. We address questions of importance for our increasingly technological society: How does technology shape our minds? How should what we know about our minds shape technology?,,,,,,,,,,
COGS 11,Minds and Brains,4,"How damaged and normal brains influence the way humans solve problems, remember or forget, pay attention to things; how they affect our emotions, and the way we use language in daily life.",,,,,,,,,,
COGS 12,"Language, Culture, and Cognition",4,"Do people who speak different languages think differently? Does learning new languages change the way you think? Are some thoughts unthinkable without language? Course will bring together ideas and findings from psychology, linguistics, anthropology, neuroscience, and philosophy.",,,,,,,,,,
COGS 13,Field Methods: Studying Cognition in the Wild,4,"This course introduces students to multiple methods to investigate cognition and behavior in natural settings. Students will learn about ethnography, videography (video data collection, coding, and analysis), surveys design and conducting interviews, and how to move from observations to modeling.",,,,,,,,,,
COGS 14A,Introduction to Research Methods,4,"Introduction to the scientific method. Methods of knowledge acquisition, research questions, hypotheses, operational definitions, variables, control. Observation, levels of measurement, reliability, validity. Experimentation and design: between-groups, within-subjects, quasi-experimental, factorial, single-subject. Correlational and observational studies. Ethics in research.",,,,,,,,,,
COGS 14B,Introduction to Statistical Analysis,4,"Introduction to descriptive and inferential statistics. Tables, graphs, measures of central tendency and variability. Distributions, Z-scores, correlation, regression. Probability, sampling, logic of inferential statistics, hypothesis testing, decision theory. T-test, one and two-way Anova, nonparametric tests (Chi-square). ",COGS 14A,,,,,,,,,
COGS 15,What the *#!?: An Uncensored Introduction to Language,4,"This course uses the study of swearing to introduce topics in language: how children learn it, why it changes over time, and how people pronounce and understand it. Students who believe they could be offended by the study of swearing and other taboo language might not find this course appropriate for them.",,,,,,,,,,
COGS 17,Neurobiology of Cognition,4,"Introduction to the organization and functions of the nervous system. Topics include molecular, cellular, developmental, systems, and behavioral neurobiology. Specifically, structure and function of neurons, peripheral and central nervous systems, sensory, motor, and control systems, learning and memory mechanisms. (Students may not receive credit for both BILD12 and COGS 17. This course fulfills general-education requirements for Marshall and Roosevelt Colleges as well as Warren by petition.)",,,,,,,,,,
COGS 18,Introduction to Python,4,"This class will teach fundamental Python programming skills and practices, including the “Zen of Python.” Students will focus on scientific computing and learn to write functions and tests, as well as how to debug code using the Jupyter Notebook programming environment. Students may receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: students with limited computing experience may take COGS 3.",,,,,,,,,,
COGS 20,Exploring the Musical Mind,4,"(Cross-listed with MUS 20.) How do we transform complex sounds into comprehensible and meaningful music? What physiological, neurological, cognitive, and cultural systems are involved? Why do we make music in such diverse ways around the globe? Does music have evolutionary or ecological significance? What is the relationship between music, motion, and emotions? This course explores contemporary understandings of how we hear and how we become musical and invites students to listen to new music in new ways. Students may not receive credit for both COGS 20 and MUS 20.",,,,,,,,,,
COGS 87,First-year Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year Student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
COGS 90,Undergraduate Seminar,1,Special topics in cognitive science are discussed. P/NP grades only. (May be repeated when topics vary.),,,,,,,,,,
COGS 91,SCANS Presents,1,"The department faculty and the Students for Cognitive and Neurosciences (SCANS) offer this seminar exploring issues in cognitive science. It includes informal faculty research presentations, investigations of topics not covered in the curriculum, and discussions on graduate school and careers. (May be repeated when topics vary.)",,,,,,,,,,
COGS 92,Resiliency in the Face of Adversity,2,Psychological resiliency will be addressed both scientifically and pragmatically. Students will explore the way cognitive and behavioral factors contribute to one’s ability to cope with the stresses of life and emerge from them stronger than before. P/NP only.,,,,,,,,,,
COGS 99,Independent Study,2 or 4,Independent literature or laboratory research by arrangement with and under direction of a Department of Cognitive Science faculty member. ,,,,,,,,,,"Lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form."
COGS 100,Cyborgs Now and in the Future,4,"Covers the theories of situated, distributed, enactive, and embodied cognition. Explains how cyborgs are a natural consequence of our current understanding of embodied minds embedded in culturally shaped niches; how mental systems can be distributed over other people and things. ",COGS 1 or COGS 10,,,,,,,,,
COGS 101A,Sensation and Perception,4,An introduction to the experimental study of cognition with a focus on sensation and perception. ,COGS 1,,,,,,,,,
COGS 101B,"Learning, Memory, and Attention",4,"A survey of the experimental study of learning, memory, and attention. Topics include conditioning, automaticity, divided attention, memory systems, and the nature of mental representation. ",COGS 1,,,,,,,,,Recommended: COGS 101A.
COGS 101C,Language,4,"An introduction to structure of natural language, and to the cognitive processes that underline its acquisition, comprehension, and production. This course covers findings from linguistics, computer science, psychology, and cognitive neuroscience to provide an integrated perspective on human language abilities. ",COGS 1,14A,,,,,,,,
COGS 102A,Cognitive Perspectives,4,"Explores current theoretical frameworks of high-level human cognition that emphasize how we interact with the material, social, and cultural world. Themes include the philosophy and history of cognitive science, the role of artifacts, and how cognition extends beyond the individual. ",COGS 1,COGS 10,,,,,,,,
