course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
CGS 2A,Introduction to Critical Gender Studies: Key Terms and Concepts,4,"This course will be a general introduction to the key terms, issues, and concepts in the fields of gender and sexuality studies.",,,,,,,,,,
CGS 2B,Introduction to Critical Gender Studies: Social Formations,4,An introduction to the social relations of power that are shaped by and that shape gender and sexuality. It will build more on the basic concepts and skills introduced in CGS 2A.,,,,,,,,,,
CGS 87,Critical Gender Studies First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
CGS 100A,Conceptualizing Gender: Theoretical Approaches,4,"This course explores the significance of gender as a category of analysis by examining diverse theoretical frameworks from the field of critical gender studies. Particular attention is given to gender in relation to race, class, sexuality, nation, (dis)ability, and religion. Students will not receive credit for both CGS 100 and 100A. ",CGS 2A-B or at least one CGS upper-division course,,,,,,,,,
CGS 100B,Conceptualizing Gender: Methods and Methodologies,4,"Introduction to interdisciplinary research methodologies used in critical gender studies. Students will learn to identify and utilize humanities, social science, and natural science methods for studying gender and sexuality, and to evaluate how knowledge about gender and sexuality is produced. ",CGS 2A-B or at least one CGS upper-division course,,,,,,,,,
CGS 101,Gender and Globalization,4,"This course explores effects of globalization on transnational relations of gender and sexuality. Topics include the division of labor, politics of production and consumption, constructions of gender and sexuality within global grassroots movements, and the migration of people, capital, and culture. ",,,,,,,,,,Upper-division standing or consent of instructor.
CGS 105,Queer Theory,4,"Examines the different methodologies and disciplinary histories that together constitute the interdisciplinary project called queer studies. Of particular interest will be how these different methodologies and history construe and construct the relations between gender, race, class, and nation. ",,,,,,,,,,Upper-division standing or consent of instructor.
CGS 106,Gender and the Law,4,"Explores the legal treatment of discrimination on the basis of gender, including equal protection doctrine and some statutory law such as Title VII. Topics include the meaning of gender equality in such areas as single-sex education, military service, sexual harassment, discrimination on the basis of pregnancy, and other current issues.",,,,,,,,,,
CGS 108,"Gender, Race, and Artificial Intelligence",4,"(Cross-listed with LTCS 108.) This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the role gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108.",,,,,,,,,,
CGS 109,Sexual Violence,4,"This course examines how sexual violence is experienced in relation to/with gender, racialization, sexuality, and class. It considers reporting structures and asks who is heard when sexual violence is named and how so many are not heard. It also explores movements working to interrupt sexual violence.",,,,,,,,,,
CGS 110,Intersectional Struggles for Environmental Justice,4,"Colonial and capitalist exploitation has left a trail of environmental destruction and devastated communities stretching across the globe. This course will apply an intersectional lens to analyzing racialized, gendered extractivist wastelands, environmental injustices, and the movements struggling for alternate futures.",,,,,,,,,,
