course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
DSC 10,Principles of Data Science,4,"This first course in data science introduces students to data exploration, statistical inference, and prediction. It introduces the Python programming language as a tool for tabular data manipulation, visualization, and simulation. Through homework assignments and projects, students are given an opportunity to develop their analytical skills while working with real-world datasets from a variety of domains. ",,,,,,,,,,
DSC 20,Programming and Basic Data Structures for Data Science,4,"Provides an understanding of the structures that underlie the programs, algorithms, and languages used in data science by expanding the repertoire of computational concepts introduced in DSC 10 and exposing students to techniques of abstraction. Course will be taught in Python and will cover topics including recursion, higher-order functions, function composition, object-oriented programming, interpreters, classes, and simple data structures such as arrays, lists, and linked lists. ",DSC 10,,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 30,Data Structures and Algorithms for Data Science,4,"Builds on topics covered in DSC 20 and provides practical experience in composing larger computational systems through several significant programming projects using Java. Students will study advanced programming techniques including encapsulation, abstract data types, interfaces, algorithms and complexity, and data structures such as stacks, queues, priority queues, heaps, linked lists, binary trees, binary search trees, and hash tables. ",DSC 20,,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 40A,Theoretical Foundations of Data Science I,4,"The sequence DSC 40A-B introduces the theoretical foundations of data science. DSC 40A, the first course in the sequence, exposes students to the mathematical theory underlying fundamental topics in machine learning. Topics include empirical risk minimization, optimization, regression, classification, and discrete probability. Students practice creative problem-solving while learning how to rigorously justify and communicate mathematical ideas. ","DSC 10, MATH 20C or MATH 31BH,",MATH 18 or MATH 20F or MATH 31AH,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 40B,Theoretical Foundations of Data Science II,4,"The sequence DSC 40A-B introduces the theoretical foundations of data science. DSC 40B, the second course in the sequence, covers the fundamentals of computer science with applications to data science. Topics include time complexity analysis, the analysis of recursive algorithms, graph theory, and graph search algorithms. Whereas other courses in the curriculum, such as DSC 20 and DSC 30, may touch on these topics briefly, this course aims to develop a deeper, theoretical understanding. DSC 40A-B connect to DSC 10, 20, and 30 by providing the theoretical foundation for the methods that underlie data science. ",DSC 20,40A,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 80,The Practice and Application of Data Science,4,"The marriage of data, computation, and inferential thinking, or “data science,” is redefining how people and organizations solve challenging problems and understand the world. This course bridges lower- and upper-division data science courses as well as methods courses in other fields. Students master the data science life-cycle and learn many of the fundamental principles and techniques of data science spanning algorithms, statistics, machine learning, visualization, and data systems. ",DSC 30,DSC 40A,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 90,Seminar in Data Science,2,Students will learn about a variety of topics in data science through interactive presentations from faculty and industry professionals. May be taken for credit up to four times. ,DSC 10,,,,,,,,,Restricted to students within the DS25 major. All other students will be allowed as space permits.
DSC 95,Tutor Apprenticeship in Data Science,2,Students will receive training in skills and techniques necessary to be effective tutors for data science courses. Students will also gain practical experience in tutoring students on data science topics. ,DSC 10. Students must have applied for,been accepted as a tutor for a DSC course for the first time,,,,,,,,Enrollment in DSC 95 is required for these students.
DSC 96,Workshop in Data Science,2,Students will explore topics and tools relevant to the practice of data science in a workshop format. The instructor works with students on guided projects to help students acquire knowledge and skills to complement their course work in the core data science classes. Topics vary from quarter to quarter. Students are strongly recommended to enroll in either DSC 10 or DSC 20 concurrently. ,,,,,,,,,,
DSC 97,Internship in Data Science,2 or 4,"Individual research on a topic related to data science, by special arrangement with and under the direction of a UC San Diego faculty member, in connection with an internship at an organization. It is the students’ responsibility to find an internship related to data science prior to enrolling in this course. Internship work will inform but not necessarily define the research topic. The research topic is expected to promote the study of the principles and techniques involved in the internship work. May be taken for credit up to two times. ",MATH 20C or MATH 31BH,MATH 18 or MATH 31AH,DSC 20,DSC 40A,,,,,,"Completion of thirty units at UC San Diego with a university GPA of 3.0. Special Studies form, consent of the instructor, and approval of the department required. Priority enrollment is given to data science majors DS25. Restricted to first-year and sophomore level students."
