course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
ECON 1,Principles of Microeconomics,4,"Introduction to the study of the economic system. Course will introduce the standard economic models used to examine how individuals and firms make decisions in perfectly competitive markets, and how these decisions affect supply and demand in output markets.",,,,,,,,,,
ECON 2,Market Imperfections and Policy,4,"Analysis of monopoly and imperfectly competitive markets, market imperfections and the role of government. ",ECON 1,,,,,,,,,
ECON 3,Principles of Macroeconomics,4,"Introductory macroeconomics: unemployment, inflation, business cycles, monetary and fiscal policy. ",ECON 1,,,,,,,,,
ECON 4,Financial Accounting,4,"(Cross-listed with MGT 4.) Recording, organizing, and communicating financial information relating to business entities. Credit not allowed for both ECON 4 and MGT 4.",,,,,,,,,,
ECON 5,Data Analytics for the Social Sciences,4,"(Cross-listed with POLI 5D.) Introduction to probability and analysis for understanding data in the social world. Students engage in hands-on learning with applied social science problems. Basics of probability, visual display of data, data collection and management, hypothesis testing, and computation. Students may receive credit for only one of the following courses: ECON 5, POLI 5, or POLI 5D.",,,,,,,,,,
ECON 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. May be repeated when course topics vary. (P/NP grades only.)",,,,,,,,,,
ECON 100A,Microeconomics A,4,"Economic analysis of household determination of the demand for goods and services, consumption/saving decisions, and the supply of labor. ",ECON 1,MATH 10C or 20C or 31BH,,,,,,,,
ECON 100B,Microeconomics B,4,"Analysis of firms’ production and costs, the supply of output and demand factors of production. Analysis of perfectly competitive markets. ",ECON 100A,,,,,,,,,
ECON 100C,Microeconomics C,4,"Analysis of the effects of imperfect market structure, strategy, and imperfect information. ",ECON 100B,,,,,,,,,
ECON 100AH,Honors Microeconomics A,1,Honors sequence expanding on the material taught in ECON 100A. Major GPA of 3.5 or better required. May be taken concurrently with ECON 100A or after successful completion of ECON 100A with A– or better or consent of instructor. Priority enrollment given to majors in the department. ,,,,,,,,,,Department approval required.
