course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
GLBH 20,Introduction to Global Health,4,"Provides a foundational interdisciplinary understanding of complex global health issues and introduces major concepts and principles in global health. The course surveys the range of problems contributing to the global burden of disease and disability including infectious disease, mental illness, refugee and immigrant health, natural disasters, climate change, and food insecurity.",,,,,,,,,,
GLBH 100,Special Topics in Global Health,4,Selected topics in global health. Content will vary from quarter to quarter. May be taken for credit up to four times.,,,,,,,,,,
GLBH 101,Aging: Culture and Health in Late Life Human Development,4,"(Cross-listed with ANSC 101.) Examines aging as a process of human development from local and global perspectives. Focuses on the interrelationships of social, cultural, psychological, and health factors that shape the experience and well-being of aging populations. Students explore the challenges and wisdom of aging. Students may not receive credit for GLBH 101 and ANSC 101.",,,,,,,,,,
GLBH 102,Global Health Epidemiology,4,"This course will address basic epidemiology principles, concepts, and procedures that are used in investigation of health-related states or events from a global perspective. Explores study designs and methods appropriate for studies of incidence and prevalence, causality and prevention, with emphasis on research in resource-poor settings. ",COGS 14B or MATH 11 or PSYC 60,GLBH 20 or FMPH 40,GLBH 181,,,,,,,
GLBH 103,Global Health Disparities and the Quest for Global Health Equity,4,"This course examines health and health care for racial and ethnic minorities in the United States. Students will explore explanations for why racial and ethnic minorities have poorer health outcomes and receive lower quality health care than other societal groups. Students will examine discrimination in health care settings, psychosocial stress and mental and physical health, and how the health care system generates disparate outcomes through interpersonal and institutional processes.",,,,,,,,,,
GLBH 104,"Humanities, Ethics, and Professionalism: Engaging Moral Imaginaries for Exploring Health and the Human Condition",4,"Questions of morality are implicit in all aspects of health. Drawing insights from the medical humanities, this course engages students in thinking about the human condition (what it means to be human or dehumanized) from multiple perspectives: individual, social, civic. How do humans ascribe meaning to their lives? What does it take to flourish? What is empathy; for whom do we have it? What is ethical and just about the organization of society and its impact on health?",,,,,,,,,,
GLBH 105,Global Health and Inequality,4,"(Cross-listed with ANSC 105.) Why is there variation of health outcomes across the world? We will discuss health and illness in context of culture and address concerns in cross-national health variations by comparing health care systems in developed, underdeveloped, and developing countries. In addition, we’ll study the role of socioeconomic and political change in determining health outcomes, and examine social health determinants in contemporary global health problems—multidrug resistance to antibiotics, gender violence, human trafficking, etc. Students may receive credit for one of the following: GLBH 105, ANSC 105, ANSC 105S, or ANSC 105GS.",,,,,,,,,,
GLBH 106,"Water, Sanitation, and Hygiene in Global Health",4,"This course provides an overview of water, sanitation, and hygiene (WaSH) in global health. We discuss the global burden of disease from inadequate access to WaSH services, survey the state of WaSH across the globe, learn about a range of WaSH technologies, examine the social, economic, and policy considerations important in WaSH planning and sustainability, and learn how to conduct a water safety test. Case studies from the Americas, South Asia, and sub-Saharan Africa will be discussed. It is recommended that students take GLBH 20, Introduction to Global Health, prior to enrolling in this course.",,,,,,,,,,
GLBH 107,Refugee Health in Local and Global Contexts,4,"This course provides an overview of the health worlds of forcibly displaced populations, focusing on the intersections of violence, migration, and globalization. Topics include infectious disease, mental health, health policy, and access to care. Specific case studies explored include Latin American migrant experiences in the U.S., Haitian migrant experiences in the Dominican Republic, African migrant experiences in France, and Afghan migrant experiences in Greece.",,,,,,,,,,
GLBH 108,Hispanic and Latinx Issues in Global Health,4,"This course aims to provide an educational setting for Latinx/Hispanic students to discuss critical perspectives in global health. The purpose is to think critically and creatively about global health development from an interdisciplinary approach. Themes to explore include research methodologies from decolonial perspectives, the role of morals and values in policy development, and the challenges of tackling global health problems in neoliberal societies.",,,,,,,,,,
GLBH 108S,The Indigenous Futures Lab,IFL,"Currently 90 percent of genome studies and 95 percent of clinical trials exclusively feature individuals of European ancestry. This bias and systematic lack of engagement of Indigenous people in both clinical trials and genome studies is partially the result of a history of distrust. Through our field school, we will train the next generation of global health professionals to imagine, promote, and sustain a future where Indigenous people are partners in and not subjects of genetic research. Program or materials fees may apply.",,,,,,,,,,
GLBH 109,Decolonizing Global Health,4,"This course aims to provide epistemological, theoretical, and methodological perspectives to approach global health from a decolonial stance. We will analyze the colonial legacies in global health to discuss the challenges of pursuing a change in the field. Themes to explore include the westernization of knowledge in health, decolonizing global health education, colonialism as a social determinant of health, decolonial research methodologies, and dismantling colonialism in health care systems.",,,,,,,,,,
GLBH 110,Demography and Social Networks in Global Health,4,"This course will provide an overview of demographic principles, and their associations with maternal and child health outcomes. We will focus on demographic trends in developing countries, using research from the DHS to discuss inequalities in fertility, mortality, and morbidity. The remainder of the class will question why we see such spatial variation in many maternal and child health outcomes, with a focus on theories of social norms, and social network methods for uncovering those trends.",,,,,,,,,,
GLBH 111,Clinic on the Border: Health Frontiers in Tijuana,4,"Introduces students to the physical and mental health needs of vulnerable migrants and socially marginalized communities, including substance users, LGBTQ, deportees, and the homeless and medically indigent. Students will become integrated into a free clinic in Tijuana where they will obtain community-based field experiences in interacting with these populations; learn about delivering evidence-based health care in underserved settings and be introduced to issues regarding cultural appropriation. Program or materials fees may apply. May be taken for credit up to three times. Students are required to cross the US-Mexico border to attend clinic in Tijuana as part of the requirements for the course. Recommended preparation: upper-division global health course work prior to participation is recommended.",,,,,,,,,,
GLBH 112,"Medicine, Global Health, and Bioethics",4,"This course explores the global medical commons via current topics in medical anthropology and sociology, including learning medicine, the work of doctoring, the culture of biomedicine and the clinic, the political economy of health care, the ethics of care at the end of life, and medical rationing. We will examine how medical knowledge, ethical practice, research, and technology are culturally shaped and institutionally organized in different societies.",,,,,,,,,,
GLBH 113,Women’s Health in Global Perspective,4,"The course examines women’s and girls’ health throughout the world, focusing on the main health problems experienced primarily in low resource settings. This course presents issues in the context of a woman’s life from childhood, through adolescence, reproductive years, and aging. The course will have a strong emphasis on social, economic, environmental, behavioral, and political factors that affect health behaviors, reproductive health, maternal morbidity/mortality, and STIs/HIV.",,,,,,,,,,
GLBH 114,Latin American Health and Healing,4,"This course aims to analyze the health and healing processes in Latin America. Students will understand the social, cultural, political, and economic aspects traversing those processes. We will analyze biomedical health care systems and intercultural health practices at structural, community, and individual levels based on specific cases. Finally, alternative health care services and self-care practices will be discussed to understand health and healing experiences in specific contexts.",,,,,,,,,,
GLBH 114W,Communication and Social Institutions: Global Health Communication,4,"Public health campaigns attempt to change behavior, slow the spread of disease, and improve the health of a population. This course takes a critical social science perspective on the production, dissemination, and impacts (intended and otherwise) of public health communication, including questions of coercion, autonomy, and perceptions of collective health and well-being.",,,,,,,,,,
GLBH 115,Social Justice and Health Equity: The Intellectual Legacy of Paul Farmer,4,"This course examines the legacy of Dr. Paul Farmer. Dr. Farmer used a strong moral focus on equity and social justice and an anthropologically informed analysis of health to deliver life-saving HIV medications around the world and strengthen national health systems. Through a mix of readings and case study reviews, this course will help students understand how theory, social science research, and medicine can be combined to directly help improve the health of the most vulnerable among us.",,,,,,,,,,
GLBH 116,Infectious Disease,4,"This course will analyze outbreaks of infectious diseases to understand how the interests of one country are inevitably linked to the health of people in all other countries around the world, with an emphasis on understanding the critical intersection of policy, social expectations in determining how health systems function and adapt to address new challenges, and examining why some health systems are so fragile in the face of new disease challenges such as the COVID-19 pandemic.",,,,,,,,,,
GLBH 117,Global Health and Non-Communicable Diseases,4,"Non-communicable diseases (NCDs) such as cardiovascular diseases, diabetes, obesity, cancer, lung diseases, and depression are a growing problem in low- and middle-income countries. NCDs present great challenges to global health, even considering the impact of the COVID-19 pandemic. The course explores the consequences of multimorbidity, aging and low access to health care on NCDs and social inequalities, and how to guide prevention efforts for NCD risk factors.",,,,,,,,,,
