course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
HILD 2A-B-C,United States,4-4-4,"A yearlong lower-division course that will provide students with a background in United States history from colonial times to the present, concentrating on social, economic, and political developments. (Satisfies Muir College humanities requirement and American History and Institutions requirement.)",,,,,,,,,,
HILD 7A-B-C,Race and Ethnicity in the United States,4-4-4,"Lectures and discussions surveying the topics of race, slavery, demographic patterns, ethnic variety, rural and urban life in the United States, with special focus on European, Asian, and Mexican immigration.",,,,,,,,,,
HILD 7A,Race and Ethnicity in the United States,4,"A lecture-discussion course on the comparative ethnic history of the United States. Of central concern will be the African American, slavery, race, oppression, mass migrations, ethnicity, city life in industrial America, and power and protest in modern America.",,,,,,,,,,
HILD 7B,Race and Ethnicity in the United States,4,"A lecture-discussion course on the comparative ethnic history of the United States. Of central concern will be the Asian American and white ethnic groups, race, oppression, mass migrations, ethnicity, city life in industrial America, and power and protest in modern America.",,,,,,,,,,
HILD 7C,Race and Ethnicity in the United States,4,"A lecture-discussion course on the comparative ethnic history of the United States. Of central concern will be the Mexican American, race, oppression, mass migrations, ethnicity, city life in industrial America, and power and protest in modern America.",,,,,,,,,,
HILD 7GS,Race and Ethnicity in the Global World,4,"Lectures and discussions surveying the topics of race, slavery, demographic patterns, ethnic variety, and rural and urban life in the United States, with special focus on European, Asian, and Mexican immigration. Program or materials fees may apply. May be taken for credit up to three times. Students must apply and be accepted into the Global Seminars Program.",,,,,,,,,,
HILD 8GS,Race and Ethnicity in the United States,4,"A lecture-discussion course on the comparative ethnic history of the United States. Of central concern will be the Mexican American, race, oppression, mass migrations, ethnicity, city life in industrial America, and power and protest in modern America. Students may not receive credit for HILD 8GS and HILD 7C. Program or materials fees may apply. Students must apply and be accepted into the Global Seminars Program.",,,,,,,,,,
HILD 10,East Asia: The Great Tradition,4,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course explores the evolution of civilization from the first writing through classical Hei’an Japan, aristocratic Koryo, and late imperial Song China. Primary and secondary readings on basic ideas, institutions, and practices of the Confucian, Daoist, and Buddhist paths and of the state and family.",,,,,,,,,,
HILD 11,"East Asia and the West, 1279–1911",4,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. From the Mongol conquests through China’s and Korea’s last dynasties, and the rise of Meiji Japan, this course examines political, institutional, and cultural ruptures and continuities as East Asia responded to the challenges of Western imperialism with defense, reform, conservative reaction, and creative imitation.",,,,,,,,,,
HILD 12,Twentieth-Century East Asia,4,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course examines the emergence of a regionally dominant Japan before and after World War II; the process of revolution and state-building in China during the nationalist and communist eras; and Korea’s encounter with colonialism, nationalism, war, revolution, and industrialization.",,,,,,,,,,
