course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
HUM 1,The Foundations of Western Civilization: Israel and Greece,6,"Texts from the Hebrew Bible and from Greek epic, history, drama, and philosophy in their cultural context. Revelle students must take course for letter grade. ",,,,,,,,,,Satisfaction of the UC Entry Level Writing requirement.
HUM 2,"Rome, Christianity, and the Middle Ages",6,"The Roman Empire, the Christian transformation of the classical world in late antiquity, and the rise of a European culture during the Middle Ages. Representative texts from Latin authors, early Christian literature, the Germanic tradition, and the high Middle Ages. Revelle students must take course for letter grade. ",,,,,,,,,,Satisfaction of the UC Entry Level Writing requirement.
HUM 3,"Renaissance, Reformation, and Early Modern Europe",4,The revival of classical culture and values and the reaction against medieval ideas concerning the place of human beings in the world. The Protestant Reformation and its intellectual and political consequences. The philosophical background to the scientific revolution. Revelle students must take the course for a letter grade. Students may not receive credit for HUM 3 and HUM 3GS. ,,,,,,,,,,Completion of HUM 1 or HUM 2.
HUM 3GS,"Renaissance, Reformation, and Early Modern Europe",4,The revival of classical culture and values and the reaction against medieval ideas concerning the place of human beings in the world. The Protestant Reformation and its intellectual and political consequences. The philosophical background to the scientific revolution. Revelle students must take the course for a letter grade. Students may not receive credit for HUM 3 and 3GS. ,,,,,,,,,,Acceptance into Global Seminar Program.
HUM 4,"Enlightenment, Romanticism, Revolution",4,"The Enlightenment’s revisions of traditional thought; the rise of classical liberalism; the era of the first modern political revolutions; Romantic ideas of nature and human life. Revelle students must take course for letter grade. Students may receive credit for one of the following: HUM 4, HUM 4R, or HUM 4GS. ",,,,,,,,,,Satisfaction of the UC Entry Level Writing requirement.
HUM 4R,"Enlightenment, Romanticism, Revolution",4,"The Enlightenment’s revisions of traditional thought; the rise of classical liberalism; the era of the first modern political revolutions; Romantic ideas of nature and human life. This course is a distance education course. Revelle students must take course for letter grade. Students may receive credit for one of the following: HUM 4, HUM 4R, or HUM 4GS.",,,,,,,,,,
HUM 4GS,"Enlightenment, Romanticism, Revolution",4,"This five-week global seminar in Edinburgh will examine the core philosophical, scientific, political, and cultural ideas that formed the basis of the Enlightenment, the romantic movement, and revolutions in Europe and America from the late seventeenth century through the first half of the nineteenth century. Revelle students must take course for letter grade. Students may receive credit for one of the following: HUM 4, HUM 4R, or HUM 4GS. ",,,,,,,,,,Acceptance into Global Seminar Program.
HUM 5,Modern Culture,1848–present,"Challenges to liberalism posed by such movements as socialism, imperialism, and nationalism; the growth of new forms of self-expression and new conceptions of individual psychology. Revelle students must take course for letter grade. ",,,,,,,,,,Satisfaction of the UC Entry Level Writing requirement.
HUM 100,Advanced Topics in the Humanities,4,An upper-division course designed to strengthen students’ critical reading and analytical writing skills through engagement with core texts in the humanities on a selected theme.,,,,,,,,,,
HUM 119,Special Topics in Humanities,4,"An in-depth study of topics in the humanities. Subject matter varies, focusing on one author, intellectual topic, or specific historical tradition. May be repeated up to three times for credit when topics vary.",,,,,,,,,,
HUM 195,Methods of Teaching Humanities,4,An introduction to teaching humanities. Students are required to attend weekly discussions on methods of teaching humanities and will teach discussion sections of one of the humanities courses. Attendance at lecture of the course in which the student is participating is required. (P/NP grades only.) ,,,,,,,,,,Consent of instructor.
HUM 199,Special Studies,2–4,Individually guided readings or projects in area of humanities not normally covered in standard curriculum. ,,,,,,,,,,Upper-division standing or consent of instructor.
HUM 200,Seminar in the Humanities,4,"Selected topics in the history, literature, and thought of Mediterranean antiquity and its successor-cultures. Emphasis on identifying both common themes and cultural distinctiveness. Discussion of pedagogical approaches to this material. Required of all graduate instructional assistants in the humanities sequence. ",,,,,,,,,,Graduate standing.
