course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
JAPN 180,Special Topics in Japanese Studi,Special Topics in Japanese Studie,,,,,,,,,,,
JAPN 190,Japanese Studies Research Semin,Japanese Studies Research Semina,Students who have prior preparation of Japanese language are placed in language courses based on the results of a placement test and an oral interview with an instructor. Students who have lived in Japan and/or speak Japanese at home are required to take a placement exam administered prior to the beginning of the fall quarter. Contact the Japanese Studies office for more information.,,,,,,,,,,
JAPN 10A,First-Year Japanese,5,"This course is an introduction to the Japanese language. Students will learn basic skills of listening, speaking, reading, and writing over seventy-five characters. Students will also acquire fundamental knowledge of Japanese grammar and learn about Japanese people and culture.",,,,,,,,,,
JAPN 10B,First-Year Japanese,5,"This course is an introduction to the Japanese language. Students will learn basic skills of listening, speaking, reading, and writing over seventy-two additional characters. Students will also acquire fundamental knowledge of Japanese grammar and learn about Japanese people and culture. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 10C,First-Year Japanese,5,"This course is an introduction to the Japanese language. Students will learn basic skills of listening, speaking, reading, and writing over forty-eight additional characters. Students will also acquire fundamental knowledge of Japanese grammar and learn about Japanese people and culture. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 20A,Second-Year Japanese,5,"Students will improve their fundamental skills in listening, speaking, reading, and writing including acquiring knowledge of Japanese transportation, trips, and geography. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 20B,Second-Year Japanese,5,"Students will improve their fundamental skills in listening, speaking, reading, and writing including acquiring knowledge of life experiences, Japanese culture, customs, health, and school. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 20C,Second-Year Japanese,5,"Students will improve their fundamental skills in listening, speaking, reading, and writing including acquiring knowledge of Japanese culture and customs. Students will conduct research including writing a short essay and presentation. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 130A,Third-Year Japanese,4,"This course will require students to gain knowledge, comprehend, evaluate, and discuss Japanese customs. Students will critically analyze and compare culture and customs of Japan and other countries. Course work includes student research on issues in Japanese society. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 130B,Third-Year Japanese,4,"This course will require students to gain knowledge, comprehend, evaluate, and discuss topics of education system and youth issues in Japan and other countries. Students will learn vocabulary and phrases to support, explain, research, and hypothesize concrete and abstract topics. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 130C,Third-Year Japanese,4,"This course will require students to gain knowledge, comprehend, evaluate, and discuss the environment and internationalization issues. Students will learn vocabulary and phrases to critically analyze and compare, express their opinions, and present and propose possible solutions for these topics. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 135A,Japanese for Professional Purposes,4,Training in oral and written communication skills for professional settings in Japanese. Broad aspects of cultural issues in Japanese organizations are introduced and comparison of American and Japanese cultural business patterns will be conducted. ,"JAPN 20C, or consent of instructor",,,,,,,,,
JAPN 135B,Japanese for Professional Purposes,4,Continuation of training in oral and written communication skills for professional settings in Japanese. Broad aspects of cultural issues in Japanese organizations are introduced and comparison of American and Japanese cultural business patterns will be conducted. ,"JAPN 135A, or consent of instructor",,,,,,,,,
JAPN 135C,Japanese for Professional Purposes,4,Continuation of training in oral and written communication skills for professional settings in Japanese. Broad aspects of cultural issues in Japanese organizations are introduced and comparison of American and Japanese cultural business patterns will be conducted. ,JAPN 135B,,,,,,,,,
JAPN 140A,Fourth-Year Japanese,4,"This course will enable students to acquire advanced skills in speaking, listening, reading, and writing in the topics of Japanese youth culture and their way of thinking. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 140B,Fourth-Year Japanese,4,"This course will enable students to acquire advanced skills in speaking, listening, reading, and writing in the topics of career building and obtaining a job in Japan. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 140C,Fourth-Year Japanese,4,"This course will enable students to acquire advanced skills in speaking, listening, reading, and writing in the topics of globalization in language, food, and culture in Japan, the U.S., and other countries. ",,,,,,,,,,Previous course or consent of instructor.
JAPN 150A-B-C,Advanced Japanese,4-4-4,"This course is for advanced-level Japanese language learners. Students will train to further develop their academic language skills through various discussion topics such as social, cultural, and political issues. ",,,,,,,,,,Previous course or consent of instructor.
