course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
MAE 02,Introduction to Aerospace Engineering,4,"An introduction to topics in aeronautical and astronautical engineering including aerodynamics, propulsion, flight mechanics, structures, materials, orbital mechanics, design, mission planning, and environments. General topics include historical background, career opportunities, engineering ethics, and professionalism. ",,,,,,,,,,
MAE 03,Introduction to Mechanical Design,4,"Introduction to design process through hands-on individual and team projects. Topics include 2D/3D CAD (drawing projections/isometrics, dimensioning), design problem identification, prototype fabrication techniques (shop skills, rapid prototyping), design process (concept generation/selection, risk reduction strategies, scheduling), learning from hardware performance (problem solving/redesign), teamwork. Use of components: fasteners, couplings, DC motors, oral/written communication with graphics. Program or materials fees may apply. ",PHYS 2A or 4A,,,,,,,,,"Enrollment restricted to BE 25, MC 25, MC 27, MC 29, and MC 30–37 majors only."
MAE 05,Quantitative Computer Skills,4,"Introductory course for nonengineering majors. Use of computers in solving problems; applications from life sciences, physical sciences, and engineering. Students run existing computer programs and complete some programming in BASIC. ",,,,,,,,,,
MAE 07,Spatial Visualization,1,"(Cross-listed with SE 7.) Spatial visualization is the ability to manipulate 2-D and 3-D shapes in one’s mind. In this course, students will perform exercises that increase their spatial visualization skills. P/NP grades only. Students may not receive credit for SE 7 and MAE 7. ",,,,,,,,,,
MAE 08,MATLAB Programming for Engineering Analysis,4,"Computer programming in MATLAB with elementary numerical analysis of engineering problems. Arithmetic and logical operations, arrays, graphical presentation of computations, symbolic mathematics, solutions of equations, and introduction to data structures. ",MATH 20A,20B or consent of instructor,,,,,,,,
MAE 11,Thermodynamics,4,"Fundamentals of engineering thermodynamics: energy, work, heat, properties of pure substances, first and second laws for closed systems and control volumes, gas mixtures. Application to engineering systems, power and refrigeration cycles, combustion. Renumbered from MAE 110A. Students may not receive credit for MAE 11 and MAE 110A. ",PHYS 2C,CHEM 6A,,,,,,,,Enrollment restricted to engineering majors only.
MAE 20,Elements of Materials Science,4,"The structure of materials: metals, ceramics, glasses, semiconductors, superconductors, and polymers to produce desired, useful properties. Atomic structures. Defects in materials, phase diagrams, microstructural control. Mechanical and electrical properties are discussed. Time temperature transformation diagrams. Diffusion. ","PHYS 2A or 4A, CHEM 6A or CHEM 6AH,",MATH 20C,,,,,,,,
MAE 21,Aerospace Materials Science,4,"Atomic structure and physical properties of engineering materials including metals, ceramics, glasses, polymers, and composite materials. Defects and phase diagram of materials. Material testing and processing. Program or materials fees may apply. ","PHYS 2A or 4A, CHEM 6A or CHEM 6AH,",MATH 20B,,,,,,,,Enrollment restricted to MC 25 majors only.
MAE 30A,Statics and Introduction to Dynamics,4,"Statics: statics of particles and rigid bodies in 3-D. Free body diagrams. Moment of a force, couples, equivalent systems of forces. Distributed forces, centroids, and centers of gravity. Introduction to dynamics: 3-D relative motion, kinematics, and kinetics of particles. Newton’s equations of motion. Equilibrium problems with friction. Enrollment restricted to engineering majors MC 25, MC 27, MC 29, MC 30–34, and SE 27. ",PHYS 2A,MATH 31BH or MATH 20C,,,,,,,,
MAE 30B,Dynamics and Vibrations,4,"Dynamics: energy methods for motion of particles and rigid bodies, including virtual work, power, and Lagrange’s equations. Impact and impulses. Systems of particles. Introduction to 3-D dynamics of rigid bodies. Introduction to vibrations: free and harmonically forced vibrations of undamped and damped single degree of freedom systems. Enrollment restricted to engineering majors only MC 25, MC 27, MC 29, MC 30–34, and SE 27. ",MAE 30A,,,,,,,,,
MAE 40,Linear Circuits,4,"Steady-state and dynamic behavior of linear, lumped-parameter electrical circuits. Kirchhoff’s laws. RLC circuits. Node and mesh analysis. Operational amplifiers. Signal acquisition and conditioning. Electric motors. Design applications in engineering. ",MATH 20D,"MATH 31AH or MATH 18 or MATH 20F,",PHYS 2B,,,,,,,
MAE 87,First-year Student Seminar,1,"The First-year Student Seminar program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. ",,,,,,,,,,
