course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
NANO 4,Experience NanoEngineering,1,"Introduction to NanoEngineering lab-based skills. Hands-on training and experimentation with nanofabrication techniques, integration, and analytical tools. This class is for NANO majors who are incoming first-year students, to be taken their first year. P/NP grades only. ",,,,,,,,,,Department approval required.
NANO 11,Introduction to NanoEngineering,4,"Introduction to NanoEngineering, including fundamental scaling laws, and an overview of nanomaterials synthesis, properties, and relevant technological applications with focus in the area of nanomedicine, energy, and advanced materials. ",NANO 4,,,,,,,,,
NANO 15,Engineering Computation Using MATLAB,4,"Introduction to the solution of engineering problems using computational methods. Formulating problem statements, selecting algorithms, writing computer programs, and analyzing output using MATLAB. Computational problems from NanoEngineering, chemical engineering, and materials science are introduced. The course requires no prior programming skills. Cross-listed with CENG 15. Students may only receive credit for one of the following: NANO 15, NANO 15R, CENG 15, or CENG 15R.",,,,,,,,,,
NANO 15R,Engineering Computation Using MATLAB Online,4,"Introduction to solution of engineering problems using computational methods. Formulating problem statements, selecting algorithms, writing computer programs, and analyzing output using MATLAB. Computational problems from NanoEngineering, chemical engineering, and materials science are introduced. This is a fully online, self-paced course that utilizes multi-platform instructional techniques (video, text, and instructional coding environments). The course requires no prior programming skills. Cross-listed with CENG 15R. Students may only receive credit for one of the following: NANO 15, NANO 15R, CENG 15, or CENG 15R.",,,,,,,,,,
NANO 20L,Introduction to Nanomaterials Synthesis Lab,1,Lab-based course to introduce the chemical synthesis of nanomaterials. Hands-on training in chemical synthesis and basic characterization tools. Program or materials fees may apply. ,NANO 4,,,,,,,,,
NANO 100L,Physical Properties of Materials Lab,4,"Experimental investigation of physical properties of materials such as: thermal expansion coefficient, thermal conductivity, glass transitions in polymers, resonant vibrational response, longitudinal and shear acoustic wave speeds, Curie temperatures, UV-VIS absorption and reflection. ",NANO 108,,,,,,,,,
NANO 101,Introduction to NanoEngineering,4,"Introduction to NanoEngineering; nanoscale fabrication: nanolithography and self-assembly; characterization tools; nanomaterials and nanostructures: nanotubes, nanowires, nanoparticles, and nanocomposites; nanoscale and molecular electronics; nanotechnology in magnetic systems; nanotechnology in integrative systems; nanoscale optoelectronics; nanobiotechnology: biomimetic systems, nanomotors, nanofluidics, and nanomedicine. Priority enrollment given to NanoEngineering majors. ","NANO 4, CHEM 6B, PHYS 2B, MATH 20C,",CENG 15 or CENG 15R or NANO 15 or NANO 15R or MAE 8,,,,,,,,Restricted to major code NA25.
NANO 102,Foundations in NanoEngineering: Chemical Principles,4,"Chemical and biochemical principles tailored to nanotechnologies. Chemical interactions, classical and statistical thermodynamics of small systems, diffusion, carbon-based nanomaterials, supramolecular chemistry, colloid and polymer chemistry, lipid vesicles, surface functionalization, catalysis, biomolecular interactions, and signal pathways. Priority enrollment given to NanoEngineering majors. ",CHEM 6C,,,,,,,,,Restricted to NanoEngineering majors or by department approval.
NANO 103,Foundations in NanoEngineering: Biochemical Principles,4,Principles of biochemistry tailored to nanotechnologies. The structure and function of biomolecules and their specific roles in molecular interactions and signal pathways. Detection methods at the micro and nano scales. ,"BILD 1, CHEM 6C, NANO 101,",NANO 102. Department approval required,,,,,,,,Priority given to NA25 majors.
NANO 104,Foundations in NanoEngineering: Physical Principles,4,"Introduction to quantum mechanics and nanoelectronics. Wave mechanics, the Schrödinger equation, free and confined electrons, band theory of solids. Nanosolids in 0D, 1D, and 2D. Application to nanoelectronic devices. Priority enrollment given to NanoEngineering majors. ",MATH 20D,NANO 101,,,,,,,,Department approval required.
NANO 106,Crystallography of Materials,4,"Fundamentals of crystallography, and practice of methods to study material structure and symmetry. Curie symmetries. Tensors as mathematical description of material properties and symmetry restrictions. Introduction to diffraction methods, including X-ray, neutron, and electron diffraction. Close-packed and other common structures of real-world materials. Derivative and superlattice structures. ",MATH 20F or MATH 18,,,,,,,,,
NANO 107,Electronic Devices and Circuits for NanoEngineers,4,"Overview of electrical devices and CMOS integrated circuits emphasizing fabrication processes, and scaling behavior. Design, and simulation of submicron CMOS circuits including amplifiers active filters digital logic, and memory circuits. Limitations of current technologies and possible impact of nanoelectronic technologies. ","NANO 15, NANO 101, MATH 20B or MATH 20D,",PHYS 2B,,,,,,,,
NANO 108,Materials Science and Engineering,4,"Structure and control of materials: metals, ceramics, glasses, semiconductors, polymers to produce useful properties. Atomic structures. Defects in materials, phase diagrams, micro structural control. Mechanical, rheological, electrical, optical and magnetic properties discussed. Time temperature transformation diagrams. Diffusion. Scale dependent material properties. ",,,,,,,,,,Upper-division standing.
NANO 110,Molecular Modeling of Nanoscale Systems,4,"Principles and applications of molecular modeling and simulations toward NanoEngineering. Topics covered include molecular mechanics, energy minimization, statistical mechanics, molecular dynamics simulations, and Monte Carlo simulations. Students will get hands-on training in running simulations and analyzing simulation results. ","MATH 20F or MATH 18, NANO 102, NANO 104,",NANO 15 or CENG 15 or MAE 8,,,,,,,,Restricted to NanoEngineering majors or by department approval.
