course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
NEU 199,Independent Research,2 or 4,"Laboratory research under the supervision of individual members of the faculty of the neurosciences department in one or a combination of neurosciences disciplines, e.g., neuroanatomy, neurophysiology, neurochemistry, neuropharmacology. (P/NP grades only.) (F,W,S)",,,,,,,,,,
NEU 200A-B-C,Basic Neuroscience,4-4-4,"These courses are designed for graduate students in the neurosciences and other departments that are part of the interdisciplinary program (i.e., biology, cognitive science, psychology). These courses have been designed to cover as much basic neuroscience as possible in three quarters of study. It will combine two three-hour meetings each week with a 1.5 hour lecture and a 1.5 hour discussion of papers. These will be required courses for all first-year neurosciences graduate students. Biology will cross-list courses under biology headings, making it a requirement of first-year biology graduate students. ",,,,,,,,,,"Graduate student or consent of instructor. (F,W,S)"
NEU 210,Neurobiology Boot Camp,4,"For incoming doctoral students in neurobiology, computational neurosciences, and neurosciences. During the first two weeks in September, students commit to ten to fifteen hours per day in lectures and laboratories in electrophysiology, cellular anatomy, molecular biology, optical imaging, and computational neurobiology. Students also attend weekly seminars during fall quarter. ",,,,,,,,,,"Graduate standing only. For students in the following major codes: BI77, BI79, NE75, NE78."
NEU 241,Ethics and Survival Skills in Academia,3,"This course will cover “ethical” issues in academia, including dishonesty, plagiarism, attribution, sexual misconduct, etc. We will also discuss “survival” issues, including job hunting, grant preparation, journal reviews, writing letters of recommendation, mentoring, etc. (W)",,,,,,,,,,
NEU 243,Physiological Basis of Human Information,2,"Psychological processes including attention, perception, and memory will be studied in connection with event-related potentials of the human brain. The interrelations among psychological and physiological events will be explored in order to arrive at unified concepts of human information processing. ","NEU 238 or PSYC 231,",consent of instructor,,,,,,,,(S/U grades only.) (F)
NEU 266,Development of Neural Circuits,4,"Course focuses on developmental processes during formation of neural circuits. Molecular, genetic, cellular mechanisms controlling neurogenesis, neuronal differentiation, positioning (migration), axon/dendrite patterning, and synapse formation will be discussed. Role of neural activity shaping circuit formation will be explored. ",,,,,,,,,,"Graduate standing only. For students in the following major codes: NE75, NE78, BI77, BI79, or consent of instructor."
NEU 268,Molecular and Cellular Neurobiology,4,"Molecular and cellular approaches to the study of the nervous system are advancing neurobiology at an increasingly rapid pace. This graduate-level course will address the latest molecular advances in the areas of: 1) synapse formation, neurotransmitter release, and neurotransmitter receptors; 2) nerve growth factors, their receptors, and neuronal apoptosis; 3) transcriptional regulation in the brain and peripheral nervous system; 4) cell culture, transgenic, and knock-out mouse model systems; 5) the molecular bases of genetic, psychiatric, and degenerative diseases of the nervous system; and 6) the current molecular knowledge of vision, sensory transduction, circadian rhythms, learning, memory, and behavior.",,,,,,,,,,
NEU 270A,Neurobiology of Disease: Mechanisms of Neurodegeneration,4,"This course will blend research and clinical perspectives to allow comprehensive learning of CNS diseases. For each two-week disease block, students will read, present, and discuss current research publications which will be paired with a lecture by a research scientist who will describe the major features of each disorder, hypothesis being explored, and the state of therapeutics. The following session will involve a physician presenting an adult patient with the condition, and students will have the opportunity to ask questions of both the physician and the patient. Priority enrollment given to PhD and MD students. MS and undergraduate enrollment permission to be granted by the instructor.",,,,,,,,,,
NEU 270B,Neurobiology of Disease: Neurodevelopmental Disorders,4,"This course will blend research and clinical perspectives to allow comprehensive learning of CNS neurodevelopmental disorders. For each two-week block, students will read, present, and discuss current research publications which will be paired with a lecture by a research scientist who will describe the major features of each disorder, hypothesis being explored, and the state of therapeutics. The following session will involve a physician presenting an adult patient with the condition, and students will have the opportunity to ask questions of both the physician and the patient. Priority enrollment given to PhD and MD students. MS and undergraduate enrollment permission to be granted by the instructor.",,,,,,,,,,
NEU 276,Neuroscience Research Rounds,1,"Neurosciences group faculty members and graduate students will present and discuss ongoing research. Attendance will be mandatory for first- and second-year graduate students. Faculty, advanced graduate students, medical students, postdoctoral trainees, and other interested parties are encouraged to attend. (F,W,S)",,,,,,,,,,
NEU 277,Neuropsychopharmacology,4,"An examination of the molecular and biochemical bases of drug and transmitter action. The course is devoted to receptor mechanisms, neuropharmacology, and drug action on excitable tissues. ",,,,,,,,,,Graduate standing. (S)
NEU 285,Clinical Trails: Issues and Dilemmas in Clinical Trials,2,"This course provides a methodological perspective on clinical trials. Topics will include ethics, design of Phase I–IV trials, randomization/blinding, bias, and sample-size power. Lectures will also cover “application” with eminent UC San Diego trialists describing conduct, design, and statistical issues of specific studies. ",,,,,,,,,,Medical or graduate student standing.
NEU 298,Neurosciences Independent Study Project,ISP,,,,,,,,,,,"Approved ISP proposal. (F,W,S)"
NEU 401,Neurology General Clinical Selective Clerkship,7,Provides opportunities for practical application of neurological skills to the understanding and treatment of a variety of clinical disorders of the nervous system. ,,,,,,,,,,"Successful completion of first two years of medical school. (F,W,S)"
NEU 426,Subintern Pediatric Neurology,7,"Subinterns are responsible for the primary care of hospitalized pediatric neurology patients under direct resident and attending physician supervision. Students will perform procedures such as lumbar puncture and participate in night call, daily teaching round, neurology grand rounds, and journal clubs. ",,,,,,,,,,"Neurology 401 or consent of instructor. (F,W,S)"
NEU 427,Neurology Outpatient,7,"The student will rotate through the general and subspecialty (stroke, epilepsy, headache, nerve, and muscle) neurology clinics based at UC San Diego Medical Center, Perlman, VAMC, and Children’s Hospital. There are lectures and clinical conferences. ",,,,,,,,,,"Neurosciences 401 or equivalent. (F,W,S)"
NEU 496,Clinical Independent Study,1–21,"Independent clinical study for medical students (S/U grades only.) (F,W,S)",,,,,,,,,,
