course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
FMPH 40,Introduction to Public Health,4,This course provides an introduction to the infrastructure of public health; the analytical tools employed by public health practitioners; bio-psychosocial perspectives of public health problems; health promotion/disease prevention; quality assessment in public health; and legal and ethical concerns. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 40. Students may not receive credit for FPMU 40 and FMPH 40. ,,,,,,,,,,"Restricted enrollment to first-year, sophomore, and junior standing."
FMPH 50,Primary Care and Public Health,4,"This course explores historical and current interactions, achievements, and challenges of primary care and public health. It will analyze the impact of common medical conditions such as obesity, diabetes, mental health disorders, and others on individuals, their families, and society. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 50. Students may not receive credit for FPMU 50 and FMPH 50. ",,,,,,,,,,"Restricted enrollment to first-year, sophomore, junior, and senior standing."
FMPH 101,Epidemiology,4,"This course covers the basic principles of epidemiology, with applications to investigations of noninfectious (“chronic”) and infectious diseases. Explores various study designs appropriate for disease surveillance and studies of etiology and prevention. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 101. Students may not receive credit for FMPH 101 and either FPMU 101 or FPMU 101A. ","FMPH 40, PSYC 60 or MATH 11 or COGS 14B,",upper-division standing,,,,,,,,
FMPH 102,Biostatistics in Public Health,4,"Fundamentals of biostatistics and basic methods for analysis of continuous and binary outcomes for one, two, or several groups. Includes: summarizing and displaying data; probability; statistical distributions; central limit theorem, confidence intervals, hypothesis testing; comparing means of continuous variables between two groups; comparing proportions between two groups; simple and multiple linear regression. Hands-on data analysis using software and statistical applications in public health. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 102. Students may not receive credit for FMPH 102 and either FPMU 101B or FPMU 102. ","FMPH 40, PSYC 60 or MATH 11 or COGS 14B,",upper-division standing,,,,,,,,
FMPH 110,Health Behavior and Chronic Diseases,4,"This course introduces health behavior concepts through applications to chronic disease prevention. The focus is on smoking, dietary behaviors, and physical activity and is organized around relationships to health, measurement, influencing factors, interventions, and translation to public health practice. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 110. Students may not receive credit for FPMU 110 and FMPH 110. ",FMPH 40,,,,,,,,,"Restricted enrollment to sophomore, junior, and senior standing."
FMPH 120,Health Policies for Healthy Lifestyles,4,"This course covers the rationale for and effectiveness of policies to influence nutrition, physical activity, and substance use behavior. Policies include legalization, taxation, labeling, produce manufacturing, warning labels, licensing, marketing, and counter-marketing practices and restrictions on use. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 120. Students may not receive credit for FPMU 120 and FMPH 120. ",FMPH 40,upper-division standing,,,,,,,,
FMPH 130,Environmental and Occupational Health,4,"This core public health course addresses the fundamentals of environmental and occupational health, including identification of hazards, basic toxicology, risk assessment, prevention/protection, and regulatory/control policies. Specific environmental and occupational hazards and relevant case studies will be presented. Must be taken for a letter grade to be applied to the public health major. Renumbered from FPMU 130. Students may not receive credit for FPMU 130 and FMPH 130. ","FMPH 50, FMPH 101,",upper-division standing,,,,,,,,
FMPH 155,Qualitative Research for Global Public Health,4,"An overview of the role of qualitative research methods in public health. The course will focus on qualitative research as it relates to formative program design, community-based participatory approaches, and as a tool for amplifying voices and elucidating both complex social-ecological processes and internal individual experiences. Throughout the term, students will work in teams to design, conduct, analyze, and report a full qualitative study on a public health topic of their choosing. Must be taken for a letter grade to be applied to the public health major. Students may not receive credit for FMPH 155 and FMPH 191 subtitled “Qualitative Research for Global Public Health.” ",FMPH 40,,,,,,,,,"Restricted enrollment to sophomore, junior, and senior standing."
FMPH 161,Clinical Nutrition in Public Health,4,"Clinical nutrition is the study of nutrition and diet as related to the prevention and treatment of human disease. The practical and psychosocial aspects of diet modification and food/food product availability are key aspects of clinical nutrition practice, whether individual or community based, irrespective of whether the goal is primary prevention or disease treatment. Students will identify applications and translation of nutritional guidelines and recommendations into behavior in the course. Must be taken for a letter grade to be applied to the public health major. Students may not receive credit for FMPH 161 and FMPH 191 subtitled “Clinical Nutrition in Public Health.” ",FMPH 40,,,,,,,,,"Restricted enrollment to sophomore, junior, and senior standing."
FMPH 171,Field Epidemiology and Outbreak Investigations,4,"This course consists of a series of practical epidemiological infectious and non-infectious disease paper- and computer-based exercises. Students will have the opportunity to apply their epidemiological and biostatistical skills to real-world situations. The course is highly interactive and challenges students’ knowledge and critical thinking capacities. Students will give presentations, write a scientific abstract and press release, and develop a poster. Must be taken for a letter grade to be applied to the public health major. Students may not receive credit for FMPH 171 and FMPH 191 subtitled “Field Epidemiology and Outbreak Investigations.” ",FMPH 40,FMPH 101,,,,,,,,"Restricted enrollment to sophomore, junior, and senior standing."
