course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
MGT 3,Quantitative Methods in Business,4,"Introduction to techniques to develop/analyze data for informed tactical and strategic management decisions: statistical inference, probability, regression analysis, and optimization. Using these analytic approaches, theory-based formulas, and spreadsheets, students explore managerial applications across all areas of business activity.",,,,,,,,,,
MGT 4,Financial Accounting,4,"Cross-listed with ECON 4. Recording, organizing, and communicating financial information to business entities.",,,,,,,,,,
MGT 5,Managerial Accounting,4,"Internal accounting fundamentals, including cost behavior, cost application methods, overhead allocation methods, break-even analysis, budgeting, cost variance analysis, inventory management, and capital budgeting.",,,,,,,,,,
MGT 12,Personal Financial Management,4,"Course examines management of personal financial assets: savings and checking accounts, fixed assets, and credit cards. Budgeting, loan applications, payment terms, and statement reconciliation will be covered as will credit ratings, cash management, compound interest, bank operations, and contract obligations.",,,,,,,,,,
MGT 16,Personal Ethics at Work,4,"Course examines the ethical foundation for choices individuals make every day both in the workplace and in their private lives, the connection between economic and ethical obligations with examples related to privacy, reporting, whistle-blowing, workplace relationships, confidentiality, and intellectual property.",,,,,,,,,,
MGT 18,Managing Diverse Teams,4,"The modern workplace includes people different in culture, gender, age, language, religion, education, and more. Students will learn why diverse teams make better decisions and are often integral to the success of organizations. Topics include challenges of diversity, and the impact of emotional, social, and cultural intelligence on team success. Content will include significant attention to the experiences of Asian Americans and African Americans as members and leaders of such diverse teams. Students will not receive credit for both MGT 18 and MGT 18GS.",,,,,,,,,,
MGT 18GS,Managing Diverse Teams,4,"The modern workplace includes people different in culture, gender, age, language, religion, education, and more. Students will learn why diverse teams make better decisions and are often integral to the success of organizations. Topics include challenges of diversity, and the impact of emotional, social, and cultural intelligence on team success. Content will include significant attention to the experiences of Asian Americans and African Americans as members and leaders of such diverse teams. Students must submit applications to the International Center Programs Abroad Office and be accepted into the Global Seminar Program. Students will not receive credit for both MGT 18 and MGT 18GS. Program or materials fees may apply.",,,,,,,,,,
MGT 45,Principles of Accounting,4,"Covers the principles, methods and applications of general accounting, cost accounting and investment ROI. Development of the three key financial reports and their interrelations, cost identification, product costing, inventory control, operational performance, and investment return",,,,,,,,,,
MGT 52,Test and Measurement in the Workplace,4,"This course introduces students to the psychometric, legal, ethical, and practical considerations of using tests and measurements for evidence-based decision-making in the workplace. Emphasis is given to selection and performance measurements for individual, team, business unit and organization-wide use in marketing, STEM, and operations. Student teams will develop managerial recommendations following company specific research and analysis.",,,,,,,,,,
MGT 71,Business Process and Operations Management,4,"Effective management of operations is vital to every type of organization. Competitive advantages accrue to firms that can excel in execution and achieve sustained and profitable growth. This course covers the systematic design, execution, and improvement of business processes, projects, and partner relationships. Builds up strategic framework of operations and process management, followed by process analysis including primary operations metrics. Introduces continuous improvement and lean operations. Students will not receive credit for both MGT 71 and MGT 71R.",,,,,,,,,,
MGT 71R,Business Process and Operations Management,4,"Effective management of operations is vital to every type of organization. Competitive advantages accrue to firms that can excel in execution and achieve sustained and profitable growth. This course covers the systematic design, execution, and improvement of business processes, projects, and partner relationships. Builds up strategic framework of operations and process management, followed by process analysis including primary operations metrics. Introduces continuous improvement and lean operations. Students will not receive credit for both MGT 71R and MGT 71. This course is a distance education course.",,,,,,,,,,
MGT 100,Customer Analytics,4,"Marketers use empirical models to determine, support, and evaluate a wide range of business decisions. This course covers models and estimation techniques commonly used for understanding segmentation, targeting, and positioning; product diffusion; advertising response, among other topics. ",ECON 120B or MATH 181B,,,,,,,,,
MGT 102,E-Commerce,4,"E-commerce is the online exchange of information leading to mutually beneficial transactions. Students will learn and apply skills related to business opportunity ideation and evaluation, customer and market research, sourcing, fulfillment, positioning, pricing, branding, storytelling, store design, user experience testing, website analytics, search engine optimization, social media, content marketing, digital advertising, and online experimentation. ",,,,,,,,,,Upper-division standing.
MGT 103,Product Marketing and Management,4,"Defining markets for products and services, segmenting these markets, and targeting critical customers within segments. Strategies to position products and services within segments. The critical role of pricing as well as market research, product management, promotion, selling, and customer support. ",,,,,,,,,,Upper-division standing.
MGT 105,Product Promotion and Brand Management,4,"Principles and decisions to be considered in overall communications and promotion strategy for traditional channels and emerging social networks. Decisions on promotional mix, ad design, implementation and evaluation for establishing brand equity, measure brand performance and sustaining brand equity. ",MGT 100 or MGT 103,,,,,,,,,
MGT 106,Sales and Sales Management,4,"Examines the sales function from strategic competitive importance to the firm to required direct sales skills of individual salespersons. Major subject areas covered are the sales process, recruitment and training, organization and focus, “territories,” evaluation and compensation. ",MGT 100 or MGT 103,,,,,,,,,
MGT 107,Consumer Behavior,4,"The course identifies the factors that influence the selection and usage of products and services. Students will be introduced to problems/decisions that include evaluating behavior, understanding the consumers’ decision process, and strategies to create desirable consumer behavior. ",MGT 103,,,,,,,,,
