course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
GPCO 400,Policy-Making Processes,4,This course is designed to teach students how to “read” a country’s political and economic system. The course will examine how the particular evolution of institutional frameworks in the different countries of the Pacific region influences the way that political choices are made. Renumbered from IRCO 400. Students may not receive credit for GPCO 400 and IRCO 400. ,GPS students only or consent of instructor,,,,,,,,,
GPCO 401,Microeconomics for Policy and Management,4,"This course introduces microeconomics, emphasizing applications to public policy. We examine tools such as marginal analysis and game theory to understand markets, the behavior of individuals and firms, and what role policy plays when markets fail to maximize social welfare. Renumbered from IRCO 401. Students may not receive credit for GPCO 401 and IRCO 401. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 403,International Economics,4,"The theory and mechanics of international economics. Included will be such topics as real trade theory, international movements of capital, the effects of trade and capital flows on domestic economies, and policies toward trade and foreign investment. Renumbered from IRCO 403. Students may not receive credit for GPCO 403 and IRCO 403. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 404,Market Failures and Policy Interventions,4,"Builds on GPCO 410, Microeconomics for Policy and Management. Applies economic reasoning to public issues, policies, and programs with a focus on the logic of when and how policy makers intervene in the market. It considers incentives and organizations; models of economic behavior, including markets, the absence of markets, and interventions; the price system; policy objectives and instruments. Renumbered from IRCO 404. Students may not receive credit for GPCO 404 and IRCO 404. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 406,Public Finance and Taxation,4,"This course introduces principles of taxation and expenditure analysis, public budgeting, and assessment of budget priorities. It will introduce students to concepts related to how public finance affects the private economy, how governments raise funds (and account for their expenditures to the public, foreign investors, and international organizations), and the major public policy tools for governing public finance. Renumbered from IRCO 406. Students may not receive credit for GPCO 406 and IRCO 406. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 407,Policy Analysis and Decision Theory,4,"This course introduces students to the methods of policy analysis and decision-making theory, including methods to assemble panel data to capture the impact of new policy on observable data, decision-making theory, uncertainty, decision criteria, expected utility, and risk. Renumbered from IRCO 407. Students may not receive credit for GPCO 407 and IRCO 407. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 408,Policy Analysis and Public Welfare,4,"The course explores the political and economic foundations of public policy making, examining both the processes through which the preferences of individuals are converted into public welfare policy and the public’s response. Included will be an introduction to the concepts of rationality, individual decision-making, cooperation, collective action, and market failures. Students will also learn how to write a policy memo. Cases will be comparative and will include the U.S.",,,,,,,,,,
GPCO 410,International Politics and Security,4,"Development of analytic tools for understanding international relations with applications to contemporary problems such as the environment, nuclear proliferation, human rights, humanitarian interventions, and the roots of conflict and cooperation among countries. Renumbered from IRCO 410. Students may not receive credit for GPCO 410 and IRCO 410. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 412,"Globalization, the World System, and the Pacific",4,"This course examines globalization and other economic and political factors that shape the international relations of the Pacific Rim. Specific topics include financial market integration, state cooperation and intervention, and case studies of individual countries. Renumbered from IRCO 412. Students may not receive credit for GPCO 412 and IRCO 412. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 415,Accounting and Finance for Policy Makers,4,"This course covers basic knowledge and skills of accounting and finance necessary for policy makers in for-profit, nonprofit, and public sectors. Topics include basic financial accounting, time value of money, and risk with applications to personal, corporate, and public finance. No credit will be allowed for GPCO 415 if a student has taken IRCO 420 and/or IRCO 421. Renumbered from IRCO 415. Students may not receive credit for GPCO 415 and IRCO 415. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 453,Quantitative Methods I,4,This course is designed to provide proficiency in quantitative methods that are used for optimization and decision making. The use of spreadsheets is applied to data analysis and problem solving. Statistical theory and regression analysis are introduced. Renumbered from IRCO 453. Students may not receive credit for GPCO 453 and IRCO 453. ,GPS students only or consent of instructor,,,,,,,,,
GPCO 454,Quantitative Methods II,4,"The course introduces the theory and application of econometric regression for policy analysis. Students will learn the underlying mathematical formalism, basic data management and coding skills, and appropriate interpretation and meaningful presentation of results. Renumbered from IRCO 454. Students may not receive credit for GPCO 454 and IRCO 454. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 462,Public Policy Capstone,4,The capstone paper should demonstrate mastery of the three components of a public policy program: 1) development of the methodologies for rigorous data collection and policy analysis; 2) an in-depth understanding of the regulatory and legal politics and processes surrounding the student’s chosen policy area; and 3) mastery of the details of the particular issue area and policies intended or that were intended as solutions. Paper may focus on policy interest of the student or of a client. Letter grades only. Renumbered from IRCO 462. Students may not receive credit for GPCO 462 and IRCO 462. ,MPP students only or consent of instructor,,,,,,,,,
GPCO 463,Strategy and Negotiation,4,"Using class exercises, this capstone class introduces the fundamentals of business strategy, based on case studies requiring market and corporate analysis, and the principles of negotiation. Students apply analytic problem-solving skills in a strategy consulting project with a real-world client company. Renumbered from IRCO 463. Students may not receive credit for GPCO 463 and IRCO 463. ",GPIM 474,,,,,,,,,GPS students only.
GPCO 466,Real World Projects in Energy and the Environment,4,The course will emphasize real world application of theories and methods of policy analysis to projects with real clients in the area of energy and the environment. The class will include case studies and seminar-style discussions of topics such as project finance and management of regulatory risk. Most of the class will be devoted to work in small teams with clients seeking strategic guidance. Students are expected to produce final projects suitable for senior management and governing boards. ,GPCO 400,GPPS 428 or consent of instructor,,,,,,,,
GPCO 467,Policy Responses to Global Problems,4,"This capstone is designed to test the analytic skills of students, using them to explain complex real-world problems: security, persistent recurring conflict, persistent inequality and intergenerational debt, women’s rights, environmental change, energy/resource systems, and financial contagion. Emphasis will be placed on determining the nature and dimension of the problem, exploring a range of solutions and assessing the capacity of public institutions. Renumbered from IRCO 467. Students may not receive credit for GPCO 467 and IRCO 467. ",GPS students only or consent of instructor,,,,,,,,,
GPCO 468: Evaluating Technological Innovation (4,PCO 468: Evaluating Technological Innovation,4,"This capstone is intended as a culminating intellectual experience for students, particularly those in economics-oriented tracks. Students will learn to analyze “what works,” integrating a technical understanding of innovation with rigorous statistical analysis. The first half of the course focuses on building a set of science/engineering tools, and the second half on building statistical tools of analysis. Renumbered from IRCO 468. Students may not receive credit for GPCO 468 and IRCO 468. ",GPEC 446 or consent of instructor,,,,,,,,,
GPCO 470,Master of Chinese Economic and Political Affairs Capstone,4,"This is the first quarter of a two-quarter requirement. The capstone paper must demonstrate mastery of the development of the methodologies for rigorous data collection and analysis; an in-depth understanding of the historical regulatory, political and/or economic processes surrounding the chosen “problem” for analysis; mastery of the working details of the “problem” at the center of the research; and a requisite level of research proficiency in Mandarin Chinese. Topic to be approved. ",GPS students only or consent of instructor,,,,,,,,,
