course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
SIO 1,The Planets,4,Space exploration has revealed an astonishing diversity among the planets and moons in our solar system. The planets and their histories will be compared to gain insight and a new perspective on planet Earth. ,,,,,,,,,,
SIO 3,Life in the Oceans,4,"An introduction to the wide variety of organisms that live in the oceans, the habitats they occupy, and how species interact with each other and their environment. Included will be examinations of adaptations, behavior, ecology, and a discussion of local and global resource management and conservation issues. This course is designed for nonbiology majors. ",,,,,,,,,,
SIO 10,The Earth,4,An introduction to structure of the Earth and the processes that form and modify it. Emphasizes material that is useful for understanding geological events as reported in the news and for making intelligent decisions regarding the future of our environment. ,,,,,,,,,,
SIO 10GS,The Earth,In Iceland,"This Global Seminar course will provide an introduction to planet Earth and the processes that shape it. Topics to be covered include Earth layers, materials, plate tectonics, weathering and erosion, and coastal processes. The geology of Iceland will be a specific emphasis and will thus be used as a lens through which to learn about the Earth. Program or material fee may apply. ",,,,,,,,,,Students must apply and be accepted to the Global Seminars Program.
SIO 12,History of the Earth and Evolution,4,"Evolution of the Earth from its origin in the early solar system to formation of continents and ocean basins, and how the planet became habitable. It examines the geologic record of evolution, extinction, plate tectonics, and climate changes through time. ",,,,,,,,,,
SIO 15,Natural Disasters,4,"Introduction to environmental perils and their impact on everyday life. Geological and meteorological processes, including earthquakes, volcanic activity, large storms, global climate change, mass extinctions throughout Earth’s history, and human activity that causes and prevents natural disasters. ",,,,,,,,,,
SIO 16,Geology of the National Parks,4,"An introduction to fundamental concepts of geology and environmental science through the lens of the national park system. Topics covered include the geologic time scale; plate tectonics; igneous, metamorphic, and sedimentary processes; geomorphology; climate change; and environmental degradation. ",,,,,,,,,,
SIO 20,The Atmosphere,4,"Descriptive introduction to meteorology and climate studies. Topics include global and wind and precipitation patterns, weather forecasting, present climate and past climate changes (including droughts, El Niño events), greenhouse gas effects, ozone destruction, the “little ice age,” acid rain. ",,,,,,,,,,
SIO 25,Climate Change and Society,4,Climate change is one of the most complex and critical issues affecting societies today. This course will present the scientific evidence for climate change and its impacts and consider governmental policy responses and possible adaptation strategies. ,,,,,,,,,,
SIO 30,The Oceans,4,"Presents modern ideas and descriptions of the physical, chemical, biological, and geological aspects of oceanography, and considers the interactions between these aspects. Intended for students interested in the oceans, but who do not necessarily intend to become professional scientists. ",,,,,,,,,,
SIO 35,Water,4,This course will examine the properties of water that make it unique and vital to living things. Origin of water on Earth and neighboring planets will be explored. Socially relevant issues concerning water use and contamination will be covered. ,,,,,,,,,,
SIO 40,Life and Climate on Earth,4,"Explores life on Earth and its relationship to the environment—past, present, and future. Topics include origins of life, earth history, elemental cycles, global climate variability and human impacts on our environment. ",,,,,,,,,,
SIO 45,Volcanoes,4,"This class will provide students with an introduction to volcanoes, including the mechanisms, products, and hazards associated with various types of volcanic eruptions. A key area of emphasis will be the impact of volcanism on human societies. ",,,,,,,,,,
SIO 45GS,Volcanoes,4,"This class will provide students with an introduction to volcanoes, including the mechanisms, products, and hazards associated with various types of volcanic eruptions. A key area of emphasis will be the impact of volcanism on human societies. ",,,,,,,,,,Students must apply for and be accepted to the Global Seminars Program.
SIO 46GS,Global Volcanism,4,"This global seminar course will focus on European volcanism—past, present, and future. Students will learn in detail about the volcanoes of Europe, including their geologic origins, eruptive styles, and histories. A special focus will be on the impact of volcanic hazards on the people, cultures, and societies of this heavily populated region. Notable volcanoes and historical eruptions (Vesuvius and Pompeii, Mt. Etna, Santorini, Campi Flegrei) will be discussed in detail. Program or materials fees may apply. ",,,,,,,,,,Students must apply for and be accepted to the Global Seminars Program.
SIO 50,Introduction to Physical Geology,6,"This course is an introduction to how our planet works, focusing on the formation and evolution of the solid earth, and the processes affecting both its surface and interior. Laboratories and substantial field component complement and extend the lecture material. Program and/or materials fees may apply. ",,,,,,,,,,
SIO 60,Experiences in Oceanic and Atmospheric Sciences,4,"Oceanic and atmospheric sciences are introduced through a series of modules where students learn basic principles in the classroom and then have hands-on experiences demonstrating these principles. The course will include trips to the beach, the Ellen Browning Scripps Memorial Pier, and laboratories at Scripps Institution of Oceanography. ",,,,,,,,,,
SIO 65,Geosciences Seminar,2,"This seminar introduces students to the field of geoscience and to the concentration options within the geosciences major. During the seminar, students will explore options for study, career opportunities, and contemporary topics while building relationships with their peers in the cohort. Presentations and talks will feature a variety of subjects, including discussions by industry experts. ",,,,,,,,,,
SIO 75,Geological History of Earth,4,"An introduction to geologic time and the history of the Earth. Topics include physical, biological, and climate history of Earth, measurement of geologic time, formation of major Earth features, change in the Earth system, and North American geology. ",SIO 50 or consent of instructor,,,,,,,,,
SIO 87,First-year Seminar,1,"The First-year Seminar Program is designed to provide the new students with the opportunity to explore an intellectual topic with a faculty member in a small setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. Students may complete up to four first-year seminars with the stipulation that none of the seminars are repeated. (P/NP grades only).",,,,,,,,,,
SIO 90,Undergraduate Seminar,1,Perspectives on ocean sciences. This seminar introduces students to exciting and current research topics in ocean science as presented by faculty and researchers at Scripps Institution of Oceanography. Formerly ERTH 90. ,,,,,,,,,,
SIO 96,Frontiers in the Earth Sciences,2,An introduction to current research in the earth sciences. Background in science not required but may be useful for some topics. Areas covered vary from year to year. ,,,,,,,,,,
SIO 99,Independent Study,2 or 4,Independent reading or research on a problem by special arrangement with a faculty member. ,,,,,,,,,,"Lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form, UC San Diego Application for Enrollment Special Studies Courses 97, 98, 99."
SIO 100,Geological Field Methods,4,"Mapping and interpretation of geologic units. Fieldwork is done locally, and the data are analyzed in the laboratory. There will be one mandatory weekend field trip to Anza Borrego State Park. Program and/or materials fees may apply. ",SIO 50 or consent of instructor,,,,,,,,,
SIO 101,California Coastal Oceanography,4,"This course emphasizes oceanographic connections between physical and climate forcing and marine ecosystem responses using examples from and activities in the California coastal environment. The approach is inquiry-based, combining classroom and experiential learning to build critical and quantitative thinking and research insights and abilities. ",CHEM 6A or consent of instructor,,,,,,,,,
SIO 102,Introduction to Geochemistry,4,"An introduction to the chemical composition and evolution of the Earth and solar system. Applications of chemical methods to elucidate the origin and geologic history of the Earth and the planets, evolution of oceans and atmosphere, and human environmental impacts. ","SIO 50, CHEM 6A-B-C, or consent of instructor",,,,,,,,,
SIO 103,Introduction to Geophysics,4,"An introduction to the structure and composition of the solid earth. Topics include seismology, the gravity and magnetic fields, high-pressure geophysics, and concepts in geodynamics. Emphasis is on global geophysics, i.e., on the structure and evolution of the planet. ","MATH 20C or MATH 31BH,","PHYS 2C,","SIO 50, or consent of instructor",,,,,,,SIO 160 recommended.
SIO 104/SIOG 255,Paleobiology and History of Life,6,"An introduction to the major biological transitions in Earth history from the origins of metabolism and cells to the evolution of complex societies. The nature and limitations of the fossil record, patterns of adaptation and diversity, and the tempo and mode of biological evolution. Laboratories and substantial field component complement and extend the lecture material. Program and/or materials fees may apply. ",,,,,,,,,,"Undergraduate: BILD 3 or consent of instructor. Graduate: graduate-level standing or consent of instructor. Graduate students, additionally, will give oral presentation or research paper."
