course_code,name,units,desc,prereq1,prereq2,prereq3,prereq4,prereq5,prereq6,prereq7,prereq8,prereq9,misc_prereq
SOCI 1,Introduction to Sociology,4,"An introduction to the organizing themes and ideas, empirical concerns, and analytical approaches of the discipline of sociology. The course focuses on both classical and contemporary views of modern society, on the nature of community, and on inequality, with special attention to class, race, and gender. Materials include both theoretical statements and case studies. Will not receive credit for SOCI 1 and SOCL 1A.",,,,,,,,,,
SOCI 2,The Study of Society,4,"A continuation of Sociology/L 1A. The focus here is on socialization processes, culture, social reproduction and social control, and collective action. As in 1A, materials include both theoretical statements and case studies. While 1B may be taken as an independent course, it is recommended that students take 1A and 1B in sequence, as the latter builds on the former. Will not receive credit for SOCI 2 and SOCL 1B.",,,,,,,,,,
SOCI 10,American Society: Social Structure and Culture in the U.S.,4,"An introduction to American society in historical, comparative, and contemporary perspectives. Topics will include American cultural traditions; industrialization; class structure; the welfare state; ethnic, racial, and gender relations; the changing position of religion; social movements; and political trends. Will not receive credit for SOCI 10 and SOCI 10R or SOCI 10 and SOCL 10.",,,,,,,,,,
SOCI 10R,American Society: Social Structure and Culture in the U.S.,4,"This fully online course is an introduction to American society in contemporary, historical, and comparative perspectives. Topics include American culture, inequality, poverty, the family, religion, the role of government, crime, social movements, and politics. Will not receive credit for SOCI 10R and SOCI 10 or SOCI 10R and SOCL 10.",,,,,,,,,,
SOCI 20,Social Change in the Modern World,4,"A survey of the major economic, political, and social forces that have shaped the contemporary world. The course will provide an introduction to theories of social change, as well as prepare the student for upper-division work in comparative-historical sociology. Will not receive credit for SOCI 20 and SOCL 20.",,,,,,,,,,
SOCI 30,"Science, Technology, and Society",4,"A series of case studies of the relations between society and modern science, technology, and medicine. Global warming, reproductive medicine, AIDS, and other topical cases prompt students to view science-society interactions as problematic and complex. Will not receive credit for SOCI 30 and SOCL 30.",,,,,,,,,,
SOCI 40,Sociology of Health-Care Issues,4,Designed as a broad introduction to medicine as a social institution and its relationship to other institutions as well as its relation to society. It will make use of both micro and macro sociological work in this area and introduce students to sociological perspectives of contemporary health-care issues. Will not receive credit for SOCI 40 and SOCL 40.,,,,,,,,,,
SOCI 50,Introduction to Law and Society,4,"Interrelationships between law and society, in the U.S. and other parts of the world. We examine law’s norms, customs, culture, and institutions, and explain the proliferation of lawyers in the U.S. and the expansion of legal “rights” worldwide. Will not receive credit for SOCI 50 and SOCL 50.",,,,,,,,,,
SOCI 60,The Practice of Social Research,4,"This course introduces students to the fundamental principles of the design of social research. It examines the key varieties of evidence, sampling methods, logic of comparison, and causal reasoning researchers use in their study of social issues. Will not receive credit for SOCI 60 and SOCL 60.",,,,,,,,,,
SOCI 70,General Sociology for Premedical Students,4,"This introductory course is specifically designed for premedical students and will provide them with a broad introduction to sociological concepts and research, particularly as applied to medicine.",,,,,,,,,,
SOCI 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminar topics will vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",,,,,,,,,,
SOCI 98,Directed Group Study,4,Small group study and research under the direction of an interested faculty member in an area not covered in regular sociology courses. (P/NP grades only.) ,,,,,,,,,,Lower-division standing; completion of thirty units of UC San Diego undergraduate study; minimum UC San Diego GPA of 3.0; completion and approval of Special Studies form. Consent of instructor and department approval required.
SOCI 99,Independent Study,4,Individual study and research under the direction of an interested faculty member. P/NP grades only. ,,,,,,,,,,Lower-division standing; completion of thirty units of UC San Diego undergraduate study; minimum UC San Diego GPA of 3.0; completion and approval of Special Studies form. Consent of instructor and department approval required.
SOCI 100,Classical Sociological Theory,4,"Major figures and schools in sociology from the early nineteenth century onwards, including Marx, Tocqueville, Durkheim, and Weber. The objective of the course is to provide students with a background in classical social theory, and to show its relevance to contemporary sociology. ",,,,,,,,,,Upper-division standing. Will not receive credit for SOCI 100 and SOCA 100.
