Black Diaspora &African AmrcSt,AA25,Additional UD Elective,LD Core Course,UD Concentration Elective,UD Concentration Elective,UD Concentration Elective,UD Concentration Elective,UD Concentration Elective,UD Concentration Elective,UD Core Course,UD Core Course,UD Core Course,UD Core Course - Capstone,UD ELECTIVE,UD Human Research Methods Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology(Conc in Bio Anth),AN26,ANBI CORE,ANBI CORE,ANBI CORE,ANBI CORE,ANTH 101,ANTH 102,ANTH 103,ANTH UD Elective,ANTH UD Elective,ANTH UD Elective,ANTH UD Elective,ANTH UD Elective,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology(Conc in Archaeol),AN27,ANAR UD Elective,ANAR UD Elective,ANAR UD Elective,ANAR UD Elective,ANTH 101,ANTH 102,ANTH 103,Anthropology UD elective,Anthropology UD elective,Anthropology UD elective,Anthropology UD elective,Anthropology UD elective,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anth (Conc Sociocultural Anth),AN28,ANTH 101,ANTH 102,ANTH 103,Anthropology ANSC concentration course,Anthropology ANSC concentration course,Anthropology ANSC concentration course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,"Regional, country or religious focus course",UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological Anthropology,AN29,ANBI upper division course,ANBI upper division course,ANBI upper division course,ANBI upper division course,ANTH 101,ANTH 102,ANTH 103,ANTH 2,"ANTH 43 or 42, 5 or SOCI 70 or PSYC 1",Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,BILD 1,BILD 2,CHEM 6A,CHEM 6B,CHEM 6C,MATH 10A,MATH 10B,PSYCH 60 or MATH 11,UD ELECTIVE,Upper Division Methods Course (ANBI),,,,,,,,,,,,,,,,,,,,
Anth (Conc Clim Chng&Humn Sol),AN30,ANTH 101,ANTH 102,ANTH 103,ANTH 110,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Anthropology UD elective course,Climate Change Concentration course,Climate Change Concentration course,Climate Change Concentration course,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioengineering,BE25,BENG 1,BENG 100,BENG 103B,BENG 110,BENG 112A,BENG 112B,BENG 122A,BENG 125,BENG 130,BENG 140A,BENG 140B,BENG 172,BENG 186A,BENG 186B,BENG 187A,BENG 187B,BENG 187C,BENG 187D,BENG DE,BENG DE,BILD 1,CHEM 6A,CHEM 6B,CHEM 7L,MAE 107,MAE 150,MAE 170,MAE 3,MAE 40,MAE 8,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2BL,PHYS 2C,PHYS 2CL,TE,TE
Bioengineering (Biotechnology),BE27,BENG 1,BENG 100,BENG 103B,BENG 123,BENG 125,BENG 130,BENG 160,BENG 161A,BENG 161B,BENG 162,BENG 166A,BENG 168,BENG 186A,BENG 187A,BENG 187B,BENG 187C,BENG 187D,BENG DE Course (assigned),BENG DE Course (assigned),BICD 100,BILD 1,CENG 101A,CHEM 40A,CHEM 40B,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MAE 170,MAE 8,MATH 18 or 31AH,MATH 20A,MATH 20B,MATH 20C or 31BH,MATH 20D,MATH 20E or 31CH,PHYS 2A,PHYS 2B,PHYS 2C,PHYS 2CL,Technical Elective,Technical Elective,
Bioengineering: Bioinformatics,BE28,BENG 1,BENG 100,BENG 102,BENG 120,BENG 125,BENG 130,BENG 168,BENG 181,BENG 182,BENG 183,BENG 187A,BENG 187B,BENG 187C,BENG 187D,BENG DE Course (assigned),BENG DE Course (assigned),BICD 100,BILD 1,BILD 3,BILD 4,BIMM 100,CHEM 6A,CHEM 6B,CSE 100,CSE 101,CSE 11,CSE 12,CSE 185,CSE 21,MATH 18 or 31AH,MATH 186,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E or 31CH,PHYS 2A,PHYS 2B,PHYS 2C,Technical Elective,Technical Elective,,
Bioengineering: BioSystems,BE29,BENG 1,BENG 100,BENG 102,BENG 110,BENG 120,BENG 122A,BENG 125,BENG 130,BENG 133,BENG 134,BENG 135,BENG 140A,BENG 140B,BENG 141,BENG 152,BENG 186B,BENG 187A,BENG 187B,BENG 187C,BENG 187D,BENG 189,BENG 2,BENG DE Course (assigned),BENG DE Course (assigned),CHEM 6A,CHEM 6B,ECE 35,ECE 45,MATH 18 or 31AH,MATH 20A,MATH 20B,MATH 20C or 31BH,MATH 20D,MATH 20E or 31CH,PHYS 2A,PHYS 2B,PHYS 2BL,PHYS 2C,PHYS 2CL,Technical Elective,Technical Elective,,
"Ecology, Behavior & Evolution",BI30,BICD 100,BIEB 102,BIEB 150,BILD 1,BILD 2,BILD 3,BILD 4 (*SEE NOTE*),CHEM 6A,CHEM 6B,CHEM 6C,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECT (*SEE NOTE*),UD BIO ELECTIVE,UD BIO ELECTIVE,UD BIO LAB,UD EBE CORE,UD EBE CORE,UD EBE CORE,UD EBE CORE,UD EBE LAB,UD ELECTIVE,,,,,,,,,,,,,,,,,
General Biology,BI31,BIBC 100/102 (*SEE NOTE*),BICD 100,BILD 1,BILD 2,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,BIPN 100,CHEM 40A,CHEM 40B,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECTIVE,UD BIO ELECTIVE,UD BIO ELECTIVE,UD BIO ELECTIVE,UD BIO ELECTIVE (*SEE NOTE*),UD BIO LAB (*SEE NOTE*),UD BIO LAB (*SEE NOTE*),UD EBE,UD ELECTIVE,,,,,,,,,,,,,,
Microbiology,BI32,BIBC 100/102 (*SEE NOTE*),BICD 100,BILD 1,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,BIMM 120,BIMM 121,BIMM 122,CHEM 40A,CHEM 40B,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECTIVE,UD BIO ELECTIVE (*SEE NOTE),UD BIO LAB (*SEE NOTE),UD ELECTIVE,UD MICRO CORE,UD MICRO CORE,UD MICRO CORE,,,,,,,,,,,,,,
Biology w/Spec Bioinformatics,BI34,BENG 183,BIBC 100/102 (*SEE NOTE*),BICD 100,BILD 1,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,BIMM 181,BIMM 182,CHEM 40A,CHEM 40B,CHEM 6A,CHEM 6B,CSE 100 (*SEE NOTE*),CSE 101,CSE 12,CSE 185,CSE 21 (*SEE NOTE*),CSE 8A (*SEE NOTE*),CSE 8B (*SEE NOTE*),MATH 18,MATH 186,MATH 20A,MATH 20B,MATH 20C,PHYS 2A,PHYS 2B,PHYS 2C,UD BIO ELECTIVE,UD BIO ELECTIVE,UD ELECTIVE,,,,,,,,,,,,
Human Biology,BI35,BIBC 102/CHEM 114B,BICD 100,BICD 110,BILD 1,BILD 2,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,BIPN 100,CHEM 40A,CHEM 40B,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECTIVE,UD BIO ELECTIVE (*SEE NOTE*),UD BIO LAB (*SEE NOTE*),UD BIO LAB (*SEE NOTE*),UD ELECTIVE,UD HB CORE,UD HB CORE (DISEASE),UD HB CORE (PHYSIOLOGY),,,,,,,,,,,,,
Molecular and Cell Biology,BI37,BIBC 100/CHEM 114A,BIBC 102/CHEM 114B,BIBC 103/BIMM 101,BICD 100,BICD 110,BILD 1,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,CHEM 40A,CHEM 40B,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECT (*SEE NOTE*),UD BIO ELECTIVE,UD BIO LAB (*SEE NOTE*),UD ELECTIVE,UD MCB CORE,UD MCB CORE,UD MCB CORE,,,,,,,,,,,,,,
Neurobiology,BI38,BIBC 102/CHEM 114B,BICD 100,BILD 1,BILD 2,BILD 3,BILD 4 (*SEE NOTE*),BIMM 100,BIPN 100,BIPN 140,BIPN 145,CHEM 40A,CHEM 40B,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 10A/20A,MATH 10B/20B,MATH 11,PHYS 1A&1AL,PHYS 1B&1BL,PHYS 1C&1CL,UD BIO ELECT (*SEE NOTE*),UD BIO ELECTIVE,UD BIO LAB (*SEE NOTE*),UD ELECTIVE,UD NEURO CORE,UD NEURO CORE,UD NEURO CORE,,,,,,,,,,,,,
Chemical Engineering,CE25,ADV. CHEM 1***,ADV. CHEM 2,ADV. CHEM 3,AS/ TE 1*****,AS/ TE 2,AS/ TE 3,CENG 100,CENG 101A,CENG 101B,CENG 101C,CENG 102,CENG 113,CENG 114,CENG 120,CENG 122,CENG 124A,CENG 124B,CENG 15**,CENG 170,CENG 176A,CENG 176B,CENG 4*,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7L,MATH 18****,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,PHYS 2CL,,,,,,,
Chemistry,CH25,CHEM 100A,CHEM 105A,CHEM 114A,CHEM 120A,CHEM 120B,CHEM 130,CHEM 131,CHEM 132,CHEM 143B,CHEM 41A,CHEM 41B,CHEM 41C,CHEM 43A,CHEM 6A,CHEM 6B,CHEM 6C,CHEM 7LM or 7L,CHEM ELECTIVE,CHEM ELECTIVE,CHEM ELECTIVE,CHEM ELECTIVE LAB,CHEM ELECTIVE LAB,MATH 20A,MATH 20B,MATH 20C,MATH 20D,PHYS 2A,PHYS 2B,PHYS 2BL or 2CL or 2DL*,PHYS 2C or 2D,,,,,,,,,,,,,
